"DLC3_OUTRO_08_TAG": "Rurka do striptizu?"
"DLC3_INTRO_20_JIMMY": "Może dasz mi przynajmniej swój autograf?"
"DLC3_INTRO_03_JIMMY": "Zawiedli cię, Johnny... ale ja nigdy tego nie zrobię. Jestem twoim największym fanem."
"UNL_DESC_DLC3_STORY03_VEHICLES": "Torbitron jest teraz dostępny w twoim garażu."
"UNL_DLC3_HOMIE_JOHNNY_TAG": "ZIOM - JOHNNY TAG"
"DLC3_OUTRO_06_TAG": "Gat... przyjaciel?"
"UNL_DLC3_STORY03_VEHICLES": "POJAZD - TORBITRON"
"UNL_DESC_DLC3_HOMIE_JOHNNY_TAG": "Johnny Tag jest dostępny w menu \"TELEFON\" w twojej komórce. Pomoże Świętym w walce."
"UNL_DLC3_STORY03_ALERT": "PROBLEMY Z KLONAMI..."
"DLC3_M03_TUT_SUPER_POWERS_TITLE": "MASZ SUPER MOCE!"
"DLC3_ACHIEVE_SR3_JOHNNYGUARD": "Stróżu mój"
"DLC3_M01_GET_BACK_TO_CLUB": "WRÓĆ DO [format][color:location]FORMALNIE LEGALNEJ[/format]"
"DLC3_INTRO_18_JIMMY": "Tak! Ruszajmy!"
"DLC3_INTRO_15_JIMMY": "To jest tak, kurwa, zajebiste!"
"DLC3_INTRO_10_PIERCE": "Czekaj! Sklonowałeś Gata?"
"DLC3_M01_ABANDONED_STRIP_CLUB": "MUSISZ ZACZEKAĆ NA JIMMY'EGO W \"FORMALNIE LEGALNEJ\""
"DLC3_M01_INTERROGATE_OWNER": "PRZESŁUCHAJ [format][color:use]WŁAŚCICIELA[/format]"
"DLC3_OUTRO_12_JIMMY": "Koniec. Znak zapytania?"
"HOMIE_DESC_DLC3_JOHNNY_TAG": "Daj czadu u boku przerośniętego klona Gata!"
"DLC3_ACHIEVE_SR3_HERES_JOHNNY": "Dziwadło"
"CUST_ITEM_DLC_UPP_WITCH": "SZATA CZAROWNICY"
"CUST_ITEM_DLC_HAT_WITCH": "KAPELUSZ CZAROWNICY"
"DLC3_M03_MISSION_NAME": "WYSŁAĆ KLONY"
"DLC3_M03_DEFEND_TAG": "CHROŃ [format][color:defend]TAGA[/format]"
"DLC3_INTRO_06_JIMMY": "Myślałem, że mam już wystarczająco rzeczy, które dotknął."
