"DLC3_OUTRO_08_TAG": "Стриптиз на шесте?"
"DLC3_INTRO_20_JIMMY": "Вы хотя бы автограф мне дадите?"
"DLC3_INTRO_03_JIMMY": "Они подвели тебя, Джонни... Но я не подведу. Я твой самый большой фанат."
"UNL_DESC_DLC3_STORY03_VEHICLES": "Теперь в гараже вашего жилища вы сможете найти Торбитрон."
"UNL_DLC3_HOMIE_JOHNNY_TAG": "БРАТОК - ДЖОННИ ТЭГ"
"DLC3_OUTRO_06_TAG": "Гэт... друг?"
"UNL_DLC3_STORY03_VEHICLES": "МАШИНА - ТОРБИТРОН"
"UNL_DESC_DLC3_HOMIE_JOHNNY_TAG": "Номер Джонни Тэга есть в меню \"ТЕЛЕФОН\" вашего мобильника. Он поможет Святым в бою."
"UNL_DLC3_STORY03_ALERT": "ПРОБЛЕМЫ С КЛОНАМИ..."
"DLC3_M03_TUT_SUPER_POWERS_TITLE": "У ВАС ЕСТЬ СУПЕР-СИЛЫ!"
"DLC3_ACHIEVE_SR3_JOHNNYGUARD": "Джоннихранитель"
"DLC3_M01_GET_BACK_TO_CLUB": "ВЕРНИТЕСЬ В [format][color:location]ФОРМАЛЬНО ЗАКОННО[/format]"
"DLC3_INTRO_18_JIMMY": "Да, вперед!"
"DLC3_INTRO_15_JIMMY": "Это так охуенно!"
"DLC3_INTRO_10_PIERCE": "Стой! Ты клонированный Гэт?"
"DLC3_M01_ABANDONED_STRIP_CLUB": "ВАМ НУЖНО ДОЖДАТЬСЯ ДЖИММИ В \"ФОРМАЛЬНО ЗАКОННО\". "
"DLC3_M01_INTERROGATE_OWNER": "РАССПРОСИТЕ [format][color:use]ВЛАДЕЛЬЦА[/format]"
"DLC3_OUTRO_12_JIMMY": "Конец. Знак вопроса?"
"HOMIE_DESC_DLC3_JOHNNY_TAG": "Огромный клон Гэта - это круто."
"DLC3_ACHIEVE_SR3_HERES_JOHNNY": "Странная наука"
"CUST_ITEM_DLC_UPP_WITCH": "РОБА ЧАРОДЕЙКИ"
"CUST_ITEM_DLC_HAT_WITCH": "ШЛЯПА ЧАРОДЕЙКИ"
"DLC3_M03_MISSION_NAME": "ОТПРАВЛЯЯ КЛОНОВ"
"DLC3_M03_DEFEND_TAG": "ЗАЩИЩАЙТЕ [format][color:defend]ТЭГА[/format]"
"DLC3_INTRO_06_JIMMY": "Мне казалось, я набрал достаточно вещей, к которым он прикасался."
"HOMIE_DLC3_AISHA_BRUTELLA": "АЙША БРУТЕЛЛА "
"CUST_ITEM_DLC_FOOT_WITCH": "БОТИНКИ ЧАРОДЕЙКИ  "
"UNL_DLC3_CUST02_VEHICLES": "МАШИНА - САЛЕМ"
"DLC3_M02_FAIL_ABANDONED_TRUCK": "ВЫ БРОСИЛИ ТОРБИТРОН!"
"DLC3_M01_FAILURE_CAR_DESTROYED": "АВТОМОБИЛЬ ДЖИММИ УНИЧТОЖЕН"
"HOMIE_DLC3_JOHNNY_TAG": "ДЖОННИ ТЭГ"
"UNL_DLC3_CUST02_OUTFITS01": "ПРИКИД - ЧАРОДЕЙКА"
"DLC3_M01_MISSION_NAME": "СТРАННАЯ НАУКА"
"DLC3_OUTRO_04_PLAYER": "Я знаю, я знаю, Джонни, но... мы можем все исправить!"
"DLC3_OUTRO_02_PIERCE": "О, теперь ты хочешь попробовать воззвать к его разуму."
"DLC3_INTRO_01_JIMMY": "Ночь была темной и дождливой..."
"DLC3_ACHIEVE_SR3_BAMF": "ЗЛОМУД"
"UNL_DESC_DLC3_CUST02_OUTFITS01": "Покажите всему миру, что быть чародейкой - это не только модный тренд, но и стиль жизни!"
"DLC3_WPN_FIREBALL": "УДАР НА ЧЕТВЕРТЬ КРУГА"
"DLC3_OUTRO_07_PLAYER": "Да ладно тебе, дружище. Пойдем домой."
"DLC3_INTRO_14_TAG": "Куда?.."
"HOMIE_DESC_DLC3_AISHA_BRUTELLA": "Теперь оглушает фанатов не голосом, а кулаками."
"DLC3_ACHIEVE_SR3_BEE_HOLDER": "Глаз пчелодателя"
"DLC3_M01_INTERROGATE_GANG": "РАССПРОСИТЕ [format][color:use]ЛЕЙТЕНАНТА[/format]"
"DLC3_OUTRO_10_JIMMY": "И так заканчивается история наших бесстрашных героев. Связанных узами, которыми... э-э... они... были связаны."
"DLC3_ACHIEVE_SR3_MY_PET_MONSTER": "Мой домашний монстрик"
"UNL_DLC3_CUST02_CLOTHING": "ПРЕДМЕТЫ - ЧАРОДЕЙКИ И ЧЛЕНЫ"
"DLC3_WPN_SAINTSFLOWFIST": "СВЯТОЙ УДАР"
"DLC3_M02_FAIL_TRUCK_DEAD": "ТОРБИТРОН УНИЧТОЖЕН!"
"DLC3_M02_PROTECT_PIERCE": "ЗАЩИТИТЕ [format][color:defend]ПИРСА[/format]"
"DLC3_OUTRO_01_PLAYER": "Джонни, да ладно тебе, я же пытаюсь тебе помочь!"
"DLC3_M02_DEFEND_STAGE": "ЗАЩИТИТЕ [format][color:defend]СЦЕНУ[/format]"
"DLC3_M01_LOOK_FOR_TAG": "ОСМОТРИТЕ [format][color:location]\"ВЕСЕЛУЮ ПУЛЮ\"[/format]"
"DLC3_INTRO_04_JIMMY": "Я долгие месяцы собирал всякое дерьмо. Его дерьмо."
"DLC3_ACHIEVE_SR3_SUPAA_EXCELLENT": "Супе-е-ер-превосходно!"
"DLC3_INTRO_19_PIERCE": "Сядь, блядь, Джимми! Предоставь это профессионалам."
"DLC3_M02_FIND_TAG": "НАЙДИТЕ [format][color:location]ТЭГА[/format]"
"DLC3_OUTRO_05_PIERCE": "Да, мы твои друзья, Джонни."
"DLC3_M01_GOTO_FRIENDLY_FIRE": "ИДИТЕ В [format][color:location]\"ВЕСЕЛУЮ ПУЛЮ\"[/format]"
"DLC3_OUTRO_03_TAG": "Святые... подвели меня."
"CUST_ITEM_DLC_HAT_DH": "РОГА ДЬЯВОЛА"
"DLC3_M02_REVIVE": "ВОЗРОДИТЬ"
"DLC3_M02_GOTO_PLANET_SAINTS": "ОТПРАВЛЯЙТЕСЬ К [format][color:location]ПЛАНЕТЕ СВЯТЫХ[/format]"
"UNL_DESC_DLC3_CUST02_VEHICLES": "Единтсвенный способ путешествий, достойный настоящей чародейки - полеты на метле. Эта машина дает вам такой шанс."
"DLC3_M03_GOTO_HELICOPTER": "САДИТЕСЬ В [format][color:location]ВЕРТОЛЕТ[/format]"
"DLC3_INTRO_07_JIMMY": "Я ошибался."
"CUST_ITEM_DLC_PANTS_WITCH": "ШТАНЫ ЧАРОДЕЙКИ"
"DLC3_M02_RETURN_TO_TRUCK": "СНОВА СЯДЬТЕ В [format][color:location]ТОРБИТРОН[/format]"
"DLC3_M02_MISSION_NAME": "ТУР-ДЕ-ФАРС"
"DLC3_INTRO_02_JIMMY": "С неба лило, а я осквернял матушку-природу."
"UNL_DLC3_HOMIE_AISHA_BRUTELLA": "БРАТОК - АЙША БРУТЕЛЛА"
"DLC3_ACHIEVE_SR3_STING_OPERATION": "Операция \"Жало\""
"CUST_ITEM_DLC_OUTFIT_WITCH": "ЧАРОДЕЙКА"
"DLC3_M03_KILL_GUARD": "УНИЧТОЖЬТЕ [format][color:kill]СТИЛПОРТСКИХ ГВАРДЕЙЦЕВ[/format]"
"DLC3_M02_FAIL_FEEDBACK": "ТОЛПА НЕ ДАЛА УСТРОИТЬ ПРЕДСТАВЛЕНИЕ. ДЕРЖИТЕ ЛЮДЕЙ ПОДАЛЬШЕ ОТ СЦЕНЫ С ПОМОЩЬЮ ПЧЕЛОТРОНА."
"CUST_ITEM_DLC_HAT_HALO": "ОРЕОЛ СВЯТОГО"
"DLC3_M01_SURVIVE": " [format][color:defend]ПОДОЖДИТЕ[/format] ДЖИММИ"
