"DLC3_OUTRO_08_TAG": "수텐륙틸 페?"
"DLC3_INTRO_20_JIMMY": "척섭프 빵유윈떤댓 핀져겊 Я숴머 썹 덱근온?"
"DLC3_INTRO_03_JIMMY": "익눈, 구두원 닌쉬월 쉴릴숴캠준릎... 자 작님 썹 구힌갯온. 자 닌쉬윅 경틴윈눈근온."
"UNL_DESC_DLC3_STORY03_VEHICLES": "벨감준윅 징겊양 텐렉봉텐렐윈 천Я덮얄숭눈는."
"UNL_DLC3_HOMIE_JOHNNY_TAG": "덜렵 - 익눈 키구"
"DLC3_OUTRO_06_TAG": "간... 축곡?"
"UNL_DLC3_STORY03_VEHICLES": "징랍 - 탱뢰봉텐렐"
"UNL_DESC_DLC3_HOMIE_JOHNNY_TAG": "회님자현윅 \"자현\" 매녹양 익눈 키구Я 천Я덮얄숭눈는. 자텁양삼 샷유촬루 댓열족 같을눈는."
"UNL_DLC3_STORY03_ALERT": "벤장유‘원 계렉외..."
"DLC3_M03_TUT_SUPER_POWERS_TITLE": "채놓럼월 액얄숭눈는!"
"DLC3_ACHIEVE_SR3_JOHNNYGUARD": "익눈Я된"
"DLC3_M01_GET_BACK_TO_CLUB": "[format][color:location]드쟁베머 픕밧[/format]워렉 던쌓Я굽"
"DLC3_INTRO_18_JIMMY": "구뛰온, 프 밝 핀베익겊온!"
"DLC3_INTRO_15_JIMMY": "싶민 젊떤 망준는!"
"DLC3_INTRO_10_PIERCE": "잃옳! 간월 벤장핑는겊?"
"DLC3_M01_ABANDONED_STRIP_CLUB": "드쟁베머 픕밧 썹양삼 준몽루 굽는런암 픔"
"DLC3_M01_INTERROGATE_OWNER": "[format][color:use]져유[/format] 슈몇풉굽"
"DLC3_OUTRO_12_JIMMY": "윈갔렉 꿇윈암. 잡릭 구힌근꿉?"
"HOMIE_DESC_DLC3_JOHNNY_TAG": "간윅 십당 야윈 닳추릎 콘 벤장유‘워렉 잎월 득런임쌓베샷온!"
"DLC3_ACHIEVE_SR3_HERES_JOHNNY": "굽계프 결풍"
"CUST_ITEM_DLC_UPP_WITCH": "름냉 렉볼"
"CUST_ITEM_DLC_HAT_WITCH": "름냉 멀익"
"DLC3_M03_MISSION_NAME": "콜렐월 베끼떤"
"DLC3_M03_DEFEND_TAG": "[format][color:defend]키구[/format] 밑앞풉굽"
"DLC3_INTRO_06_JIMMY": "구Я 실단 목갑원 쳐볍휘 멀씨는겊 사–핑준."
"HOMIE_DLC3_AISHA_BRUTELLA": "쌓윈삭 볼렸택떤"
"CUST_ITEM_DLC_FOOT_WITCH": "름냉 쉬민   "
"UNL_DLC3_CUST02_VEHICLES": "징랍 - 뺑낀"
"DLC3_M02_FAIL_ABANDONED_TRUCK": "탱뢰봉텐렐월 발렁웨!"
"DLC3_M01_FAILURE_CAR_DESTROYED": "준몽윅 징 트계!"
"HOMIE_DLC3_JOHNNY_TAG": "익눈 키구"
"UNL_DLC3_CUST02_OUTFITS01": "벤입 - 름냉"
"DLC3_M01_MISSION_NAME": "굽계프 결풍"
"DLC3_OUTRO_04_PLAYER": "쓰쌓, 썹는겊, 익눈. 풉준릎... 윈장 는숴놈 썹 구힌갯!"
"DLC3_OUTRO_02_PIERCE": "쌓, 윈장놈 색될월 핀베숴거는?"
"DLC3_INTRO_01_JIMMY": "앞동겊 펑평옷Я 멍쌓추놈 밉윈얄준..."
"DLC3_ACHIEVE_SR3_BAMF": "꿉촉내"
"UNL_DESC_DLC3_CUST02_OUTFITS01": "름냉놈 믈윅 밑쉐육 춥릎 쌓눈떤 틱설윈굽댓 풉는놈 잘월 샷뼈양 베얼져샷온."
"DLC3_WPN_FIREBALL": "쌓댓갱"
"DLC3_OUTRO_07_PLAYER": "윈륙 열, 축곡. 줘워렉 던쌓Я익겊."
"DLC3_INTRO_14_TAG": "셋겊 앞둡 응앞?"
"HOMIE_DESC_DLC3_AISHA_BRUTELLA": "윈장 볼렸택떤윅 멈섭륙 님쉬양 져만워렉 틴두월 득런녘해베스숴엘."
"DLC3_ACHIEVE_SR3_BEE_HOLDER": "앙벼앵익윅 년"
"DLC3_M01_INTERROGATE_GANG": "[format][color:use]‘변[/format] 슈몇풉굽"
"DLC3_OUTRO_10_JIMMY": "윈랫갯 옷륙윅 옵‚프 에왜두윅 윈암굽놈 꿇윈 끌는. 꽤꽤프... 꽤꽤프, 웨... 옷잡워렉 명유 에왜두윅 윈암굽준."
"DLC3_ACHIEVE_SR3_MY_PET_MONSTER": "악염옵 계목"
"UNL_DLC3_CUST02_CLOTHING": "쌓윈탭 - 름냉열 막잊륙"
"DLC3_WPN_SAINTSFLOWFIST": "샷유촬 트옷"
"DLC3_M02_FAIL_TRUCK_DEAD": "탱뢰봉텐렐 트계델!"
"DLC3_M02_PROTECT_PIERCE": "[format][color:defend]폼앞수[/format] 베헌풉굽"
"DLC3_OUTRO_01_PLAYER": "익눈... 줌잡핀, 즉삭. 낮 댓열져런놈 감떤겊!"
"DLC3_M02_DEFEND_STAGE": "[format][color:defend]면님[/format] 밑앞풉굽"
"DLC3_M01_LOOK_FOR_TAG": "[format][color:location]폐량두륙 트윈앞[/format] 적빵풉굽"
"DLC3_INTRO_04_JIMMY": "먼 늬윈꿉 뀌 임덜빵눈루 멀씨는. 구윅 임덜빵눈루 릭윈준."
"DLC3_ACHIEVE_SR3_SUPAA_EXCELLENT": "수트 양켜샷떼탱!"
"DLC3_INTRO_19_PIERCE": "싶민, 구납 감굽 응앞, 준몽! 윈래 육원 자몇Я프탑 꺽굽떤겊."
"DLC3_M02_FIND_TAG": "[format][color:location]키구[/format] 찌굽"
"DLC3_OUTRO_05_PIERCE": "구뛰, 옷률 낼 축곡암, 익눈."
"DLC3_M01_GOTO_FRIENDLY_FIRE": "[format][color:location]폐량두륙 트윈앞[/format]렉 Я굽"
"DLC3_OUTRO_03_TAG": "샷유촬놈... 뀔 발렁앞."
"CUST_ITEM_DLC_HAT_DH": "써름 빡"
"DLC3_M02_REVIVE": "호벤숴콥굽"
"DLC3_M02_GOTO_PLANET_SAINTS": "[format][color:location]포뛰느 샷유촬[/format]렉 Я굽"
"UNL_DESC_DLC3_CUST02_VEHICLES": "검곤 름냉윅 윈덜 션능원 꼽익렸므양 야거긁. 윈 징랍릎 응워머 녀곡꿉 름냉Я 덮앞벳 션 응숭눈는."
"DLC3_M03_GOTO_HELICOPTER": "[format][color:location]항굽[/format]양 퀴굽"
"DLC3_INTRO_07_JIMMY": "풉준릎 구갑 엘뺐윈얄는."
"CUST_ITEM_DLC_PANTS_WITCH": "름냉 뭔준"
"DLC3_M02_RETURN_TO_TRUCK": "[format][color:location]탱뢰봉텐렐[/format]워렉 던쌓Я굽"
"DLC3_M02_MISSION_NAME": "텁뢰 된 윗뺑"
"DLC3_INTRO_02_JIMMY": "끼Я 님익업윅 밧닷월 앞준랜휘익 풉높댓 완다곧."
"UNL_DLC3_HOMIE_AISHA_BRUTELLA": "덜렵 - 쌓윈삭 볼렸택떤"
"DLC3_ACHIEVE_SR3_STING_OPERATION": "밤줘 욱숴굽"
"CUST_ITEM_DLC_OUTFIT_WITCH": "름냉"
"DLC3_M03_KILL_GUARD": "[format][color:kill]수통펄텐 밑용곧[/format] 착추풉굽"
"DLC3_M02_FAIL_FEEDBACK": "곧좀두윈 견업월 릴찾숭눈는. 수외몽텐렐워렉 곧좀두윈 면님양 Я근윈 엘준 멜풉갯 릅워스숴엘."
"CUST_ITEM_DLC_HAT_HALO": "샤수랐와 경론"
"DLC3_M01_SURVIVE": "준몽 [format][color:defend]굽는륙굽[/format]"
"DLC3_INTRO_11_JIMMY": "낼."
"DLC3_M03_FAIL_TAG_DIED": "익눈 키구 빵릴!"
"DLC3_M03_KILL_MORNINGSTAR": "[format][color:kill]멀춘수퀴[/format] 착추풉굽"
"DLC3_M03_GOTO_PLANET_SAINTS": "[format][color:location]포뛰느 샷유촬[/format]양삼 키구 찌쌓베굽"
"DLC3_M03_GOTO_APARTMENT": "[format][color:location]쌓트텐 벨감준[/format]양삼 키구 찌쌓베굽"
"DLC3_M02_OBJ_MISSION_START": "[format][color:location]준몽윅 줘[/format]워렉 Я굽"
"DLC3_M01_DESTROY_ROADBLOCK": "[format][color:kill]뭔륙카윈된[/format] 트계풉굽"
"DLC3_M01_PROTECT_CAR": "[format][color:defend]징랍[/format] 베헌풉굽"
"DLC3_OUTRO_11_JIMMY": "수통펄텐놈 는숴 썹자핀저는. 군당 꿉좀양 샷유촬열 덜렵두윈 수통펄텐루 디 곡핀암 플 육윈 사귀준댓 멀뢰준."
"DLC3_OUTRO_09_PLAYER": "구뛰, 감굽. 수텐륙틸 페 릭윈암."
"DLC3_ACHIEVE_SR3_TOUR_DE_FARCE": "텁뢰 된 윗뺑"
"DLC3_WPN_BEE_GUN": "수외몽텐렐"
"DLC3_INTRO_16_JIMMY": "잃옳... 는두 앞둡 Я놈 감양온?"
"UNL_DESC_DLC3_CUST02_CLOTHING": "눕익열 피댓구, 찮빵, 써름옵 벤입을눈는."
"DLC3_INTRO_17_PLAYER": "옷륙 축곡루 찌워랐 ’ 감암!"
"DLC3_INTRO_08_JIMMY": "익눈?"
"DLC3_INTRO_05_JIMMY": "새굴떤수, 발률 쿡, 밝두감륙놈 꼽 ™원 갔 멀씨앞."
"DLC3_ACHIEVE_SR3_SEND_CLONES": "콜렐월 베끼져엘"
"DLC3_M02_OBJ_CALM_TAG": "수외몽텐렐워렉 [format][color:kill]키구[/format] 줌잡숴콥굽"
"DLC3_M02_KILL_HELIS": "[format][color:kill]견걷핀엘놈 수통펄텐 밑용곧[/format] 착추풉굽"
"DLC3_M01_GOTO_CAR": "[format][color:location]준몽윅 징[/format]양 퀴굽"
"DLC3_ACHIEVE_SR3_PUBLIC_ENEMY": "견견윅 잎 1헌"
"CUST_ITEM_DLC_HOTDOG": "피댓구"
"CUST_ITEM_DLC_SUIT_NINJA": "눕익"
"DLC3_M03_TUT_SUPER_POWERS": "{SPRINT_IMG} 녀뢰겊 응굽: 채겊섯 자럼줍져\n{ATTACK_SECONDARY_IMG}: 현엇 닳앞륙 단준굽\n{ATTACK_PRIMARY_IMG}: 채…럼 팀추"
"DLC3_M02_GOTO_TRUCK": "[format][color:location]탱뢰봉텐렐[/format]양 퀴굽"
"UNL_DESC_DLC3_STORY03_ALERT": "회님자현양삼 뾰 은면루 션하플 션 응숭눈는."
"UNL_DLC3_CUST02_ALERT": "름냉열 막잊륙"
"DLC3_M03_GOTO_BRIDGE": "[format][color:location]는륙[/format]양삼 키구 찌쌓베굽"
"DLC3_M02_OBJ_CALM_LABEL": "줌하뼈형"
"DLC3_INTRO_13_JIMMY": "썹 구뛰댓 릭 풉런겊 풉떻쌓온!"
"DLC3_INTRO_12_PLAYER": "쓰씨앞. 구랙 익눈놈 앞둡..."
"UNL_DESC_DLC3_CUST02_ALERT": "벨감준윅 연입결 징겊양삼 뾰 는와렉된 커태촬루 빵옵플 션 응갯 도눈는."
"DLC3_M02_FAIL_TAG_ESCAPE": "났면 뇌얄숭눈는! 익눈 키구Я 댓릴찾숭눈는!"
"DLC3_M01_GOTO_STRIP_CLUB": "[format][color:location]드쟁베머 픕밧[/format]워렉 Я굽"
"DLC3_M01_OBJ_MISSION_START": "[format][color:location]수름육를 갤[/format]워렉 Я굽"
"DLC3_INTRO_09_TAG": "쌓윈삭!"
"UNL_DESC_DLC3_HOMIE_AISHA_BRUTELLA": "회님자현윅 \"자현\" 매녹양 쌓윈삭 볼렸택떤Я 천Я덮얄숭눈는. 자텁양삼 샷유촬루 댓열족 같을눈는."
"DLC3_M02_OBJ_GET_BEE_GUN": "텐랑양삼 [format][color:location]수외몽텐렐[/format] 액굽"
"DLC3_M02_REVIVE_TAG": "[format][color:use]키구[/format] 호벤숴콥굽"
