"MP_CANCEL_JOIN": "STORNO"
"MULTI_ERROR_JOIN_REJECTED": "Hostitel momentálně nepřijímá další hráče."
"MULTI_ERROR_HOST_LEFT": "Hostitel opustil hru."
"COOP_REMOTE_CHEAT_QUIT": "KONEC"
"MULTI_JOIN_LOAD_TITLE": "KOOPERATIVNÍ HRA"
"COOP_LOAD_EXPLANATION_TEXT": "NAČTE POSTAVU, ŠATY A AUTA Z JINÉ HRY"
"COOP_CANT_JOIN_YET_MISSION": "%ls se nemůže připojit, dokud se nacházíš v režimu mise.\nPřipojí se, až se vrátíš do města."
"COOP_FREINDLY_FIRE_LIGHT": "Lehká střelba do vlastních řad je zapnuta!\nNyní můžeš trochu zranit i svého partnera."
"COOP_DISCONNECTED": "Odpojili tě!"
"MULTI_NO_PRIVILEGE_PS3": "S tímto profilem nelze hrát online."
"MP_INVITE_SENT_TITLE": "POZVÁNKA DO HRY ODESLÁNA"
"COOP_FREINDLY_FIRE_ON": "Střelba do vlastních řad je zapnuta!\nNyní můžeš zranit i svého spoluhráče."
"COOP_JOIN_REQUEST_MESSAGE": "%ls se chce přidat ke hře."
"CONTROL_KICK_PLAYER": "VYHODIT HRÁČE   "
"MP_FIND_SERVER_TITLE": "HLEDÁ SE SERVER"
"MULTI_ONLINE_RESTRICTED": "NENÍ ONLINE"
"COOP_REMOTE_CHEAT_CONTINUE": "POKRAČOVAT"
"FOREIGN_CHARACTER_DETECTED_WARNING_MESSAGE": "Hráč má ID s nepodporovanými znaky. Tyto znaky budou zobrazeny jako \"_\"."
"MP_JOIN_SERVER_BODY": "Čeká se, až hostitel potvrdí spojení."
"QUIT_TO_MAIN_MENU": "UKONČIT HRU"
"MULTI_ERROR_NETWORK_TROUBLE": "Hostitel opustil hru."
"COOP_PARTNER_PAUSED": "%s POZASTAVUJE HRU"
"COOP_CANT_JOIN_YET_STRONGHOLD": "%ls se nemůže připojit, dokud se nacházíš v pevnosti.\nPřipojí se, až se vrátíš k normálnímu hraní."
"COOP_CANT_JOIN_YET_ACTIVITY": "%ls se nemůže připojit, dokud se nacházíš v režimu aktivity.\nPřipojí se, až se vrátíš k normálnímu hraní."
"HASH_26F67AA8": "Server není nyní dostupný. Opakujte akci později."
"MP_WINNERS_TIE": "REMÍZA"
"MULTI_ERROR_CANT_FIND_MATCH": "Nelze najít žádné hry."
"COOP_JOIN_IS_WAITING": "%ls čeká na připojení."
"COOP_LOAD_TITLE_TEXT": "NAČÍST POSTAVU"
"MULTI_ERROR_INTERNAL_ERROR": "Hra tě odpojila."
"COOP_JOIN_IN_PROGRESS": "%ls VSTUPUJE DO HRY."
"COOP_INCORRECT_MODE": "NESPRÁVNÝ REŽIM"
"MULTI_JOIN_FRIEND": "PŘIDAT HRÁČE"
"MULTI_CONNECTION_LOST_PS3": "Došlo k chybě síťového spojení.\nNávrat do hlavní nabídky."
"MULTI_CHAT_DISABLED_TITLE": "NENÍ ONLINE"
"MP_WINNERS_YOU_WIN": "VÍTĚZÍŠ"
"MULTI_FIND_GAMES": "VYHLEDAT HRU"
"MULTI_MENU_TITLE": "VÍCE HRÁČŮ"
"COOP_TITLE": "KOOPERATIVNÍ HRA"
"COOP_JOIN_REQUEST_TITLE": "ŽÁDOST O PŘIPOJENÍ"
"COOP_FREINDLY_FIRE_OFF": "Střelba do vlastních řad je vypnuta!\nPartnery nyní nelze zranit."
"COOP_PARTNER_DISCONNECTED": "%ls - SPOJENÍ BYLO ZTRACENO"
"MP_JOIN_SERVER_TITLE": "PŘIPOJOVÁNÍ K SERVERU"
"COOP_JOIN_REQUEST_MSG": "%ls se chce připojit do hry.\nDovolíš to?"
"COOP_CANT_JOIN_YET_CUTSCENE": "%ls se nemůže připojit, dokud se nacházíš v režimu filmové scény.\nPřipojí se, až se vrátíš k normálnímu hraní."
"COOP_REMOTE_CHEAT_KICK": "VYKOPNOUT HRÁČE A POKRAČOVAT"
"COOP_WAIT_FOR_ANYONE": "POČKAT NA JAKÉHOKOLIV HRÁČE"
"COOP_LOAD_OLD_TEXT": "NAČÍST"
