"MP_CANCEL_JOIN": "ABBRUCH"
"MULTI_ERROR_JOIN_REJECTED": "Der Host nimmt derzeit keine Spieler an."
"MULTI_ERROR_HOST_LEFT": "Der Host hat das Spiel verlassen."
"COOP_REMOTE_CHEAT_QUIT": "BEENDEN"
"MULTI_JOIN_LOAD_TITLE": "KOOP"
"COOP_LOAD_EXPLANATION_TEXT": "LÄDT CHARAKTER, KLEIDUNG UND FAHRZEUGE AUS ANDEREM SPIEL"
"COOP_CANT_JOIN_YET_MISSION": "%ls kann nicht beitreten, während du einen Auftrag ausführst.\nDies geht erst, wenn du ins normale Spiel zurückgekehrt bist."
"COOP_FREINDLY_FIRE_LIGHT": " 'Friendly fire light' eingeschaltet!\nDu kannst deinem Partner nun ein bisschen Schaden zufügen."
"COOP_DISCONNECTED": "Deine Verbindung wurde unterbrochen!"
"MULTI_NO_PRIVILEGE_PS3": "Mit diesem Profil kann nicht online gespielt werden."
"MP_INVITE_SENT_TITLE": "SPIELEINLADUNG GESCHICKT"
"COOP_FREINDLY_FIRE_ON": " 'Friendly fire' eingeschaltet!\nDu kannst deinem Partner nun Schaden zufügen."
"COOP_JOIN_REQUEST_MESSAGE": "%ls möchte bei deinem Spiel mitmachen."
"CONTROL_KICK_PLAYER": "SPIELER RAUSWERFEN  "
"MP_FIND_SERVER_TITLE": "SERVER WIRD GESUCHT"
"MULTI_ONLINE_RESTRICTED": "NICHT ONLINE"
"COOP_REMOTE_CHEAT_CONTINUE": "FORTFAHREN"
"FOREIGN_CHARACTER_DETECTED_WARNING_MESSAGE": "Ein Spieler hat eine ID mit nicht unterstützten Buchstaben. Diese Buchstaben werden nun als \"_\" dargestellt."
"MP_JOIN_SERVER_BODY": "Warten, dass der Host die Verbindung akzeptiert."
"QUIT_TO_MAIN_MENU": "SPIEL BEENDEN"
"MULTI_ERROR_NETWORK_TROUBLE": "Der Host hat das Spiel verlassen."
"COOP_PARTNER_PAUSED": "%s HAT DAS SPIEL PAUSIERT"
"COOP_CANT_JOIN_YET_STRONGHOLD": "%ls kann nicht mitmachen, so lange du eine Festung spielst.\nEr/sie kann mitmachen, sobald du ins normale Spiel zurückkehrst."
"COOP_CANT_JOIN_YET_ACTIVITY": "%ls kann nicht mitmachen, so lange du eine Aktivität spielst.\nEr/sie kann mitmachen, sobald du ins normale Spiel zurückkehrst."
"HASH_26F67AA8": "Der Server ist derzeit nicht verfügbar. Bitte versuche es später erneut."
"MP_WINNERS_TIE": "UNENTSCHIEDEN"
"MULTI_ERROR_CANT_FIND_MATCH": "Es konnten keine Spiele gefunden werden."
"COOP_JOIN_IS_WAITING": "%ls wartet, um beizutreten."
"COOP_LOAD_TITLE_TEXT": "CHARAKTER LADEN"
"MULTI_ERROR_INTERNAL_ERROR": "Deine Verbindung zum Spiel wurde getrennt."
"COOP_JOIN_IN_PROGRESS": "%ls STEIGT INS SPIEL EIN"
"COOP_INCORRECT_MODE": "FALSCHER MODUS"
"MULTI_JOIN_FRIEND": "MIT EINEM FREUND SPIELEN"
"MULTI_CONNECTION_LOST_PS3": "Ein Verbindungsfehler ist aufgetreten.\nDu wirst zum Hauptmenü zurückgeführt."
"MULTI_CHAT_DISABLED_TITLE": "NICHT ONLINE"
"MP_WINNERS_YOU_WIN": "DU HAST GEWONNEN"
"MULTI_FIND_GAMES": "SPIEL SUCHEN"
"MULTI_MENU_TITLE": "MEHRSPIELER"
"COOP_TITLE": "KOOP"
"COOP_JOIN_REQUEST_TITLE": "MITSPIELANFRAGE"
"COOP_FREINDLY_FIRE_OFF": " 'Friendly fire' eingeschaltet!\nDu kannst deinem Partner nun Schaden zufügen."
"COOP_PARTNER_DISCONNECTED": "DIE VERBINDUNG VON %ls IST ABGEBROCHEN"
