"MP_CANCEL_JOIN": "ANNULER"
"MULTI_ERROR_JOIN_REJECTED": "L'hôte n'accepte plus de joueur pour l'instant."
"MULTI_ERROR_HOST_LEFT": "L'hôte a quitté la partie."
"COOP_REMOTE_CHEAT_QUIT": "QUITTER"
"MULTI_JOIN_LOAD_TITLE": "COOP"
"COOP_LOAD_EXPLANATION_TEXT": "CHARGE UN PERSONNAGE D'UNE AUTRE PARTIE, AVEC SES VÊTEMENTS ET VÉHICULES"
"COOP_CANT_JOIN_YET_MISSION": "%ls ne peut pas rejoindre la partie quand tu es en mission.\nCette personne te rejoindra quand tu seras de nouveau en mode de jeu normal."
"COOP_FREINDLY_FIRE_LIGHT": "Indicateur de tir ami allumé!\nTu peux causer des dégâts à ton partenaire."
"COOP_DISCONNECTED": "Tu as été déconnecté!"
"MULTI_NO_PRIVILEGE_PS3": "Ce profil ne peut pas jouer en ligne."
"MP_INVITE_SENT_TITLE": "INVITATION À UN JEU ENVOYÉE"
"COOP_FREINDLY_FIRE_ON": "Tir ami activé!\nTu peux blesser ton partenaire."
"COOP_JOIN_REQUEST_MESSAGE": "%ls veut intégrer ta partie."
"CONTROL_KICK_PLAYER": "EXPULSER JOUEUR  "
"MP_FIND_SERVER_TITLE": "RECHERCHE DU SERVEUR"
"MULTI_ONLINE_RESTRICTED": "AUCUNE CONNEXION"
"COOP_REMOTE_CHEAT_CONTINUE": "CONTINUER"
"FOREIGN_CHARACTER_DETECTED_WARNING_MESSAGE": "Un joueur utilise des caractères non supportés dans son ID. Ces caractères sont remplacés par \"_\"."
"MP_JOIN_SERVER_BODY": "En attente de l'acceptation de la connexion par l'hôte."
"QUIT_TO_MAIN_MENU": "QUITTER LA PARTIE"
"MULTI_ERROR_NETWORK_TROUBLE": "L'hôte a quitté la partie."
"COOP_PARTNER_PAUSED": "%s A MIS LE JEU EN PAUSE"
"COOP_CANT_JOIN_YET_STRONGHOLD": "%ls ne peut pas rejoindre la partie quand tu effectues un bastion.\nCe sera possible dès que tu seras revenu en mode normal."
"COOP_CANT_JOIN_YET_ACTIVITY": "%ls ne peut pas rejoindre la partie quand tu effectues une activité.\nCe sera possible dès que tu seras revenu en mode normal."
"HASH_26F67AA8": "Le serveur est actuellement indisponible. Merci de réessayer plus tard."
"MP_WINNERS_TIE": "MATCH NUL"
"MULTI_ERROR_CANT_FIND_MATCH": "Aucune partie trouvée."
"COOP_JOIN_IS_WAITING": "%ls est en attente de rejoindre la partie."
