"MP_CANCEL_JOIN": "キャンセル"
"MULTI_ERROR_JOIN_REJECTED": "ホストは現在、\n参加プレイヤーを募集していません"
"MULTI_ERROR_HOST_LEFT": "ホストがゲームを終了しました"
"COOP_REMOTE_CHEAT_QUIT": "戻る"
"MULTI_JOIN_LOAD_TITLE": "協力プレイ"
"COOP_LOAD_EXPLANATION_TEXT": "別のセーブデータからキャラクター、衣服、車両をロードします"
"COOP_CANT_JOIN_YET_MISSION": "ミッションが進行中のため%ls\nはゲームに参加できません。\nミッション終了後に参加します"
"COOP_FREINDLY_FIRE_LIGHT": "味方への攻撃が有効になった！\nパートナーに一定のダメージを\n与えることができる"
"COOP_DISCONNECTED": "接続が切断されました！"
"MULTI_NO_PRIVILEGE_PS3": "このプロフィールではオンラインでプレイできません"
"MP_INVITE_SENT_TITLE": "ゲームへの招待を送りました"
"COOP_FREINDLY_FIRE_ON": "味方への攻撃が有効になった！\nパートナーにダメージを与えることができる"
"COOP_JOIN_REQUEST_MESSAGE": "%ls\nがゲームへの参加を希望しています"
"CONTROL_KICK_PLAYER": "プレイヤーの追放   "
"MP_FIND_SERVER_TITLE": "サーバー検索中"
"MULTI_ONLINE_RESTRICTED": "オンライン不可"
"COOP_REMOTE_CHEAT_CONTINUE": "続行"
"FOREIGN_CHARACTER_DETECTED_WARNING_MESSAGE": "プレイヤーは表示することができない文字を\nID名に使っています。これらは\"_\"として表示されます"
"MP_JOIN_SERVER_BODY": "ホストの接続許可を待っています"
"QUIT_TO_MAIN_MENU": "ゲームを終了"
"MULTI_ERROR_NETWORK_TROUBLE": "ホストがゲームを終了しました"
"COOP_PARTNER_PAUSED": "%s\nがゲームをポーズしました"
"COOP_CANT_JOIN_YET_STRONGHOLD": "拠点制圧をプレイ中のため%lsはゲームに参加できません。\n通常モードに戻った後に参加します"
"COOP_CANT_JOIN_YET_ACTIVITY": "アクティビティが進行中のため%lsはゲームに参加できません。\n通常モードに戻った後に参加します"
"HASH_26F67AA8": "現在サーバーが利用できません。後でもう一度お試しください。"
"MP_WINNERS_TIE": "引き分け"
"MULTI_ERROR_CANT_FIND_MATCH": "ゲームが見つかりませんでした"
"COOP_JOIN_IS_WAITING": "%ls\nが参加を待っています。"
