"DLC_STORE_SEASON_PASS_CATEGORY": "OBSAH PRO PERMANENTKU "
"DLC_STORE_ITEM_INSTALLED": "[image:ui_text_star] nainstalováno"
"DLC_STORE_PURCHASE_INSTALLED_CONFIRM": "Tento stažitelný obsah už máš nainstalovaný a přístupný. Chceš pokračovat v nákupu?"
"TUT_DLC_WIN": "Pokud si tyto mise chceš zahrát znovu, můžeš načíst předchozí uloženou pozici a najdeš je opět ve svém telefonu.  Stále budeš mít přístup ke všem odměnám, které jsi za jejich splnění již dříve obdržel."
"DLC_STORE_ITEM_SEASON_PASS": "[image:ui_text_star] Obsah pro permanentku"
"TUT_AIRPLANE_CONTROL_PC": "{PLANE_ACCELERATE_IMG} PLYN \n{PLANE_BRAKE_REVERSE_IMG} BRZDA + COUVÁNÍ \n{PLANE_PITCH_UP_DOWN_IMG} ZMĚNA VÝŠKY\n{PLANE_LEFT_RIGHT_IMG} OTÁČENÍ\n"
"DLC_STORE_SEASON_PASS_PREREQ_CONFIRM": "Tento stažitelný obsah se ve hře zpřístupní teprve tehdy, až si nainstaluješ permanentku. Chceš jej stáhnout?"
"PLT_TITLE_COMPATIBILITY_PS3": "Nejspíš používáš špatnou verzi Saints Row: The Third pro hostování hry přes LAN. Ujisti se prosím, že všichni hráči mají staženou nejnovější aktualizaci hry."
"UNL_COMMUNITY_ASSET05": "PŘEDMĚT - FREE THROW JERSEYS"
"UNL_DESC_COMMUNITY_ASSET02": "Odteď můžeš nosit tričko Volition"
"UNL_DESC_COMMUNITY_ASSET05": "Odteď můžeš nosit Free Throw Jerseys"
"UNL_COMMUNITY_ASSET02": "PŘEDMĚT - TRIČKO VOLITION"
"PLT_TITLE_COMPATIBILITY_PC": "Abyste mohli hrát spolu, musíte mít stejnou verzi hry Saints Row: The Third."
"DLC_REMOTE_PLAYER_NOT_LICENSED_MSG": "Tvůj parťák v kooperaci nemá stažitelný obsah potřebný pro tuto minihru.  Pokud tuto minihru chceš hrát kooperativně, musí tento obsah mít oba hráči."
"UNL_DESC_COMMUNITY_ASSET06": "Odteď můžeš nosit Anténu"
"UNL_COMMUNITY_ASSET01": "PŘEDMĚT - TŘIČKO ČLEN ULICE"
"DLC_STORE_HINT_PURCHASE": "ZAKOUPIT"
"UNL_COMMUNITY_ASSET06": "PŘEDMĚT - ANTÉNA"
"UNL_DESC_COMMUNITY_ASSET01": "Odteď můžeš nosit tričko člen ulice"
"PLT_TITLE_COMPATIBILITY_XBOX": "Nejspíš používáš špatnou verzi Saints Row: The Third pro hostování hry přes System Link. Ujisti se prosím, že všichni hráči mají staženou nejnovější aktualizaci z Xbox Live."
"UNL_DESC_COMMUNITY_ASSET04": "Odteď můžeš nosit mikinu svatých z třetí ulice"
"UNL_COMMUNITY_ASSET03": "PŘEDMĚT - MIKINA FLEUR DE SAINTS"
"CHEAT_DISABLED_IN_COOP": "Tento cheat není v kooperativním režimu povolený.   "
"DLC_STORE_DOWNLOAD_INSTALLED_CONFIRM": "Tento stažitelný obsah už máš nainstalovaný a přístupný. Chceš pokračovat ve stahování?"
"UNL_COMMUNITY_ASSET04": "PŘEDMĚT - MIKINA ZE 3. ULICE"
"UNL_DESC_COMMUNITY_ASSET03": "Odteď můžeš nosit mikinu Fleur de Saints"
"DLC_STORE_HINT_DOWNLOAD": "STÁHNOUT"
"COOP_DLC_MISMATCH": "Tvůj parťák nemá všechny stažitelné balíčky jako ty. Ty, které nemá, budou dočasně deaktivovány."
