"MENU_LEFT_MOUSE": "Mouse sinistro"
"MENU_CATEGORY_GENERAL": "GENERALE"
"PLT_MENU_ANTI_ALIASING": "    ANTI-ALIASING"
"PLT_MENU_AUTO_DETECT": "RILEVAMENTO AUTOMATICO"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "Salvataggio del contenuto. Attendere."
"PC_ZONE_TYPE_HINT": "STACCA SU UNA NUOVA VISUALE O SFUMA DALLA ZONA PRECEDENTE"
"PC_EXPORT_LOCK_HINT": "BLOCCA IL MOVIMENTO DELLA TELECAMERA IN QUESTA ZONA VISUALE"
"PC_CHARACTER_MODEL": "MODELLO PERSONAGGIO"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"PCACTION_MAP": "MOSTRA MAPPA"
"PCACTION_SPRINT": "SPRINT"
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "IMPOSTA SE LA RADIO È ACCESA QUANDO ENTRI IN UN VEICOLO"
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG} PROVOCA \n{TAUNT_THREE_IMG} FAI COMPLIMENTO \nInteragisci con la gente e guadagna rispetto provocando ed eliminando i membri delle gang."
"CBA_VDC_HELI_DOWN": "   GIÙ"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"PCACTION_CONSUME_UP": "USA CON SU"
"PC_ENABLE": "ATTIVA"
"MENU_CATEGORY_PLANE": "AEREO"
"MAINMENU_ONLINE_GAME": "ONLINE"
"CBA_GAC_WEAPON_SELECT_4": "   SLOT ARMA 4"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   INCLINA A DESTRA"
"MENU_MEDIUM": "MEDIO"
"PLT_MENU_WIDESCREEN": "SCHERMO LARGO"
"PC_CA_CANCEL": "ANNULLA"
"PC_TOD_AFTERNOON": "POMERIGGIO"
"PC_W_RAINY": "PIOGGIA"
"PC_WEATHER": "TEMPO"
"PC_CM_TRACKING": "TRACCIA"
"PC_CM_FOLLOW_WATCH": "GUARDA E SEGUI"
"PC_REWIND_HINT": "RICARICA E RIAVVOLGI ALL'INIZIO"
