"MENU_LEFT_MOUSE": "マウス左"
"MENU_CATEGORY_GENERAL": "一般"
"PLT_MENU_ANTI_ALIASING": "    アンチエイリアス処理"
"PLT_MENU_AUTO_DETECT": "オートディテクト"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "セーブしています。\nしばらくお待ちください..."
"PC_ZONE_TYPE_HINT": "新しいカメラに飛ぶか、前のゾーンからブレンドする"
"PC_EXPORT_LOCK_HINT": "このカメラゾーンでカメラの動きをロックする"
"PC_CHARACTER_MODEL": "キャラクターモデル"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"PCACTION_MAP": "マップを表示"
"PCACTION_SPRINT": "ダッシュ"
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "車両に乗った際のラジオ設定"
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG}挑発\n{TAUNT_THREE_IMG} 敬意\nギャングメンバーを挑発してから倒すとリスペクトを獲得できる"
"CBA_VDC_HELI_DOWN": "　下降"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"PCACTION_CONSUME_UP": "上を押して使う"
"PC_ENABLE": "有効"
"MENU_CATEGORY_PLANE": "飛行機"
"MAINMENU_ONLINE_GAME": "オンライン"
"CBA_GAC_WEAPON_SELECT_4": "　武器スロット4"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "　右ロール"
"MENU_MEDIUM": "MEDIUM"
"PLT_MENU_WIDESCREEN": "ワイドスクリーン"
"PC_CA_CANCEL": "キャンセル"
"PC_TOD_AFTERNOON": "午後"
"PC_W_RAINY": "雨"
"PC_WEATHER": "天候"
"PC_CM_TRACKING": "トラッキング"
"PC_CM_FOLLOW_WATCH": "フォローウォッチ"
"PC_REWIND_HINT": "リロードしてスタート地点に戻る"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
"M14_FAILURE_VAN_DESTROYED_PC": "中継車が破壊された！\n近づいたら、カメラで中継車に狙いを定めろ"
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "　左へ移動"
"PLT_MENU_PAUSE_FOCUS": "非フォーカスでポーズ"
"PC_DOF_NORMAL": "普通"
"PC_CAMERA_UNLOCKED": "解除されたカメラ"
"DPAD_UP_TXT": "A ボタン"
"PCACTION_WEAPON_4": "武器4"
"HASH_AEB9EE85": "GOGマッチメイクで接続可能なゲームを発見できませんでした。"
"MENU_CAMERA_SMART": "スマート"
"PC_RECORD_VIDEO": "動画録画"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "オンライン接続が切断されました"
"MENU_MOUSE_WHEEL_DOWN": "ホイールを下へ"
"MENU_MOUSE_BUTTON_5": "マウス5"
"MENU_CONTROLLER_SCHEMES": "キー設定"
"PLT_MENU_DISPLAY_MODE": "映像モード"
"PCACTION_RADIO_NEXT": "次のラジオ局"
"PC_RECORD_MODE_PROGRESS": "ビデオ保存完了： %d%%%% "
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "既にアサインされていたアクションが解除されました："
"MENU_STEAM_STORE": "Steamストア"
"CBA_GAC_TAKE_SCREENSHOT": "　コミュニティ画面写真"
"PLT_MENU_HIGH_DX10_ONLY": "HIGH（DX10以上）"
"PC_EXIT_EXPLANATION": "ムービー編集を終了しますか？保存されていない変更は失われます"
"HUD_HOLD_DPADUP_PARTY_DISMISS": "仲間と別れる"
"PLT_MENU_APPLY": "適用"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG}加速 \n{BRAKE_REVERSE_IMG}ブレーキ／バック\n{LEAN_BACK_IMG}重心移動でウィリー／{LEAN_FORWARD_IMG}ストッピー開始"
"CBA_MENU_PC_PUSH_TO_TALK": "　プッシュトゥトーク"
"CBA_OFC_WALK": "　歩く（長押し）"
"CBA_OFC_TAUNT_THREE": "　敬意"
"CBA_VDC_TANK_FIRE_SECONDARY": "　武器発射2"
"COOP_JOIN_CHEAT": "協力プレイのパートナーがチートを使用しているため、新たに作成されるすべてのセーブデータでチートが有効になります。\nオートセーブ機能は無効になります。\nこれ以上実績を獲得することはできません"
"PC_TOD_DEFAULT": "デフォルト"
"PC_CAM_MODE": "カメラモード"
"PAUSE_MENU_RECORD_MODE": "ムービーを録画"
"GAME_PROFILE_SAVING": "保存しています "
"CBA_VDC_HELI_FIRE_SECONDARY": "　武器発射2"
"MULTI_LOBBY_TITLE_SYSLINK": "LAN ロビー"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "ロードしています。\nしばらくお待ちください..."
"PC_ADVANCED_MODE_HINT": "より詳細な編集テクニックを可能にする"
"BTN_LTRIGGER_TXT": "A ボタン"
"BTN_WHITE_TXT": "A ボタン"
"PCACTION_JUMP": "ジャンプ"
"HASH_D889CE89": "解像度"
"HASH_70DB6EC9": "オンライン"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG}／{PRATFALL_IMG} 転ぶ\n{WALK_FORW_BACK_IMG}／{WALK_LEFT_RIGHT_IMG}空中微調整"
"CONTROL_L_STICK": "左スティック"
"CBA_OFC_SHOULDER_CAMERA": "　ズーム（長押し）"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "　右へ移動"
"PC_CLIP_ACTIONS": "弾倉の動作"
"PC_CA_CLONE": "コピーを作成"
"PC_DOF_WIDE": "ワイド"
"PC_EDIT_WARNING": "警告"
"PC_SHOW_KEYS": "キーを表示する"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "%lsを%lsと交換する"
"PCACTION_ACCELERATE": "アクセル"
"PCACTION_CONSUME_RIGHT": "右を押して使う"
"PC_RECORD_MODE_QUALITY_MED": "720p (中)"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "ビデオが保存されました\nデータが失われた可能性があります。設定を下げて録画を行ってください"
"CBA_OFC_ATTACK_SECONDARY": "　手榴弾"
"PLT_ANISOTROPIC_SIXTEEN": "アニソトロピック16X"
"PC_PROPS_EXIT_HINT": "プロパティダイアログを閉じる"
"HASH_342C548B": "招待"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}チートを使用するとオートセーブと実績の獲得が無効となります。\n\nチートを有効にしますか？"
"CBA_VDC_PLANE_TURN_LEFT2": "　左ヨー"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "シングルフレーム、またはアキューミュレティブ"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "パフォーマンスレベルを選択"
"PC_UNBOUND_KEY": "未設定"
"PLT_MENU_STANDARD": "スタンダード"
"MULTI_MENU_SYSLINK": "LANゲーム"
"PC_CAM_MODE_HINT": "このカメラゾーンでのカメラの動きです"
"PCACTION_WEAPON_1": "武器1"
"SAVE_CLIP_NAME": "ムービーの名前を入力"
"PLT_MENU_VIEW_GAMERCARD": "Steamプロフィールを見る"
"CBA_GAC_WEAPON_SELECT_1": "　武器スロット1"
"CBA_OFC_WALK_TOGGLE": "　歩く（切り替え）"
"CBA_OFC_CROUCH": "　しゃがむ（長押し）"
"CBA_VDC_BRAKE_REVERSE": "　ブレーキ／バック"
"PLT_MENU_VSYNC": "VSYNC"
"OPTIONS_MENU_AUTO_DETECT_DESC": "ご使用のグラフィックカードにふさわしい設定を自動的に行います。設定を行いますか？"
"PLT_MENU_DISPLAY_3": "第3モニター"
"PLT_MENU_AUDIO_VOICE_ENABLE": "ボイスチャット"
"PC_EASE_HINT": "アニメショーンタイプのブレンドを切り替える"
"PC_DELETE_CZ_HINT": "現在のカメラゾーンを消去する"
"BTN_A_TXT": "A ボタン"
"MENU_VIDEO_RECORD_MODE": "ビデオ録画モード"
"PC_RECORD_MODE_ERROR_NO_MEMORY": "メモリ不足のため録画することが出来ません"
"COMMUNITY_BLURB_HEADER": "SaintsRow.comにアクセスしてコミュニティメンバーになろう "
"SAVING_CONTENT_TITLE": "データを保存しています"
"MENU_CONTROLS_STICK": "左スティック アクセル／ブレーキ"
"PLT_MENU_REFLECTIONS_TOOLTIP": "レギュラーまたはジオメトリーシェーダーリフレクション"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "画面に表示する詳細の量と質を選択"
"MULTI_GAMETYPE_1": "LANゲーム"
"PC_TOD_NOON": "正午"
"PC_TOD": "時刻"
"PC_GS_PEOPLE": "市民"
"PC_POSITION_CAMERA_HINT": "コントローラーを使ってカメラの位置を調整する"
"BTN_LTHUMB_TXT": "左スティック"
"PC_RECORD_MODE_ERROR_NO_CODEC": "このモードを利用するために必要なコーデックがありません。Readmeを参照してください"
"MENU_PRIMARY_ASSIGNMENT": "主要ボタン操作"
"CBA_VDC_PLANE_BRAKE_REVERSE": "　ブレーキ／バック"
"PLT_MENU_SCENE_DETAIL": "    シーン"
"PC_OUTPUT_ONLY": "アウトプット表示のみ"
"PC_GS_PLAYER": "プレイヤー"
"PC_CM_FOLLOW": "フォロー"
"PC_CAMERA_LOCKED": "固定されたカメラ"
"MENU_CHANGES_MADE_TITLE": "変更を保存しますか？"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "　より急な旋回"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "　ピッチアップ"
"PC_W_CLEAR": "クリア"
"PC_CAMERA_ZONE": "カメラゾーン"
"BTN_Y_TXT": "A ボタン"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "字幕をオン／オフ"
"TUT_MIS_02_SKYDIVE_FLIP_PC": "{WALK_FORW_BACK_IMG}／{WALK_LEFT_RIGHT_IMG}移動\nマウスを動かして見る\n{SKYDIVE_FLIP_IMG}上か下を向く"
"MENU_RESTORE_ALL_DEFAULTS": "デフォルトに戻す"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "　左へ移動"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "ハードディスクに十分な空き容量がありません。\nこのまま続行してもゲームをセーブできません。\n続行しますか？"
"PC_ZT_BLEND": "ブレンド"
"PC_SAVE_HINT": "編集したクリップを保存する"
"PC_COPY_NEXT_HINT": "次のゾーンを元に新しいカメラゾーンを作成する"
"PCACTION_STRAFE_RIGHT": "右に平行移動"
"MENU_GAMEPLAY": "ゲームプレイ"
"MENU_MOUSE_CONTROLS_VERT_SENS": "マウスオプション"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "この設定を反映しますか？\n15秒後に自動で元に戻ります"
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "モニター選択"
"PC_DOF": "被写界深度"
"RECORD_MODE_WARNING_TEXT": "ムービーの録画を開始すると、すべてのミッション、アクティビティ、店、ゲーム音楽が利用不能となります。これらはメインメニューに戻ることで復帰されます。録画を開始しますか？"
"PC_HIDE_KEYS": "キーを表示しない"
"TUT_TITLE_SPRINT": "スペシャルボタン"
"PC_COMMUNITY_AGE_FIELD": "年齢 (MM.DD.YYYY)"
"MENU_OPTIONS_REMAP": "キーやボタン設定"
"CBA_OFC_ZOOM_OUT": "　スコープ ズームアウト"
"PLT_MENU_RESOLUTIONS": "解像度"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "A ボタン"
"PCACTION_WEAPON_5": "武器5"
"PCACTION_ATTACK_SECONDARY": "攻撃サブ"
"HUD_ZOMBIE_BITE_ESCAPE": "なんでもいいからボタンを連打して逃げろ！"
"MENU_AIRPLANE_HANDLING": "飛行機の操作"
"MENU_MOUSE_BUTTON_4": "マウス4"
"CBA_GAC_GRENADE_SELECT_1": "　グレネードスロット1"
"CBA_OFC_JUMP_CLIMB": "　ジャンプ／のぼる"
"PC_ROTATION_SENSITIVITY": "回転感度"
"PC_SLOWMO": "再生速度"
"MENU_OPTIONS_REMAP_CATEGORIES_TIP": "操作カテゴリーを切り替え"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "Steamプロフィールを見る"
"MENU_CONTROLLER_OPTIONS": "ゲームパッドオプション"
"PC_EDIT_PROPS_HINT": "カメラゾーンのプロパティダイアログを表示する"
"PC_ADDITIONAL_PROPS": "その他の物件"
"PC_NEW_ZONE": "新しいゾーン"
"MENU_OPTIONS_MOUSE": "操作設定"
"CBA_GAC_WEAPON_SELECT_5": "　武器スロット5"
"CBA_VDC_PLANE_ACCELERATE": "　アクセル"
"MENU_CATEGORY": "カテゴリ"
"PLT_MENU_ASPECT_TOOLTIP": "メインメニューからアスペクトレシオを切り換えることができます"
"PC_CM_DEFAULT": "デフォルト"
"PC_COPY_CURRENT": "現在のコピー"
"COMMUNITY_EXISTING_FOUND_TEXT": "既にこのTHQ IDにリンクされたSteam アカウントがあります。既存のアカウントでログインしてください"
"CBA_VDC_PREV_RADIO": "　前のラジオ局"
"PLT_MENU_POST_PROCESSING_DETAIL": "    後処理の詳細"
"BTN_RTHUMB_TXT": "右スティック"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"PCACTION_BACKWARD": "後退"
"HASH_0AEDCF17": "ネットワークエラーが発生しました。\nメインメニューに戻ります"
"PC_VIDEO_QUALITY": "ビデオ品質"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "ここからが本番だ\n\nキーを押して続ける"
"CBA_VDC_LOOK_BEHIND": "　カメラリバース"
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "　旋回オーバーライド"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "　ヨーオーバーライド"
"PLT_MENU_PAUSE_FOCUS_TOOLTIP": "ゲームがフォーカスされていない場合はポースする"
"PC_ROTATION_SENSITIVITY_HINT": "カメラ回転感度"
"PCACTION_ATTACK_PRIMARY": "攻撃メイン"
"TUT_SPRINT": "{SPRINT_IMG}ダッシュ\nダッシュとアクションを組み合わせるとカッコイイ変化が起こる。ダッシュしながらいろいろなボタンを押してスーパーアクションを発見しろ！"
"NOT_LOGGED_IN": "この機能を使用するにはSteamでオンラインにするか、インターネットに再接続する必要があります"
"CBA_GAC_GRENADE_SWITCH": "　次のグレネード"
"CBA_GAC_MAP_MENU": "　携帯電話"
"PLT_MENU_VSYNC_TOOLTIP": "全画面表示でのティアリングを解消する垂直同期"
"MENU_OFF": "OFF"
"PLT_MENU_VOICE_ALWAYS_ON": "常にオン"
"PLT_QUIT_GAME_WARNING": "デスクトップへ戻ります。よろしいですか？"
"PC_TOD_NIGHT": "夜"
"PC_TOD_HINT": "ライティング設定"
"PC_DOF_CLOSEUP": "クローズアップ"
"PC_OPTIONS_HINT": "オプションダイアログを表示する"
"PC_SHOW_HUD": "HUD表示"
"PCACTION_HORN": "クラクション"
"CONTROLS_FORCE_FEED": "振動"
"STATS_CORRUPT_BODY": "プレイデータが破損しているためリセットされます。\nなお、獲得した実績は影響を受けません"
"PC_PLAY_SLOW_HINT": "録画したゲームプレイをスロー再生する"
"HASH_C407C71A": "GOGから切断されました。\nメインメニューに戻ります。"
"TUT_COMBAT_MELEE_2": "攻撃（強）中に表示されるボタンを押すとダメージと獲得リスペクトを増やせる"
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "カメラとミニマップの連動設定"
"CONTROL_R_STICK": "右スティック"
"MENU_CHANGES_MADE_BODY": "変更が反映されました。このまま保存しますか？"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "シャドウマップの解像度"
"PLT_MENU_REFLECTIONS": "    リフレクション"
"PLT_MENU_DISPLAY_2": "第2モニター"
"PC_CREATE_CHAR_HINT": "新しいキャラクターモデルを作成またはインポートする"
"PC_CAM_TILT": "カメラの傾き"
"HUD_PICK_UP_MESSAGE": "%lsを拾う "
"MENU_DISCARD": "もどる"
"PC_CM_STATIC": "固定"
"PC_FOV": "視界"
"PCACTION_FINE_AIM": "エイムモード"
"HASH_A87943DC": "ALT"
"HASH_5770315C": "%ls (右)"
"CBA_GAC_GRENADE_SELECT_4": "　グレネードスロット4"
"CBA_VDC_FIREARM": "　武器"
"MENU_PC_CHAT": "チャット"
"PC_DOF_DIST": "DOF距離"
"PLAYBACK_MODE_WARNING": "ムービーを編集"
"BTN_B_TXT": "A ボタン"
"PCACTION_BREAK": "ハンドブレーキ"
"PC_RECORD_MODE_ERROR_NO_SPACE": "ビデオを保存できません。ディスクスペースが不足してます"
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "　右へ移動"
"MENU_CATEGORY_ONFOOT": "徒歩"
"PLT_MENU_DISPLAY_INDEX": "モニター"
"HUD_DUAL_WIELD_MESSAGE": "%lsを両手に持つ"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "A ボタン"
"MENU_OPTIONS_GAMEPLAY_CAMERA_TIP": "車両を運転中にデフォルト視点に戻る速度"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "このSteamアカウントはTHQ IDにリンクされていません"
"TL_MIS_21_RIDE_KILLBANE_PC": "{WALK_FORW_BACK_IMG}／{WALK_LEFT_RIGHT_IMG}移動 \n{ATTACK_PRIMARY_IMG}パンチ\nキルベインをパンチして望む方向に移動させろ"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "設定を反映しますか？"
"PLT_MENU_VSYNC_GAMEPLAY_TOOLTIP": "ゲームプレイ中の垂直同期"
"PLT_MENU_WINDOWED": "ウィンドウ化"
"PLT_MENU_DISPLAY_PRESET": "プリセット"
"PC_DOF_RANGE": "DOF焦点範囲"
"PC_FOV_HINT": "カメラの視界です"
"PC_HANDYCAM_HINT": "ハンディカムの感度調整です"
"BTN_BACK_TXT": "A ボタン"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"PLT_MENU_REMAP_X_UNDER_Y": "／"
"CBA_VDC_BIKE_LEAN_BACK": "　バイク 後ろにもたれる"
"CBA_VDC_PLANE_TURN_RIGHT": "　右ロール"
"MENU_CATEGORY_CAR": "車／バイク／船"
"PC_W_DEFAULT": "デフォルト"
"PC_WEATHER_HINT": "天候の設定"
"PC_DOF_ZOOM": "ズーム"
"PC_PAUSE_HINT": "再生をポーズする"
"COMMUNITY_SUCCESS_LINK_EXT": "現在のSteamアカウントがTHQ IDにリンクされました"
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "このSteamアカウントは違うTHQ IDにリンクされています"
"CBA_GAC_WEAPON_SELECT_3": "　武器スロット3"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "　武器発射2"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "　上昇"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "　ピッチアップ"
"PLT_MENU_DISPLAY_1": "第1モニター"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "ハードディスクに空き容量がありません。\n別の保存場所を選択してください"
"PC_VOICE_HINT": "すべての声をON／OFFにする"
"PC_ZT_CUT": "カット"
"CBA_MENU_PC_TEXT_CHAT": "　テキストチャット"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "光源の画質"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "ビデオ設定を変更できません。変更が元に戻りました"
"PLT_MENU_VOICE_DISABLED": "無効"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "セーブスロットに空きがありません。\nスロットに上書きするか、別の保存場所を選択してください"
"PC_EXPORT_LOCK": "エクスポートロック"
"PC_EXPORT_SETTINGS": "設定のエクスポート"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"PC_CLIP_DELETE_CONFIRM": "本当にムービーを削除しますか？削除してしまうとファイルは失われます。"
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG}次の武器に切り替え\n{PREV_WEAPON_IMG}前の武器に切り替え"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "　ズーム（切り替え）"
"CBA_VDC_PLANE_TURN_LEFT": "　左ロール"
"PLT_ANISOTROPIC_TWO": "アニソトロピック2X"
"PLT_MENU_MED_DX10_ONLY": "MEDIUM（DX10以上）"
"PC_WATERMARK": "透かし"
"PC_SELECT_TARGET_HINT": "ターゲットを選択するのにコントローラーを使用する"
"PC_DOF_OFF": "OFF"
"PC_AV_OPTIONS_HINT": "環境オプションダイアログを表示する"
"PC_PLAY_FAST_HINT": "録画したゲームプレイを高速再生する"
"PCACTION_CONSUME_DOWN": "下を押して使う"
"PCACTION_RELOAD": "リロード"
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "ゲームのウィンドウがフォーカスされていない場合はポーズする"
"CBA_OFC_SPRINT": "　ダッシュ（長押し）"
"PLT_ANISOTROPIC_FOUR": "アニソトロピック4X"
"PLT_MENU_VOICE_PUSH_TO_TALK": "押して話す"
"PC_SM_FAST": "速い"
"PC_CAMERA_DONE": "完了"
"PLAYBACK_MODE_WARNING_TEXT": "現在の録画を停止して、編集、保存、エクスポートすることができます。新しく録画を行う場合は、メインメニューに戻る必要があります。編集を開始しますか？"
"PCACTION_FORWARD": "前進"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p (高)"
"PC_RECORD_MODE_CANCELLED_EXPORT": "保存キャンセル"
"STATS_CORRUPT_TITLE": "破損データ"
