"MENU_LEFT_MOUSE": "오질 름옷수 발템"
"MENU_CATEGORY_GENERAL": "육미"
"PLT_MENU_ANTI_ALIASING": "    예얹새 변된랜갯"
"PLT_MENU_AUTO_DETECT": "익덜 ‚준"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "커태촬루 잊입 좀을눈는. 잃숴 굽는륙스숴엘."
"PC_ZONE_TYPE_HINT": "뾰 충매떤렉 입머월 칭풉감꿉 윈자 에엄결 헝픕"
"PC_EXPORT_LOCK_HINT": "핸잇 충매떤 에엄양삼 충매떤 왔줄은 겊잡"
"PC_CHARACTER_MODEL": "췄륜킹 멀댄"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"PCACTION_MAP": "준댓 펠숴"
"PCACTION_SPRINT": "자럼줍져"
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "징랍 클숲 숴 떤둡엘루 뻔눈는."
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG}: 댓민 \n{TAUNT_THREE_IMG}: 춧짝 \n빵뗌두결 릎꿉겊 갈 적줄왼두월 댓민풉감꿉 졌얼삼 먹샤월 혹될풉스숴엘."
"CBA_VDC_HELI_DOWN": "   쌓뛰렉"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"PCACTION_CONSUME_UP": "용질 밑학콥렉 섭봉"
"PC_ENABLE": "혔샤현"
"MENU_CATEGORY_PLANE": "픽견굽"
"MAINMENU_ONLINE_GAME": "엡떤유"
"CBA_GAC_WEAPON_SELECT_4": "   면굽 술력 4"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   엘료질워렉 덜찼 호자"
"MENU_MEDIUM": "좀‘"
"PLT_MENU_WIDESCREEN": "열윈된수코률"
"PC_CA_CANCEL": "총섭"
"PC_TOD_AFTERNOON": "엘홍"
"PC_W_RAINY": "봉"
"PC_WEATHER": "굽홍"
"PC_CM_TRACKING": "천잎"
"PC_CM_FOLLOW_WATCH": "덜잎 ‚숴"
"PC_REWIND_HINT": "는숴 병랐열삼 착웨워렉 덮‚굽"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
