"COMMUNITY_SUCCESS_LINK_EXT": "浄占ЬぉをよぃをIDŤTHQ IDЩらをぎГ〈•ЕН"
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "БЬPlayStation[image:registered]NetworkぁおぅをでЭ財ŃTHQ IDЩらをぎГ〈ФĚ•З"
"PLT_PRESENCE_IN_MAIN_MENU": "むぃをむなやゝ"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "田Ů埋趣ŤĎ。•Й』ñ\nてゝぞ『価追ЕФ田Ů埋趣『ポ延ЕФŻОГĚ"
"MULTI_MENU_SYSLINK_SIGN_IN_FULL": "LANぶるぃХ讐‘ЩЭぁおぅをでЩ\nごぃをぃをЗ々尻脈ŤĎ。•З"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "ずゝふЕФĚ•Зñ\n揃ペЬ遮概『会、ШĚХŻОГĚ"
"BTN_BLACK_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_r1][/format]"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "ずゝふじれぢでЩ田ŮŤĎ。•Й』ñ\nずゝふЗ々ЩЭじれぢで『ェ捨ŮЗ々尻脈ŤĎ。•З"
"BTN_START_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_start][/format]"
"BTN_LTRIGGER_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_l2][/format]"
"BTN_WHITE_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_l1][/format]"
"MAINMENU_ONLINE_GAME": "ぉをよぃを"
"SAVELOAD_IMPORT_LOADING": "げをづをっ『ぃをぼゝでЕФĚ•Зñ\n揃ペЬ遮概『会、ШĚХŻОГĚ"
"PS3_HDD_WARNING": "揃けゝみЭぉゝでずゝふ日答『ミ混Е•Зñ\nHDDぁぎずじよをぶŤ殊標ЕФĚ々轢Э揃ペЬ遮概『会、ШĚХŻОГĚ"
"BTN_RTRIGGER_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_r2][/format]"
"STATS_CORRUPT_TITLE": "犯慈ЕНぶれぴあゝりЬぶるぃてゝぞ"
"COMMUNITY_SITE_BLURB": "位′ФЬがもよぎぞゝ『ぁぢぶれゝとЕФでれぴあゝ『洋尋Е　Ńñ\nげまやなづあХ書Щ二СНがもよぎぞゝ『脚ТЁН、ðたぅをれゝとЕФ在逮Щけゝみ介ХミСФ‥　Ńñ\nげまやなづあだもるをしЩ具倍ЕФけゝみぁぃづみ『洋尋ЕН。ðらぁりぞぃみЬげまやなづあぽぢぶЦð級休Хポ。ェАНぽぢぶ『脚暴“Н。З々БЦ″ХŮ々ñ\nげまやなづあ迫園Ьずぃをっれぅくぢす‼けゝみげをづをっ″脚課ЗШñ"
"BTN_LTHUMB_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_l3][/format]"
"DPAD_UP_TXT": "猟ほぞを"
"SYSTEM_LOGIN": "ごぃをぃを"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "ぉをよぃを悟矛Ť会扮Г〈•ЕН"
"PLT_PRESENCE_SPSTRONGHOLD": "%ls『ぶるぃギð\n忌殊雷%ls"
"PS3_INVITE_TEXT_CONFIRM": "%sŠ、けゝみ‚Ь心専『写ЁФĚ•Зñ\n{PAUSE_MENU_IMG}Х彷蔵Е•З"
"BTN_A_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_cross][/format]"
"HUD_HOLD_DPADUP_PARTY_DISMISS": "ヌ轢Ц住〈々"
"BTN_Y_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_ps3_btn_triangle][/format]"
"SAVE_WARNING_BOOT": "エ至Ť聴狭Г〈ФĚ々轢Э\nPlayStation[image:registered]3揃ペЬ遮概『会、ШĚХŻОГĚ"
"COOP_JOIN_CHEAT": "元倉ぶるぃЬばゝでどゝŤだゝで『ミ混ЕФĚ々Н′ð扱НЩポ延Г〈々З“ФЬずゝふてゝぞХだゝでŤ掘偉ЩШ。•Зñ\nぉゝでずゝふ日答Э殺偉ЩШ。•Зñ\nБ〈ナェでれぴあゝ『洋尋З々БЦЭХŮ•Й』"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "БЬPlayStation[image:registered]NetworkぁおぅをでЭ抜ЩTHQ IDЩらをぎГ〈ФĚ•З"
"GAME_PROFILE_SAVING": "ぶれぴあゝり『ずゝふЕФĚ•Зñ\nPlayStation[image:registered]3揃ペЬ遮概『会、ШĚХŻОГĚ"
"SYSTEM_LOGGING_IN": "ごぃをぃをЕФĚ•ЗñŚ専ПŻОГĚ..."
"MULTI_LOBBY_TITLE_SYSLINK": "LANぶるぃ れひゝ"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "れゝとЕФĚ•Зñ\n揃ペЬ遮概『会、ШĚХŻОГĚ"
"BTN_START_TXT": "猟ほぞを"
"BTN_LTRIGGER_TXT": "猟ほぞを"
"BTN_WHITE_TXT": "猟ほぞを"
"PS3_CACHE_WARNING": "がもぢざをくギЭ揃ペЬ遮概『会、ШĚХŻОГĚ"
"SAVELOAD_FILE_NOT_OWNED": "テЬゅゝさゝЬてゝぞ『荷‥認…БЦЭ任握•Й』\n扱脱Щけゝみ『喋′々Š財Ńてゝぞ『れゝとЕФŻОГĚ"
"MAIN_MENU_MATCHMAKING_FAIL": "ぽぢだむぃがをくХ悟矛ХŮ々けゝみŤ脚ТŠ。•Й』ХЕН"
"CONTROL_L_STICK": "好じづあぢぎ"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "%ls『%lsЦゾ愉З々"
"PS3_DISC_ERROR": "けゝみてあじぎぇよゝñてあじぎ『狂芝ЕФðけゝみ『仕襟健ЕФŻОГĚñ\nぇよゝ雷0x%08x"
"BTN_BLACK_TXT": "猟ほぞを"
"BTN_RTRIGGER_TXT": "猟ほぞを"
"PS3_BAD_PROFILE": "ゅゝさゝぶれぴあゝりŤ犯慈ЕФĚ•Зñ\n犯慈ЕНぴ〟ぃりЩ仕捨Ů認‥ЕФĚ•ЗñЕЮ、ŻŚ専ПŻОГĚ"
"COMMUNITY_CREATE_LINK_TEXT": "扱脱ЬTHQ ID『ポ延З々Šð抜回ЬIDЩ\nぉをよぃをID『らをぎГЙ•З"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}だゝで『ミ混З々Цでれぴあゝ『洋尋ХŮШŻШ。ðぉゝでずゝふŤ殺偉ЦШ。•Зñ\n\nだゝで『掘偉ЩЕ•ЗŠ需"
"MAINMENU_LOGIN_CHANGE_EXPOSITION": "ぶれぴあゝりŤ司捜Г〈НН′ðぞぃでり渡部Щ弟。•ЕН"
"MULTI_MENU_SYSLINK": "LANぶるぃ"
"PLT_MENU_VIEW_GAMERCARD": "ぶれぴあゝり『脚々"
"BTN_A_TXT": "猟ほぞを"
"SAVING_CONTENT_TITLE": "てゝぞ『ョ回ЕФĚ•Зñ"
"MENU_CONTROLS_STICK": "好じづあぢぎ ぁぎずり零ふるゝが"
"COMMUNITY_BLURB_HEADER": "SaintsRow.comЩぁぎずじЕФげまやなづあむをはゝЩШ〉Ń"
"MULTI_GAMETYPE_1": "LANぶるぃ"
