"COMMUNITY_SUCCESS_LINK_EXT": "現在のオンラインIDがTHQ IDにリンクされました"
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "このPlayStation™Networkアカウントは違うTHQ IDにリンクされています"
"PLT_PRESENCE_IN_MAIN_MENU": "メインメニュー"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "空き容量がありません。\nデータを削除して空き容量を作成してください"
"MULTI_MENU_SYSLINK_SIGN_IN_FULL": "LANプレイで遊ぶにはアカウントに\nサインインする必要があります"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "セーブしています。\nPlayStation®5の電源を切らないでください。"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps4_ctrl-r1][/format]"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "セーブスロットに空きがありません。\nセーブするにはスロットを上書きする必要があります"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps5_ctrl-options][/format]"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps4-ctrl-l2][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps4_ctrl-l1][/format]"
"MAINMENU_ONLINE_GAME": "オンライン"
"SAVELOAD_IMPORT_LOADING": "コンテンツをインポートしています。\n本体の電源を切らないでください"
"HASH_1B63DB43": "PlayStation™Network に接続していません。オンラインの協力プレイはできなくなります。 "
"PS3_HDD_WARNING": "本ゲームはオートセーブ機能を使用します。\nHDDアクセスランプが点滅している間は本体の電源を切らないでください"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps4-ctrl-r2][/format]"
"STATS_CORRUPT_TITLE": "破損したプロフィールのプレイデータ"
"COMMUNITY_SITE_BLURB": "初めてのキャラクターをアップロードしてトロフィーを獲得しよう。\nコミュニティで気に入ったキャラクターを見つけたら、ダウンロードして実際にゲーム内で使ってみよう。\nコミュニティチャレンジに参加してゲームアイテムを獲得したり、リアルタイムのコミュニティマップと、自分で作り上げたマップを見比べたりすることもできる。\nコミュニティ限定のセインツロウグッズやゲームコンテンツも見逃すな。"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps4_ctrl-stick_l-d][/format]"
"DPAD_UP_TXT": "○ボタン"
"SYSTEM_LOGIN": "サインイン"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "オンライン接続が切断されました"
"PLT_PRESENCE_SPSTRONGHOLD": "%lsをプレイ中、\n拠点：%ls"
"PS3_INVITE_TEXT_CONFIRM": "%sからゲームへの招待を受けています。\n{PAUSE_MENU_IMG}で承諾します"
"BTN_A_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps5_ctrl-cross][/format]"
"HUD_HOLD_DPADUP_PARTY_DISMISS": "仲間と別れる"
"BTN_Y_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps5_ctrl-triangle][/format]"
"SAVE_WARNING_BOOT": "このアイコンが表示されている間は、\nPlayStation®5の電源を切らないでください。"
"COOP_JOIN_CHEAT": "協力プレイのパートナーがチートを使用しているため、新たに作成されるすべてのセーブデータでチートが有効になります。\nオートセーブ機能は無効になります。\nこれ以上トロフィーを獲得することはできません"
"CTRL_DISCONNECT_TEXT": "続けるには、ワイヤレスコントローラーを再接続して、{PAUSE_MENU_IMG}を押してください。"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "このPlayStation™Networkアカウントは既にTHQ IDにリンクされています"
"GAME_PROFILE_SAVING": "プロフィールをセーブしています。\nPlayStation[image:registered]3本体の電源を切らないでください"
"SYSTEM_LOGGING_IN": "サインインしています。お待ちください... "
"MULTI_LOBBY_TITLE_SYSLINK": "LANプレイ ロビー"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "ロードしています。\n本体の電源を切らないでください"
"BTN_START_TXT": "○ボタン"
"BTN_LTRIGGER_TXT": "○ボタン"
"BTN_WHITE_TXT": "○ボタン"
"PS3_CACHE_WARNING": "キャッシング中は本体の電源を切らないでください"
"HASH_70DB6EC9": "オンライン"
"SAVELOAD_FILE_NOT_OWNED": "他のユーザーのデータを読み込むことは出来ません\n新規にゲームを始めるか違うデータをロードしてください"
"MAIN_MENU_MATCHMAKING_FAIL": "マッチメイキングで接続できるゲームが見つかりませんでした "
"CONTROL_L_STICK": "左スティック"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": "%lsを%lsと交換する"
"PS3_DISC_ERROR": "ゲームディスクエラー。ディスクを確認して、ゲームを再起動してください。\nエラー：0x%08x"
"BTN_BLACK_TXT": "○ボタン"
"BTN_RTRIGGER_TXT": "○ボタン"
"PS3_BAD_PROFILE": "ユーザープロフィールが破損しています。\n破損したファイルに再書き込みしています。しばらくお待ちください"
"COMMUNITY_CREATE_LINK_TEXT": "新規のTHQ IDを作成するか、既存のIDに\nオンラインIDをリンクさせます"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}チートを使用するとトロフィーを獲得できなくなり、オートセーブが無効となります。\n\nチートを有効にしますか？"
"MAINMENU_LOGIN_CHANGE_EXPOSITION": "プロフィールが変更されたため、タイトル画面に戻りました"
"MULTI_MENU_SYSLINK": "LANプレイ"
"PLT_MENU_VIEW_GAMERCARD": "プロフィールを見る"
"BTN_A_TXT": "○ボタン"
"SAVING_CONTENT_TITLE": "データを保存しています。"
"MENU_CONTROLS_STICK": "左スティック アクセル／ブレーキ"
"COMMUNITY_BLURB_HEADER": "SaintsRow.comにアクセスしてコミュニティメンバーになろう"
"MULTI_GAMETYPE_1": "LANプレイ"
"PS3_NO_SPACE_TO_SAVE_NEW_GAME": "新規セーブデータを作成するにはHDDの空き容量が足りません"
"BTN_LTHUMB_TXT": "○ボタン"
"DPAD_UP_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_ps5_ctrl-dpad-u][/format]"
"PLT_PRESENCE_SPACTIVITY": "%lsをプレイ中、\nアクティビティ：%ls"
