"DROP_SPHERE": "DAI SFERA"
"POC2_STRONHOLD_UPRGADE": "POTENZIA ROCCAFORTE"
"ALL_VARIANTS_ALREADY_OWNED": "Possiedi già tutti gli stili di questo oggetto."
"STAT_COOP_POLICE_NOTORIETY_TIME": "COOP: TEMPO CON NOTORIETÀ MASSIMA PRESSO LA POLIZIA"
"STAT_DRIVING_TWOWHEELS": "DUE RUOTE"
"STAT_MAX_STUNT_JUMP_HEIGHT": "ALTEZZA MAX SALTO"
"ESCORT_NAME_24B": "SCOOTER"
"HASH_01D23301": "DEATH TAG: VITTORIE"
"DROP_GATMOBILE": "RICEVI GAT MOBILE"
"BUSHWICK_BILL_DESC": "Tutti si restringono in tutto il mondo."
"HUD_CRIB_WALKING_STYLE": "PERSONALIZZARE I TUOI MOVIMENTI"
"PURCHASEABLE_PROPERTEY_MONEYLUANDERING": "FILL-HER-UP SUPER TOY SHOP"
"STORE_INVENTORY_EMPTY": "Non c'è più niente da comprare!"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "PROF. GENKI: COMPLETATO"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "VANDALISMO BLINDATO: COMPLETATO"
"STAT_SECRET_AREAS_FOUND": "AREE SEGRETE TROVATE"
"Coop Col2_NAME": "CLASSIFICA COOP"
"MAP_ICON_DRUG_TRAFFICKING": "TRAFFICANTE"
"COMERCIAL_6": "SCONTI DEL 25% DA FRIENDLY FIRE"
"POC2_WEAPON_UPGRADE_3": "POTENZIA ARMA - LIVELLO 3"
"WPN_STORE_SMG_TITLE": "MITRA"
"TAT_REG_R_LEG": "GAMBA DESTRA"
"HORDE_MODE_TITLE_COMPLETE": "ONDATA {0} COMPLETATA"
"ESCORT_NAME_26B": "St. James"
"EVIL_CARS_2_DESC": "Tutti sono piloti provetti, e tutti cercano di ucciderti."
"STORE_TERTIARY_COLOR": "COLORE TERZIARIO"
"STORE_TITLE_DISCARD_OUTFIT_WARNING": "ATTENZIONE"
"STORE_UNDERWEAR_SUB_WARNING": "Non puoi rimuovere un capo di biancheria che stai attualmente indossando."
"GARAGE_REPAIR_BEFORE_CUSTOMIZATION": "Prima di personalizzare il veicolo devi ripararlo."
"GARAGE_VEHICLE_OPTION": "OPZIONI VEICOLO"
"WPN_STORE_THROWN_TITLE": "DA LANCIO"
"STAT_MONEY_PALLETS_FOUND": "BANCALI DI CONTANTI TROVATI"
"STAT_UNIQUE_VEHICLES_DRIVEN": "VEICOLI UNICI GUIDATI"
"STAT_SPECIAL_HIT_PCT": "COLPI DI ARMA SPECIALE A SEGNO"
"STAT_DRIVING_BACKSEAT_RESPECT": "RISPETTO GUADAGNATO DA PASSEGGERO POSTERIORE"
"STAT_DRIVING_STOPPIE_RESPECT": "RISPETTO OTTENUTO CON IMPENNATE POSTERIORI"
"Partners in Crime_HOWTO": "COMPLETA TUTTE LE MISSIONI CAMPAGNA IN COOP"
"MAP_IMG_CLOTHING": "[format][scale:1.0][image:map_store_clothing][/format]"
"TAT_REG_R_SHOULDER": "SPALLA DESTRA"
"CUST_ITEM_WEAR": "INDOSSA"
"STAT_MOST_HATED_GANG": "GANG PIÙ ODIATA"
"ESCORT_NAME_20B": "FRANA"
"MAP_ICON_TANK_MAYHEM": "VANDALISMO BLINDATO"
"COMERCIAL_8": "SCONTI DEL 25% DA IMPRESSIONS"
"PURCHASEABLE_PROPERTEY_BROTHEL2": "RED ONION HERB DISPENSARY"
"GARAGE_CAT_3": "PRESTAZIONI"
"STAT_DRIVING_BIGAIR_HEIGHT": "ALTEZZA MASSIMA"
"CUST_GANG_NAME_PIMP": "PAPPONI E PROSTITUTE"
"GOLDEN_GUN": "PISTOLA D'ORO"
"GIVE_RESPECT": "RISPETTO IMMEDIATO"
"DROP_KENSHIN": "RICEVI KENSHIN"
"VCUST_PERFORMANCE_REMOVE": "STANDARD"
"UNLOCKABLE_TITLE_CAPS": "SBLOCCATO"
"GARAGE_CUST_NAME": "RIM JOBS"
"STAT_COMBAT_THROWN_RESPECT": "RISPETTO OTTENUTO CON UCCISIONI DA LANCIO"
"ESCORT_NAME_22B": "SPELEOLOGO"
"Coop Meta Game Points_NAME": "PUNTI METAGAME"
"CONTROL_RESUME": "RIPRENDI"
"WRATH_OF_GOD_DESC": "Fulmine!"
"DROP_SHARK": "RICEVI SHARK"
"WPNSTOR_CRIB_TAKE_BLANK_FULL": "Vuoi prendere dall'alloggio: \"%s\"?"
"VEHICLE_COLOR": "COLORE"
"GARAGE_RETRIEVE_TEXT": "Vuoi davvero prelevare questo veicolo?"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "GATTO E TOPO: SERIE DI UCCISIONI PIÙ LUNGA"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "ASSALTO IN ELICOTTERO COMPLETATO"
"STAT_DIVERSION_RESPECT_EARNED": "RISPETTO GUADAGNATO CON DIVERSIVI"
"STAT_ENEMY_GANG_KILLED": "MEMBRI DELLE GANG NEMICHE UCCISI"
"ZOMBIE_PEDS": "ZOMBI"
"VCUST_RIM_SIZE_OPTION": "DIM CERCHIONI"
"PCS_RETURN_MAIN": "TORNA AL MENU PRINCIPALE"
"Total Cop Kills_NAME": "TOTALE UCCISIONI POLIZIA"
"THQ": "THQ"
"SMASH": "VEICOLO DA COLLISIONE"
"MILK_BONES_DESC": "Gli attacchi corpo a corpo sono letali."
"VEHICLE_PAINT_TYPE": "TIPO DI VERNICE"
"STAT_HUMAN_SHIELD_KILLS": "SCUDI UMANI UCCISI"
"ESCORT_NAME_30A": "INCANDESCENTE"
"RADIO_STATION_GENX": "GENERATION X"
"Vehicle Jump Height_NAME": "MIGLIOR ALTEZZA"
"Time Played_NAME": "TEMPO DI GIOCO TOTALE"
"MainMenu": "NEL MENU PRINCIPALE"
"MAP_IMG_UNKOWN_STORE": "[format][scale:1.0][image:map_other_hidden_store][/format]"
"GIVE_RCGUN": "RICEVI POSSESSOR RC"
"MASCOT_PEDS": "MASCOTTE"
"STORE_GARAGE_MSG": "VAI AL TUO GARAGE"
"STAT_GRENADE_KILLS": "UCCISIONI GRANATA"
"STAT_MAX_HUMAN_THROWN_DIST": "DISTANZA MAX LANCIO UMANO"
"HASH_9A7AD50B": "VALUTAZIONE AUTO IN CORSA"
"EXIT_STRONGHOLD": "ESCI DALLA ROCCAFORTE"
"WPN_STORE_PURCHASE_PROMPT": "Vuoi comprare {0} per ${1}?"
"VCUST_SPINNERS_TITLE": "ROTORI"
"GANG_CUST_SLOT_2": "SPAZIO 2"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "COOP: DIVERSIVI IN TANDEM COMPLETATI"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "LANCIO DAL PARABREZZA PIÙ LUNGO"
"STAT_DRIVING_WINDSHIELD": "LANCIO DAL PARABREZZA"
"ESCORT_NAME_32A": "BLOODY"
"HASH_AE65D08C": "DEATH TAG: SERIE DI MORTI PIÙ LUNGA"
"TAXI_PURCHASE": "PAGA LA CORSA"
"TAXI_CAB_3": "TNA TAXIS"
"STORE_PURCHASE_ITEM": "ACQUISTA"
"PURCHASEABLE_PROPERTEY_ESTATES": "HAVEMAYER ESTATES"
"PURCHASEABLE_PROPERTEY_SERVICE": "HANDY J'S LUBE & TUBE"
"VEHICLE_REPAIR_HUD_MESSAGE": "HAI RIPARATO IL TUO VEICOLO"
"WPNSTOR_TITLE_WEAPON_CACHE": "DEPOSITO DI ARMI"
"STORE_TEXT_DISCARD": "Vuoi scartare quest'oggetto dal tuo guardaroba?"
"HORDE_MODE_TITLE_FINAL_FAIL": "ONDATA FINALE FALLITA"
"STAT_SEX_DOLLS_FOUND": "BAMBOLE GONFIABILI TROVATE"
"STAT_RIFLE_HIT_PCT": "COLPI DI FUCILE A SEGNO"
"STAT_DRIVING_WRONGWAY": "CONTROMANO"
"ESCORT_NAME_28B": "DOPPIO"
"Diversion Gold Stars_NAME": "STELLE D'ORO"
"FULL_HEALTH": "ENERGIA MASSIMA"
"GANG_CUST_EXIT_PROMPT": "Vuoi davvero uscire dalla\n\nPersonalizzazione gang?"
"HORDE_MODE_INVULNERABILITY": "Invulnerabilità!"
"ESCORT_NAME_34A": "GRECO"
"OPTION_NO": "NO"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_FULL": "Caricamento fallito: periferica di memorizzazione\npredefinita non disponibile."
"ACCEPT_GAME_INVITE_TITLE": "ATTENZIONE"
"PLAYER_CREATION_LEAVE_FULL": "Vuoi davvero uscire dalla creazione del giocatore?"
"STORE_NAME_NIGHT_CLUB": "NIGHT CLUB"
"VCUST_GARAGE_EXIT_PROMPT": "Vuoi davvero uscire dal garage?"
"STAT_DRIVING_NEARMISS_RESPECT": "RISPETTO OTTENUTO CON INCIDENTI MANCATI"
"STAT_FAVORITE_WEAPON": "ARMA PREFERITA"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "Vuoi davvero creare questo completo?"
"TAXI_INVALID_DESTINATION": "Non puoi pagare una corsa verso quella destinazione."
"DROP_FIVE0": "RICEVI FIVE-0"
"GIVE_ALL_WEAPONS_DESC": "Ti dà un set completo di armi."
"BUSHWICK_BILL": "TUTTI SI DEVONO STRINGERE"
"NEVER_DIE": "IMMORTALE"
"HITMAN_NAME": "NOME BERSAGLIO"
