"DROP_SPHERE": "DAJ KULĘ"
"POC2_STRONHOLD_UPRGADE": "ULEPSZ FORTECĘ"
"ALL_VARIANTS_ALREADY_OWNED": "Już posiadasz wszystkie style ubioru."
"STAT_COOP_POLICE_NOTORIETY_TIME": "WSPÓŁPRACA: CZAS MAKSYMALNEJ KOSY U POLICJI"
"STAT_DRIVING_TWOWHEELS": "DWA KOŁA"
"STAT_MAX_STUNT_JUMP_HEIGHT": "NAJWYŻSZY SKOK"
"ESCORT_NAME_24B": "GÓRALA"
"HASH_01D23301": "ZNAK ŚMIERCI: ZWYCIĘSTWA"
"DROP_GATMOBILE": "DAJ GAT MOBILE"
"BUSHWICK_BILL_DESC": "Wszyscy ludzie na całym świecie zmniejszają się."
"HUD_CRIB_WALKING_STYLE": "ZMODYFIKOWAĆ STYL PORUSZANIA SIĘ"
"PURCHASEABLE_PROPERTEY_MONEYLUANDERING": "SUPER ZABAWKI \"ZAŁADUJ JĄ\""
"STORE_INVENTORY_EMPTY": "Nie pozostało nic do kupienia!"
"STAT_RUNNING_MAN_LEVELS_COMPLETED": "PROF. GENKI: UKOŃCZONE"
"STAT_TANK_MAYHEM_LEVELS_COMPLETED": "PANCERNY CHAOS: UKOŃCZONE"
"STAT_SECRET_AREAS_FOUND": "ZNALEZIONE UKRYTE MIEJSCA"
"Coop Col2_NAME": "RANKINGI TRYBU WSPÓŁPRACY"
"MAP_ICON_DRUG_TRAFFICKING": "HANDEL"
"COMERCIAL_6": "ZNIŻKA 25% W \"TWOIM PRZYJACIELU GNACIE\""
"POC2_WEAPON_UPGRADE_3": "ULEPSZ BROŃ - POZIOM 3"
"WPN_STORE_SMG_TITLE": "PISTOLETY MASZYNOWE"
"TAT_REG_R_LEG": "P NOGA"
"HORDE_MODE_TITLE_COMPLETE": "ETAP {0} UKOŃCZONY"
"ESCORT_NAME_26B": "narciarza"
"EVIL_CARS_2_DESC": "Każdy jest kierowcą wyścigowym i próbuje cię przejechać."
"STORE_TERTIARY_COLOR": "TRZECIORZĘDNY KOLOR"
"STORE_TITLE_DISCARD_OUTFIT_WARNING": "UWAGA"
"STORE_UNDERWEAR_SUB_WARNING": "Nie możesz zdjąć bielizny, którą obecnie nosisz."
"GARAGE_REPAIR_BEFORE_CUSTOMIZATION": "Przed modyfikacją musisz naprawić pojazd."
"GARAGE_VEHICLE_OPTION": "OPCJE POJAZDU"
"WPN_STORE_THROWN_TITLE": "BROŃ MIOTANA"
"STAT_MONEY_PALLETS_FOUND": "ZNALEZIONE ZWITKI BANKNOTÓW"
"STAT_UNIQUE_VEHICLES_DRIVEN": "PROWADZONE MODELE POJAZDÓW"
"STAT_SPECIAL_HIT_PCT": "PROCENT TRAFIEŃ Z BRONI SPECJALNEJ"
"STAT_DRIVING_BACKSEAT_RESPECT": "SZACUN ZDOBYTY NA GRZE W OFIARĘ POD KOŁAMI"
"STAT_DRIVING_STOPPIE_RESPECT": "SZACUN ZDOBYTY NA ROBIENIU STÓJEK"
"Partners in Crime_HOWTO": "UKOŃCZ WSZYSTKIE MISJE KAMPANII W TRYBIE WSPÓŁPRACY"
"MAP_IMG_CLOTHING": "[format][scale:1.0][image:map_store_clothing][/format]"
"TAT_REG_R_SHOULDER": "P RAMIĘ"
"CUST_ITEM_WEAR": "ZAŁÓŻ "
"STAT_MOST_HATED_GANG": "NAJBARDZIEJ ZNIENAWIDZONY GANG"
"ESCORT_NAME_20B": "JASTRZĘBIA"
"MAP_ICON_TANK_MAYHEM": "PANCERNY CHAOS"
"COMERCIAL_8": "ZNIŻKA 25% WE \"WRAŻENIACH\""
"PURCHASEABLE_PROPERTEY_BROTHEL2": "ZIELARNIA CZERWONA CEBULA"
"GARAGE_CAT_3": "OSIĄGI"
"STAT_DRIVING_BIGAIR_HEIGHT": "NAJWIĘKSZA WYSOKOŚĆ"
"CUST_GANG_NAME_PIMP": "ALFONSI I DZIWKI"
"GOLDEN_GUN": "ZŁOTY PISTOLET"
"GIVE_RESPECT": "DAJ SZACUN"
"DROP_KENSHIN": "DAJ KENSHIN"
"VCUST_PERFORMANCE_REMOVE": "FABRYCZNE"
"UNLOCKABLE_TITLE_CAPS": "ODBLOKOWANE"
"GARAGE_CUST_NAME": "LIZANKO"
"STAT_COMBAT_THROWN_RESPECT": "SZACUN ZDOBYTY NA ZABÓJSTWACH BRONIĄ MIOTANĄ"
"ESCORT_NAME_22B": "GROTOŁAZA"
"Coop Meta Game Points_NAME": "METAPUNKTY ROZGRYWKI"
"CONTROL_RESUME": "WZNÓW"
"WRATH_OF_GOD_DESC": "Piorun!"
"DROP_SHARK": "DAJ SHARK"
"WPNSTOR_CRIB_TAKE_BLANK_FULL": "Czy chcesz wziąć \"%s\" z chaty?"
"VEHICLE_COLOR": "KOLOR"
"GARAGE_RETRIEVE_TEXT": "Czy naprawdę chcesz wyprowadzić ten pojazd?"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "KOTEK I MYSZKA: NAJDŁUŻSZY CIĄG ZABÓJSTW"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "UKOŃCZONE ATAKI Z POWIETRZA"
"STAT_DIVERSION_RESPECT_EARNED": "SZACUN ZDOBYTY NA DYWERSJACH"
