"Storye01_In_Crawl_02": "Nedílná součást historie lidstva."
"Story19_In_18_Reynolds": "Tohle není Los Angeles."
"Story05_Out_04_Phillipe": "Svatí nejsou nic víc než bílý šum plný planých hrozeb."
"Story02_In_31_Gat": "Odletím s ním zpátky do Stilwateru."
"22_Choice_03_Angel": "Ne! Nenechám ho vyhrát! MY ho nenecháme vyhrát."
"Story24_Out_05_Player_BM": "Sorry."
"Story22_OutB_16_Space_Marines": "Hurá!"
"Story21_In_06_Zach": "No, a je to tady, Bobby. Svaté tady nikdo nevítá..."
"Story18_In_03_Trooper": "Slyšel jsem střelbu, tudy!"
"Story17_Mid_10_Agent": "Nedívejte se na velitele!"
"Story03_Out_04_Pierce": "Holka, nešpiň se s tím. Jen to nech hezky na nás."
"Story24_Out_02_Player_BM": "Podařilo se mi něco najít. Sakra."
"Story16_Out_04_Matt": "To je fakt hezký, ale já mám pocit, že je na čase, abych šel. Abych pravdu řekl, tak mám strach, že, no... umřu."
"Story15_In_07_Pierce": "To jde?"
"Story13_In_02_Shaundi": "Jsem v pohodě."
"Story06_Out01_01_Player_BM": "Je na čase vrátit se domů a pohřbít Johnnyho."
"CTO_Angel01_07_Player": "Jasně... počkat, cože?"
"Story07_Zscene03_02_Oleg": "A ty nejseš jeden z Killbanových Luchadorů..."
"Story01_Zscene01_01_Josh": "Hej... nemůžu dejchat."
"Story24_Out_01_Player_BM": "Mars pro mě měl bejt novej život. Kde nebudu vyčnívat. Vyhýbat se problémům. Ale podařilo se mi..."
"Story17_Out_08_Cyrus": "Bude poslouchat. Všichni budou."
"Story13_Out_08_Kia": "Najdu ji."
"Story10_Out_05_Cyrus": "Až vyhrajeme ve válce s městským terorem, budete vy i vaše rodiny zase v bezpečí."
"Story08_In_09_Pierce": "A do prdele! To nejsou štětky!"
"CTO_Zimos02_01_Player_BM": "To je ale zkurveně hnusnej obraz."
"Story20_Out_02_Player_BM": "Pokud chceš bojovat s nejlepšíma, bojuj se mnou."
"Story19_In_08_Player": "Burt zasranej Reynolds?"
"SH_Morningstar01_01_Player_BM": "Je tam spousta lidí s bouchačkama. Půjdeme zadem."
