"Storye01_In_Crawl_02": "Die Geschichte der Menschheit"
"Story19_In_18_Reynolds": "Wir sind hier nicht in Los Angeles."
"Story05_Out_04_Phillipe": "Die Saints sind nichts anderes als das weiße Rauschen leerer Drohungen."
"Story02_In_31_Gat": "Ich fliege es nach Stilwater."
"22_Choice_03_Angel": "Nein! Ich kann ihn nicht gewinnen lassen. WIR können ihn nicht gewinnen lassen."
"Story24_Out_05_Player_BM": "Sorry."
"Story22_OutB_16_Space_Marines": "Hurra!"
"Story21_In_06_Zach": "Tja, da sieht man es, Bobby. Die Saints sind hier nicht gern gesehen ..."
"Story18_In_03_Trooper": "Ich habe Schüsse gehört. Aus dieser Richtung!"
"Story17_Mid_10_Agent": "Glotz den Kommandanten nicht so an!"
"Story03_Out_04_Pierce": "Mädchen, lass es lieber. Kümmern wir uns ums Geschäft."
"Story24_Out_02_Player_BM": "Aber, ich habe etwas gefunden ... verdammt."
"Story16_Out_04_Matt": "Das ist nett, aber ich denke, es ist Zeit für mich, weiterzugehen. Um ehrlich zu sein, ich habe etwas Angst davor ... tja ... zu sterben."
"Story15_In_07_Pierce": "So etwas kann man machen?"
"Story13_In_02_Shaundi": "Passt schon."
"Story06_Out01_01_Player_BM": "Wird Zeit, nach Hause zu gehen und Johnny zu begraben."
"CTO_Angel01_07_Player": "Weiter ... Moment, was?"
"Story07_Zscene03_02_Oleg": "Und Sie sind keiner von Killbanes Luchadores ..."
"Story01_Zscene01_01_Josh": "Ich ... ich kann nicht atmen."
"Story24_Out_01_Player_BM": "Ich bin zum Leben auf den Mars gegangen. Unauffällig bleiben. Ärger vermeiden. Aber, ich habe etwas gefunden."
"Story17_Out_08_Cyrus": "Er wird sich fügen. Das werden sie alle tun."
"Story13_Out_08_Kia": "Ich werde sie finden."
"Story10_Out_05_Cyrus": "Wenn wir den Krieg gegen den Terror in der Stadt gewinnen, werden Sie und Ihre Familien wieder sicher sein."
"Story08_In_09_Pierce": "OH, SCHEISSE! Diese Nutten sind gar keine Nutten!"
"CTO_Zimos02_01_Player_BM": "Das ist ein verdammt hässliches Bild."
"Story20_Out_02_Player_BM": "Wenn du gegen den Besten kämpfen willst, musst du gegen mich kämpfen."
"Story19_In_08_Player": "Burt-verdammtnochmal-Reynolds?!"
"SH_Morningstar01_01_Player_BM": "Da drin wird jeder bis an die Zähne bewaffnet sein. Wir gehen besser von hinten rein."
"Story21_Zscene01_04_Zach": "Halt, der Stilwater Butcher bahnt sich seinen Weg zu Angel."
"Story01_Zscene02_02_Gat": "NICHT BERÜHREN!"
"Story02_In_27_Gat": "Boss, du musst hier raus!"
"CTO_Zimos02_05_Player_BM": "Erst die Arbeit, dann das Vergnügen. Ich ruf dich an, wenn ich wieder was gegen die Morgensterne unternehme."
"Story15_In_18_Kinzie": "Seine Leute sind vermutlich bereits auf dem Weg zum Computer! LOS!"
"Story12_In_11_Pierce": "Wenn wir den richtigen Köder auslegen, kommt er zu uns. Deshalb brauche ich dich und die Neue."
"Story09_Out_03_Killbane": "Ich bin der General, ich bin der Zar, ich bin die Wandelnde Apokalypse, und ich treffe die Entscheidungen ... nicht du!"
"Story08_Out_10_Killbane": "Entschuldigung angenommen. Ich besorge dir ein VIP-Ticket für den Murderbrawl, das wird dich aufmuntern."
