"Storye01_In_Crawl_02": "Główny składnik ludzkiej historii."
"Story19_In_18_Reynolds": "To nie Los Angeles."
"Story05_Out_04_Phillipe": "Święci to tylko szum próżnych gróźb."
"Story02_In_31_Gat": "Poprowadzę go do Stilwater."
"22_Choice_03_Angel": "Nie! Nie mogę pozwolić, żeby wygrał. Nie możemy na to pozwolić."
"Story24_Out_05_Player_BM": "Przepraszam."
"Story22_OutB_16_Space_Marines": "Hurra!"
"Story21_In_06_Zach": "No i proszę, Bobby - Święci, nikt ich tu nie lubi..."
"Story18_In_03_Trooper": "Słyszałem strzały, tędy!"
"Story17_Mid_10_Agent": "Nie gap się na komandora!"
"Story03_Out_04_Pierce": "Nie jesteś od brudnej roboty. My to załatwimy."
"Story24_Out_02_Player_BM": "Ale znalazło się tu coś... Cholera."
"Story16_Out_04_Matt": "Urocze, ale czuję, że czas pójść naprzód. Szczerze mówiąc, trochę się boję... śmierci."
"Story15_In_07_Pierce": "Da się tak?"
"Story13_In_02_Shaundi": "Nie, jest mi z tym dobrze."
"Story06_Out01_01_Player_BM": "Pora wracać do domu i pochować Johnny'ego."
"CTO_Angel01_07_Player": "Dobra... Że co?"
"Story07_Zscene03_02_Oleg": "A ty nie jesteś jednym z Luchadores Killbane'a."
"Story01_Zscene01_01_Josh": "Nie mogę oddychać."
"Story24_Out_01_Player_BM": "Jestem na Marsie po to, żeby zarabiać na życie. Nie wychylać się. Nie szukać kłopotów. Ale znalazło się tu coś..."
"Story17_Out_08_Cyrus": "Podporządkuje się jak wszyscy."
"Story13_Out_08_Kia": "Znajdę ją."
"Story10_Out_05_Cyrus": "Kiedy wygramy wojnę z miejskim terroryzmem, wasze rodziny będą znowu bezpieczne."
"Story08_In_09_Pierce": "Cholera! Te dziwki to nie dziwki!"
"CTO_Zimos02_01_Player_BM": "Kurwa, co za obrzydlistwo."
"Story20_Out_02_Player_BM": "Chcesz walczyć z najlepszymi, walcz ze mną."
"Story19_In_08_Player": "O kurwa, Burt Reynolds?"
"SH_Morningstar01_01_Player_BM": "Od cholery ludzi z bronią tam jest. Wejdziemy od tyłu."
"Story21_Zscene01_04_Zach": "Czekaj, Rzeźnik ze Stilwater zmierza do Angela."
