"Storye01_In_Crawl_02": "История об истории человечества."
"Story19_In_18_Reynolds": "Это не Лос-Анджелес."
"Story05_Out_04_Phillipe": "Святые - это не более чем белый шум пустых угроз."
"Story02_In_31_Gat": "Полечу обратно в Стилуотер."
"22_Choice_03_Angel": "Нет! Я не позволю ему победить. МЫ не позволим ему победить."
"Story24_Out_05_Player_BM": "Прости."
"Story22_OutB_16_Space_Marines": "Ура!"
"Story21_In_06_Zach": "Ну вот, Бобби, пожалуйста: Святых здесь не любят..."
"Story18_In_03_Trooper": "Я слышал стрельбу, сюда!"
"Story17_Mid_10_Agent": "Не смотреть на командира!"
"Story03_Out_04_Pierce": "Девочка, не суетись. Давайте подумаем о деле."
"Story24_Out_02_Player_BM": "Но мне вдруг попалось... Черт."
"Story16_Out_04_Matt": "Это мило, но я чувствую, что пришло мне время двигаться дальше. Честно говоря, я не немного боюсь... ну... умереть."
"Story15_In_07_Pierce": "Ты можешь сделать так же?"
"Story13_In_02_Shaundi": "Сама разберусь."
"Story06_Out01_01_Player_BM": "Пора возвращаться домой и похоронить Джонни."
"CTO_Angel01_07_Player": "Точно. Стоп, что?"
"Story07_Zscene03_02_Oleg": "И не из лучадоров Киллбейна..."
"Story01_Zscene01_01_Josh": "Я... Я не могу дышать."
"Story24_Out_01_Player_BM": "Мне хотелось жить на Марсе. Спокойно жить, держаться подальше от бед. Но мне вдруг попалось..."
"Story17_Out_08_Cyrus": "Он согласится - они всегда соглашаются."
"Story13_Out_08_Kia": "Я найду ее."
"Story10_Out_05_Cyrus": "Если мы выиграем войну против городских кошмаров, вы и ваши семи снова будете в безопасности."
"Story08_In_09_Pierce": "О ЧЕРТ! Эти шлюхи - не шлюхи!"
"CTO_Zimos02_01_Player_BM": "Это отвратительная ебучая картина."
"Story20_Out_02_Player_BM": "Хочешь драться с лучшим - дерись со мной."
"Story19_In_08_Player": "Берт-ебаный-Рейнолдс?!"
"SH_Morningstar01_01_Player_BM": "Там куча вооруженных людей. Войдем через задний ход."
"Story21_Zscene01_04_Zach": "Стойте, Стилуотерский Мясник направляется к Анхелю."
"Story01_Zscene02_02_Gat": "НЕ ТРОГАЙ!"
"Story02_In_27_Gat": "Босс, прыгай!"
"CTO_Zimos02_05_Player_BM": "Буянить будем, когда дело сделаем. Я позвоню тебе, когда подготовлюсь к следующему шагу против \"Утренней звезды\"."
"Story15_In_18_Kinzie": "Его люди уже наверняка на полпути к компьютеру! ВПЕРЕД!"
"Story12_In_11_Pierce": "Если найдем подходящую наживку, он сам к нам придет. Поэтому мне понадобишься ты и новая девчонка."
"Story09_Out_03_Killbane": "Я генерал, я царь, я Ходячий Апокалипсис, и я принимаю решения - не ты!"
"Story08_Out_10_Killbane": "Извинения приняты. Я сделаю тебе ВИП-пропуск в \"Смертельную драку\", это тебя несколько взбодрит."
"Story21_In_10_": "Не могу ждать, давайте приступим!"
"Story10_Out_04_Reporter_02": "А какое влияние КАБАН окажет на нашу повседневную жизнь?"
"Story02_In_09_Viola": "И именно об этом с вами хочет поговорить наш наниматель."
"Storye01_In_Crawl_09": "Дело в том, что Святые - на вершине мира и каждая преступная организация хочет получить их корону."
"Story07_Zscene01_09_Player_BM": "Н-НО!"
"Story23_Out_11_Player_BM": "Кажется, было несколько чересчур."
"Story13_In_04_Shaundi": "Чего?"
"Story02_In_25_Phillipe": "А я так надеялся заключить разумную сделку."
"Story01_In_04_Shaundi": "Ты ж тут просто, чтобы посмотреть, чувак..."
"Genki_Both10": "Время убивать! Время веселиться!"
"CTO_Kinzie01_04_Kinzie": "Пока нет."
"Story16_Out_06_Matt": "Полностью. Что ж, мне пора на самолет, так что..."
"Story15_Out_04_Kinzie": "Смешно. Я все объясню, когда установим эту штуку."
"Story12_In_05_Kid": "Э-э... прошу прощения?..."
"Story05_Out_01_Matt": "Святые не отступятся..."
"Story12_Out_05_Monica": "Что? Мы найдем его, черт побери!"
"CTO_Kinzie02_04_Player_BM": "Слушай, я себя немного странно во время такого разговора чувствую..."
"CTO_Pierce02_04_Player_BM": "Слушай, ты, может быть, думаешь, что пришло самое время расслабиться, но мне надоело играть с этими ублюдками в игрушки: мне нужен Лорен и нужен немедленно. Где он?"
"Story23_Out_15_Player_BM": "Ну тогда за работу."
"Story15_Out_03_Player_BM": "Дам тебе полтинник, выбери себе получше."
"Story15_In_04_Kinzie": "Спать запрещено."
"Story06_Mid_06_Pierce": "А почему ты тут все еще висишь, если они все равно клонировали твою задницу?"
"Story02_In_28_Player_BM": "Без тебя не буду."
"Story02_In_16_Phillipe": "Само собой, что не слышали - иначе не полезли бы грабить наш банк. Вероятно, вам интересно, почему вы до сих пор дышите."
"Story01_In_22_Player_BM": "Это и есть мой план."
"CTO_Pierce02_07_Player_BM": "Лорен тактик, он не будет прятаться в здании, которое кричит \"Я тайный криминальный лидер\". Мне нужно что-то более конкретное."
"Story21_In_02_Bobby": "Невероятная ночь, Зак, и теперь пришло время для главного боя."
"Story17_In_06_Viola": "Прошу прощения... с арестантами?"
"Story09_In_02_Player_BM": "И когда она будет у нас в руках, секс-операция \" Утренняя звезда\" подойдет к концу."
"Story08_In_03_Zimos": "Я выступал в шоу как человек-пони, но я разве из-за этого плачу, маленькая девочка?"
"Story17_Mid_04_Cyrus": "Что происходит?"
"Story07_Out_10_Viola": "Что нам нужно сделать, Киллбейн?"
"Story02_Out_02_Phillipe": "...Виола и Кики объявят всем нашу позицию: Стилпорт принадлежит Синдикату, а Святых тут больше видеть не хотят."
"Story02_In_15_Shaundi": "Ни разу о такой не слышала."
"Story01_In_25_Player": "Да ладно тебе, парень просто вживается в роль."
"CTO_Pierce02_10_Pierce": "Нет, \"Порох\" - это оружейный магазин в деловой части города... Я видел, как головорезы Лорена разговаривали с владельцем, что-то там наверняка есть."
"CTO_Pierce02_09_Player_BM": "У меня нет времени на стриптизерш."
"Story22_OutB_05_Monica": "Нравится вам это или нет... но святые герои."
"CTO_Kinzie01_02_Kinzie": "Ну, не совсем - я ненавижу людей."
"Story13_Zscene01_05_Pierce": "Ну и что прикажешь делать, босс?"
"Story19_Out_01_Monica": "Командир, вы что делаете, черт возьми?!"
"Story19_In_14_Reynolds": "У меня тут есть проблема с зомби, которую я хочу..."
"Story15_Out_02_Kinzie": "Почти. Мне нужен стул."
"Story13_In_06_Shaundi": "О боже, можно я его просто пристрелю?"
"Story11_Out_07_Monica": "Ни в коем случае."
"Story10_In_08_Viola": "Я хочу увидеть, как Киллбейн страдает."
"Story09_In_03_Zimos": "И как ты справишься со всеми этими шлюхами?"
"Story02_In_22_Player_BM": "Слышь ты, лягушатник сра..."
"Story02_In_07_Gat": "И что, весь смысл в этом?"
"Story01_In_06_Josh": "Я играю по Станиславскому. Раз уж я собираюсь сыграть Святого хоть с какой-то степенью достоверности, нужно вжиться в роль."
"Storye01_In_Crawl_07": "Идут съемки фильма о святых. ДЖОННИ ГЭТ И ШАУНДИ - иконы поп-культуры. А ПИРС..."
"Story16_Zscene01_03_Matt": "С радостью."
"Story19_In_24_Reynolds": "Ты так говоришь, будто мне раньше не приходилось обхитрить военную организацию! Позвони, как закончите."
"Story16_Out_01_Killbane": "Мне бы очень хотелось, чтобы ты передумал, Мэтти. Мои руки сделаны для того, чтобы ломать кости, а не стучать двумя пальцами по клавиатуре."
"Story02_Out_01_Phillipe": "Джентльмены, переговоры оказались... менее чем успешными."
"CTO_Angel01_04_Angel": "То есть тебе не нравится дискомфорт. Это одна из тех слабостей, которые лучадоры могут обратить себе на пользу. Если не будешь тверже, Киллбейн тебя раздавит. Но не волнуйся, я сделаю из тебя бриллиант."
"CTO_Pierce01_06_Player_BM": "Синдикат узнает, что ключи у нас... Они будут ждать нашего следующего шага."
"Story10_Out_01_Cyrus": "Меня зовут Сайрус Темпл, я командир Корпуса Анти-бандитизма, сокращенно КАБАН. Я отвечу на ваши вопросы касательно этой инициативы."
"Story07_Out_03_Killbane": "Я думал кое о ком другом."
"SH_Morningstar01_04_Pierce": "А внутри, мудила?"
"Story02_In_01_Player_BM": "Что за херня, мы ж в этом месяце уже платили."
"CTO_Kinzie02_03_Kinzie": "Я серьезно. И выброси свой понтовый дорогой телефон - через него я тебя тоже где угодно найду."
"CTO_Kinzie01_05_Player_BM": "А что ты делал с тех пор, как вышел?"
"Story23_In_03_Player_BM": "За Шаунди!"
"Story19_In_13_Player": "Э-э, ну да, отлично! Что вам нужно?"
"Story17_Mid_07_Agent": "Я отведу их вниз и посажу под арест, сэр."
"Story06_Mid_05_Oleg": "Филипп любит сделанные на заказ вещи, а для этих амбалов шаблоном был я."
"CTO_Pierce01_02_Player_BM": "В чем дело?"
"Story16_Zscene01_05_Matt": "Не понимаешь? Я тут местный бог."
"Story22_OutA_04_Monica": "Вы были правы, командир. Доставьте \"Дедала\"."
"Story19_In_04_Viola": "Повторяй за мной: не пытайся отыметь мэра."
"CTO_Angel02_04_Angel": "Думай о результате, а не о методе. Тебе удалось справиться со своим страхом."
"CTO_Kinzie01_01_Player_BM": "Мне казалось, что человек, только что вышедший из застенков, захочет немного покутить."
"Story23_In_07_Player_BM": "Хер с ним. Мы им поломаем и маленькую игрушку."
"Story22_OutB_04_Monica": "Они правы, командир..."
"Story22_In_01_Player_BM": "Так в чем дело?"
"Story03_Out_08_Player_BM": "Расслабься, Шаунди - у нас все схвачено."
"Story02_In_06_Player_BM": "Наш брэнд стоит нефиговую кучу денег."
"Story07_Zscene02_05_Player_BM": "Все нормально."
