"ACT_WHORED_Z_AGRIZOOPHOBIA": "这可是个大麻烦。"
"ACT_WHORED_Z_BDSM": "别难过，他们可是付了钱的。"
"ACT_WHORED_BEERMUSCLES": "你的拳头就是最强的武器。"
"ACT_WHORED_BRUTES_FAIL": "得站稳了别被撂倒！"
"ACT_PIMPING_NAME": "拐人救美"
"ACT_ACTIVITY_DESCRIPTION_1": "最快赚声望的方法就是去做活动。 "
"ACT_WHORED_Z_SURVIVAL_HORROR": "这儿可没有急救草药。"
"ACT_WHORED_A_KEEP_AWAY": "这些丧尸就爱自爆。"
"ACT_WHORED_D_SR_DESIGN": "这是个寓言。"
"ACT_WHORED_OUTSIDE_RADIUS_WARNING": "回到区域内！"
"ACT_WHORED_Z_GROUP_RATE": "这钟点费贵得离谱。"
"ACT_WHORED_WEENIEROAST_FAIL": "肉得烤熟了再吃。"
"ACT_WHORED_NUTSHOTS": "一记直击裆部。"
"HORDE_LEVEL_ZOMBIE": "丧尸岛"
"ACT_WHORED_A_AY_DIOS_MIO": "墨西哥摔角之魂！"
"ACT_CHOP_SHOP_TITLE": "拆车坊关卡选择"
"ACT_WHORED_Z_VEGAN": "阻止「肉食末日」"
"ACT_WHORED_Z_MURDER_BENDER": "昨晚到底发生了什么。"
"ACT_WHORED_MINIFURRIES_FAIL": "被可爱的死神淹没了。"
"ACT_WHORED_SONICBOOMSTICK": "这枪自带一股音爆。"
"ACT_WHORED_DRUNKENROCKETS_FAIL": "在这儿学瞄准可比学喝酒难多了。"
"ACT_WHORED_FLAMEBRUTE_FAIL": "是不是太烫手了？"
"ACT_WHORED_SONICBOOMSTICK_FAIL": "提示：把枪充满能量可瞬秒敌人！"
"ACT_HITMAN_TITLE": "职业杀手关卡选择"
"ACT_WHORED_ZOMBIE_CHAINSAW": "开始大卸八块吧。"
"MISSION_FAILURE_DIED_TEXT": "你死了"
"ACT_ZOMBIE_HUD_SCORE": "得分： "
"ACT_WHORED_Z_SUPER_SIZED": "没人需要这么多咖啡因。"
"ACT_VANDAL_START_2_MSG": "在时间耗尽前，造成 [format][color:red]%ls 财产损失[/format]"
"PAUSE_ACTIVITIES_READY": "活动可用。"
"ACT_WHORED_Z_GIRLS_NIGHT": "姐妹们今晚要放飞自我了。"
"ACT_WHORED_GENKI_REVENGE_FAIL": "不伦理！"
"ACT_ZOMBIE_HUD_WAVE": "波次： "
"ACTIVITY_LEVEL_SELECTION": "活动关卡选择"
"ACT_VANDAL_START_NO_DISTRICT": "就是现在。我们需要你尽情搞破坏。"
"ACT_VANDAL_GANG": "帮派成员"
"ACT_VANDAL_STATIC_BONUS_DOMESTIC_CAR_MSG": "国产车奖励"
"ACT_TRAFFIC_INVALID_VEHICLE": "司机不愿开这车送货！"
"ACT_WHORED_ROLLERHOS": "当心那些滚轮妹。"
"ACT_WHORED_MINI_BRUTES": "浓缩的都是精华（大块头）。"
"ACT_WHORED_DRINKING_GAME": "杀得越多，醉得越浅！"
"ACT_RUNNING_MAN_TRAP_KILL": "陷阱击杀"
"ACT_GUARDIAN_ANGEL_FAIL": "被保护者阵亡！留意其头顶图标以掌握血量"
"ACT_WHORED_Z_HORS_DOE": "谁会不爱那些小热狗呢？"
"COMBO_BREAKER_TEXT": "连击中断"
"ACT_VANDALISM_COMBO_JUST_COMBO": "连击： "
"ACT_WHORED_Z_10_CENTS": "去捡那些易拉罐。"
"ACT_WHORED_D_COUNTING_CALS": "能量饮料也能要人命。"
"ACT_WHORED_D_SANGENTS": "与神秘男子们一战。"
