"CUST_ITEM_CF_HAIR_MED": "露肩"
"DARK_GREEN": "深绿"
"LOGO_VOLITION_5": "Volition 5"
"CUST_WEAR_TATTOO_AZTEC_BIRD": "阿兹特克鸟"
"LOGO_UNDERGROUND": "99 地下"
"CUST_VARIANT_CMBOT_USCRUBS01": "纯色"
"CUST_ITEM_CM_IMPN_UBDY_M_CJUNBUTTONED": "黄瓜酷炫"
"CUST_GANG_PUNK": "朋克"
"CUST_COMP_MUSTACHE_28": "潮人"
"RIM_179": "SD DCY14"
"CUST_COMP_FACE_WART_4": "疣 4"
"IRIDESCENT_1": "虹彩 1"
"HAIR_COLOR_RED": "红色"
"CUST_VARIANT_VEST_A": "样式 1"
"CUST_COLOR_CLOTHING_RED_1": "红色 1"
"RIM_192": "C-X 506"
"LOGO_CAVE_1": "幻洞 1"
"CUST_ITEM_FEMALE_PLANETSAINTS_PANTY_1": "肖恩蒂内裤"
"VEHICLE_COLOR_MOCHA_TAN": "摩卡棕"
"CUST_COLOR_ORANGE_1": "橙色 1"
"CUST_COLOR_CLOTHING_VIOLET_9": "紫罗兰 9"
"VEHICLE_COLOR_PURPLE_LIGHT_TINT": "淡紫染"
"CUST_COLOR_CLOTHING_BLUE-GREEN_4": "蓝绿 4"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_2": "影响范围更大。"
"VEHICLE_COLOR_TINT_60": "染色 60%%"
"CUST_ITEM_CM_LPE_FOOT_M_MBOOTS": "未来战士靴"
"RIM_SET_018": "轮辋套组 18"
"HAIR_COLOR_GRAY_MATTE": "哑光灰"
"CUST_VARIANT_HOOD_AND_POCKET": "带兜帽与口袋"
"CUST_VARIANT_SILK": "丝绸"
"CUST_VARIANT_LATEX": "乳胶"
"CUST_COLOR_CLOTHING_GREENS_3": "绿色 3"
"SLOT_BULL_HORNS": "牛角"
"LOGO_UNIVERSITY_4": "斯蒂尔沃特大学 4"
"CUST_VARIANT_STYLE_B": "样式 2"
"CUST_VARIANT_MATERIAL__25": "材质 #25"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_BOOTS": "太空公主靴"
"CUST_COLOR_GRAY_3": "灰色 3"
"CUST_VARIANT_FADE_UP_JEANS": "褪色"
"CUST_TATTOO": "纹身"
"CUST_TATTOO_RARM_8": "万象点缀"
"VEHICLE_PAINT_HEROMATTE_PAINT": "哑光"
"VEHICLE_PAINT_MATTE_MATERIAL": "哑光材质"
"SLOT_GRILL_COLOR": "金牙颜色"
"CUST_COLOR_CLOTHING_BLUES_2": "蓝色 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_4": "红橙 4"
"VEHICLE_COLOR_MORPH_BROWN": "变形棕"
"LOGO_GENX": "GenX 89"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_4": "提升射速与弹匣容量。激光瞄准镜提高腰射精度。"
"CUST_VARIANT_DIRTY": "脏污"
"CUST_ITEM_CF_IMPR_UBDY_F_SHRTBTTNS": "夜店衬衫"
"CUST_VARIANT_SMALL_HEARTS": "小心形"
"CUST_VARIANT_GLOSSY": "亮面"
"CUST_VARIANT_MATERIAL_13": "材质 #13"
"CUST_COLOR_CLOTHING_GREENS_7": "绿色 7"
"CUST_COMP_FACE_SCAR_3": "大伤疤 3"
"CUST_COLOR_BRUNETTE": "深棕发"
"VEHICLE_COLOR_WATER_BUCKET_GRAY": "水桶灰"
"CUST_VARIANT_BOWTIE": "普通"
"CUST_VARIANT_MATERIAL__172": "材质 #172"
"CUST_VARIANT_CLEAN": "洁净"
"CUST_WEAR_UNZIPPED_HOOD_UP": "拉链开，戴帽"
"cm_toilet": "马桶"
"VEHICLE_COLOR_BLUE_DARK_TINT": "深蓝染"
"CUST_VARIANT_LIGHT_SILVER": "浅银"
"CUST_ITEM_CM_PSF_HAT_M_SRCAP": "兄弟帽"
"CUST_COLOR_CLOTHING_BLUES_6": "蓝色 6"
"VEHICLE_COLOR_DEEP_SAGE_GREEN": "深鼠尾草绿"
"Blonde": "金发"
"CUST_COMP_TEST_MUSTACHE": "测试胡子"
"SLOT_ADJUSTABLE_SUSPENSION": "可调悬架"
"SLOT_DECAL_6": "贴花 6"
"COLOR_SLOT_PAINT_3": "喷漆 3"
"COLOR_SLOT_INTERIOR_3": "内饰 3"
"SLOT_SPINNERS_REAR": "后轮旋叶"
"COMPONENT_OPTION_C": "选项 C（不应使用）"
"LOGO_VOLITION_1": "Volition 1"
"CUST_ITEM_FEMALE_NLM_BRA_2": "紫色火焰"
"CUST_TATTOO_RIGHT_ARM": "整条右臂"
"VEHICLE_COLOR_COPPER_OXIDE": "氧化铜"
"SLOT_EXHAUST": "排气"
"CUST_WEAR_LEFT_ROLLED_LOW": "左卷，低腰"
"CUST_ITEM_WOMEN_S_FORMAL_LATEX_GLOVES": "女王手套"
"SLOT_GRILL": "金牙"
"FEMALE_HUGE": "女·巨型"
"CUST_ITEM_FEMALE_LP_BRA_4": "魅力女孩"
"CUST_ITEM_CF_PSG_LWRST_F_BRACELET": "哔啵手镯"
"CUST_COLOR_CLOTHING_RED_5": "红色 5"
"FEMALE_OBESE": "女·肥胖"
"IRIDESCENT_5": "虹彩 5"
"CUST_ITEM_CM_LPG_MASK_M_MASKWOLF": "大坏狼"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEDOWN": "圣徒连帽衫（帽放下）"
"VEHICLE_COLOR_DEEP_OCEAN_BLUE": "深海蓝"
"VEHICLE_COLOR_BROWN_DARK_TINT": "深棕染"
"VEHICLE_COLOR_CARBON_STEEL": "碳钢"
"COLOR_SLOT_PAINT_2_AND_PAINT_3": "喷漆 2 与喷漆 3"
"CUST_COLOR_YELLOW_2": "黄色 2"
"CUST_VARIANT_SHARKS": "鲨鱼"
"CUST_TATTOO_STOMACH_1": "荣誉之道"
"CUST_COMP_MUSTACHE_7": "痣须"
"CUST_VARIANT_STRIPES_B": "条纹 2"
"CUST_WEAR_UNTUCKED_BUTTONED": "不塞衣，系扣"
"CUST_ITEM_CM_HAIR_SLICKEDBACK": "入会成员"
"CUST_ITEM_CM_LLL_EYES_M_BIKERSSHADES": "摩托党墨镜"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_3": "蓝紫 3"
"CUST_VARIANT_VERTICAL": "竖条纹"
"CUST_WEAR_ZIPPED_HOOD_UP": "拉链合，戴帽"
"CUST_COMP_FINGERNAILS_R": "右指甲油"
"RIM_SET_014": "轮辋套组 14"
"SLOT_LEFT_SIDE": "左侧"
"SLOT_REAR_BUMPER_EXTRAS": "后保险杠改装"
"CUST_COLOR_CLOTHING_BLUE-GREEN_8": "蓝绿 8"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_2": "增加弹药容量。 "
"CUST_GANG_CLUBBER": "夜店客"
"CUST_COLOR_RED_1": "红色 1"
"CUST_COLOR_CLOTHING_RED-ORANGE_8": "红橙 8"
"SLOT_FRONT_BUMPER_EXTRAS": "前保险杠改装"
"CUST_WEAR_UNTUCKED_UNBUTTONED_TIE": "不塞衣，解扣，领带"
"CUST_TATTOO_RARM_4": "第三街骑士"
"RIM_150": "拥护者"
"LOGO_LOLLIPOP": "棒棒糖"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_ZIPPED": "左卷，高腰"
"CUST_ITEM_CF_NLMB_UBDY_F_MOHAWKSKULL": "过气摇滚 T 恤"
"CUST_ITEM_CF_LLK_LBDY_F_LATEXPANTS": "丰臀长裤"
"FACIAL_EXPRESSION_PAIN": "痛苦"
"CUST_ITEM_PLASTIC_SANDALS": "塑料凉鞋"
"CUST_GANG_BIKER": "摩托党"
"CUST_COMP_MUSTACHE_24": "巴尔博须"
"VEHICLE_COLOR_BRASS": "黄铜"
