"HITMAN_TARGET_33_SHORT_DESC": "黑帮头目头目不愿向圣徒低头"
"DIVERSION_STREAKING_RAN_OUT_OF_TIME_TEXT": "时间到！"
"CHOPSHOP_SHORT_2_3": "亚军也想要一把火炬"
"TUT_TITLE_COLLECTIBLE": "收集品"
"SEX_DOLL_COLLECTED": "情趣人偶"
"CHOPSHOP_SHORT_3_5": "我为什么要一辆垃圾车？"
"CHOPSHOP_LONG_2_6": "这种车可不多见……妖姬时尚、敏捷，而且非常非常快。大家都肯为这机器砸重金。我也会的，嗯？去新巴拉内克的那条街转转看。"
"DIVERSION_CHALLENGES_STREAKING_TIME": "天体时长"
"CHOPSHOP_SHORT_5_3": "查理目标代号：龙卷风"
"HITMAN_TARGET_13_DESCRIPTION": "镇上有个叫「城市道德十字军」的组织，本质是个由阿格尼丝领导的现代宗教审判所。[format][color:em]在灰木区教堂附近来点小天体[/format]，准能把这镇压狂混蛋[format][color:em]引出来[/format]。"
"HITMAN_TARGET_H13_SHORT_DESC": "订机票"
"HITMAN_CALL_DISPLAY_6D": "披萨店"
"HITMAN_TARGET_23_SHORT_DESC": "来个永久跳水"
"CHOPSHOP_LONG_5_6": "这可是笔大买卖。STAG 的重型运输机堪称终极逃亡座驾。秃鹫号防守森严，不过在落日公园的基地附近能找到一架。"
"CHOPSHOP_SHORT_4_5": "有人要一架重型起重送子鹳"
"DIVERSION_CHALLENGES_GAMBLING_WINS": "博彩胜场"
"TUT_DIV_CHOP_SHOP_GPS": "已接受拆车坊委托。完成当前任务或活动后，GPS 将启用。"
"HITMAN_TARGET_24_DESCRIPTION": "日安。姓名不重要。重要的是钱德勒那靠碰瓷索赔捞钱的勾当，是如何利用钢埠受害者的。除掉他算是为民除害，自然有报酬。在市中心制造一场事故……[format][color:em]让一辆车撞你[/format]……他就会出现。"
"DIVERSION_CHALLENGES_WINDSHIELD_CANNON": "挡风玻璃炮距离"
"DIVERSION_WHORING_SEXY_MOVE_FORMAT": "来一套 %ls %ls"
"DIVERSION_CHALLENGES_HUMAN_SHIELD_KILLS": "人盾击杀"
"DIVERSION_CHALLENGES_DO_NUTSHOTS": "蛋击"
"HITMAN_CALL_TEXT_6D": "打电话叫他们把丹尼——你的暗杀目标（外加一份免费披萨）——送来。"
"CHOPSHOP_LONG_5_3": "一位大客户需要一架龙卷风帮他打赢一场小战争。去警卫基地找找看。"
"HITMAN_TARGET_H13_DESCRIPTION": "杀霸的经纪人惠特尼需要人间蒸发，但我们不想跟这事儿扯上关系。若被她的人发现，媒体能把我们撕碎。空难可不会留下多少证据。[format][color:em]到机场闸口接上她[/format]，飞上天，然后[format][color:em]跳机把她丢下[/format]。"
"HITMAN_TARGET_71_SHORT_DESC": "回复：钢埠关切者"
"HITMAN_TARGET_24_SHORT_DESC": "钢埠关切者"
"DIVERSION_COOP_GSI_MY_SCORE": "你的得分："
"CHOPSHOP_SHORT_5_6": "狐步目标代号：秃鹫号"
"CHOPSHOP_LONG_4_5": "送子鹳几乎什么都能运……走私货、偷渡客，甚至装在偷渡客肚子里的走私货。去机场内外弄一架。"
"HITMAN_LOC_2_3": "格罗夫区"
"HITMAN_TARGET_4_3": "普罗提普"
