"DLC3_OUTRO_08_TAG": "舞杆？"
"DLC3_INTRO_20_JIMMY": "你至少能给我签个名吗？"
"DLC3_INTRO_03_JIMMY": "他们辜负了你，约翰尼……但我永远不会。我可是你头号粉丝。"
"DLC3_OUTRO_06_TAG": "盖特……朋友？"
"UNL_DLC3_STORY03_VEHICLES": "载具 - 托比特龙"
"UNL_DESC_DLC3_HOMIE_JOHNNY_TAG": "约翰尼·塔格可在你的手机“PHONE”菜单中找到。他将在战斗中协助圣徒。"
"DLC3_ACHIEVE_SR3_JOHNNYGUARD": "塔格护卫队"
"DLC3_M01_GET_BACK_TO_CLUB": "回到[format][color:location]法律边缘[/format]"
"DLC3_INTRO_18_JIMMY": "好嘞，干吧！"
"DLC3_INTRO_15_JIMMY": "这也太带感了！"
"DLC3_INTRO_10_PIERCE": "等等！你们克隆了盖特？"
"DLC3_OUTRO_12_JIMMY": "完。问号？"
"HOMIE_DESC_DLC3_JOHNNY_TAG": "和盖特那个巨型克隆体一起大杀四方！"
"DLC3_ACHIEVE_SR3_HERES_JOHNNY": "怪奇科学"
"DLC3_M03_DEFEND_TAG": "防守[format][color:defend]塔格[/format]"
"DLC3_INTRO_06_JIMMY": "我还以为我收集的东西够多了，毕竟都是他碰过的。"
"HOMIE_DLC3_AISHA_BRUTELLA": "艾莎·猛男芭比"
"CUST_ITEM_DLC_FOOT_WITCH": "女巫靴  "
"HOMIE_DLC3_JOHNNY_TAG": "约翰尼·塔格"
"UNL_DLC3_CUST02_OUTFITS01": "行头 - 女巫"
"DLC3_OUTRO_04_PLAYER": "我知道，我知道，约翰尼，但是——我们能把它挽回的！"
"DLC3_OUTRO_02_PIERCE": "噢，现在你倒想跟他讲道理了。"
"DLC3_INTRO_01_JIMMY": "那是一个风雨交加的黑夜……"
"DLC3_OUTRO_07_PLAYER": "来吧兄弟，咱们送你回家。"
"DLC3_INTRO_14_TAG": "翔悟去哪了？"
"HOMIE_DESC_DLC3_AISHA_BRUTELLA": "如今她改用拳头而非歌喉，把粉丝们揍得人仰马翻。"
"DLC3_OUTRO_10_JIMMY": "于是，我们无畏英雄的传奇就此落幕。被他们彼此之间那份……那份呃……情谊所维系。"
"DLC3_ACHIEVE_SR3_MY_PET_MONSTER": "我的宠物怪兽"
"UNL_DLC3_CUST02_CLOTHING": "道具 - 女巫与热狗"
"DLC3_OUTRO_01_PLAYER": "约翰尼——拜托兄弟，我是在帮你啊！"
"DLC3_M02_DEFEND_STAGE": "防守[format][color:defend]舞台[/format]"
"DLC3_INTRO_04_JIMMY": "这几个月来我一直在收集那些玩意儿。他的玩意儿。"
"DLC3_INTRO_19_PIERCE": "坐下，吉米！这事儿交给专业的人。"
"DLC3_OUTRO_05_PIERCE": "对啊，我们是你的朋友，约翰尼。"
"DLC3_OUTRO_03_TAG": "圣徒……辜负了我。"
"CUST_ITEM_DLC_HAT_DH": "恶魔之角"
"UNL_DESC_DLC3_CUST02_VEHICLES": "毕竟女巫出行只能靠扫帚。有了这载具，大家也都能体验一把了。"
"DLC3_INTRO_07_JIMMY": "我错了。"
"CUST_ITEM_DLC_PANTS_WITCH": "女巫裤"
"DLC3_INTRO_02_JIMMY": "当我亵渎自然之母时，连天都落泪了。"
"UNL_DLC3_HOMIE_AISHA_BRUTELLA": "兄弟 - 艾莎·猛男芭比"
"CUST_ITEM_DLC_OUTFIT_WITCH": "女巫"
"DLC3_M03_KILL_GUARD": "击杀[format][color:kill]钢埠警卫[/format]"
"CUST_ITEM_DLC_HAT_HALO": "圣徒光环"
"DLC3_INTRO_11_JIMMY": "嗯。"
"DLC3_M03_FAIL_TAG_DIED": "约翰尼·塔格阵亡！"
"DLC3_M03_KILL_MORNINGSTAR": "击杀[format][color:kill]晨星帮[/format]"
"DLC3_M03_GOTO_PLANET_SAINTS": "在[format][color:location]圣徒星球[/format]寻找塔格"
