"M16_OBJ_KILL_TANKS": "搜寻并摧毁敌方[format][color:kill]坦克[/format]"
"M14_OBJ_TALK_TO_JANE": "与[format][color:location]简[/format]交谈"
"m13_failure_josh_died": "乔什死了！"
"M13_OBJ_TAKE_OUT_THE_TANKS": "摧毁[format][color:kill]坦克[/format]"
"MSN_PRE_CALL_OBJ_MMP03": "与[format][color:location]皮尔斯[/format]碰头"
"MSN_PRE_CALL_OBJ_M10": "与[format][color:location]薇奥拉[/format]碰头"
"m20_failure_ctb_destroyed": "你错过了好戏！"
"MM_K_01_obj_meet_kinzie": "前往[format][color:location]金吉的藏身处[/format]"
"MISSION_NAME_M23": "STAG 影片"
"M24_OBJ_RUN_FOR_COVER": "寻找掩体"
"M23_OBJ_FLY_TO_REAR_DECK": "飞往[format][color:location]后甲板[/format]"
"M17_OBJ_FIND_REACTOR": "找到[format][color:location]反应堆[/format]"
"MM_Z_02_obj_goto_dt": "前往[format][color:location]活动起点[/format]"
"MISSION_NAME_MM_P_04": "坦克大破坏"
"MM05_OBJ_GOTO_RM": "前往[format][color:location]活动起点[/format]"
"MSN_PRE_CALL_OBJ_MMK02": "前往[format][color:location]活动起点[/format]"
"MISSION_NAME_M03": "我们得搞点枪"
"MM04_OBJ_GOTO_TM": "前往[format][color:location]活动起点[/format]"
"MM03_FAIL_PIERCE_DIED": "皮尔斯死了！"
"M23_TRIGGER_AUTO_DESTRUCT": "启动自毁程序"
"M23_OBJ_KILL_BRIDGE_GUARDS": "击杀[format][color:kill]舰桥守卫[/format]"
"M22_FAILURE_OLEG_ABANDONED": "奥列格被抛弃了！\n圣徒必须团结一致！"
"MM01_START_GA": "开始天使护卫"
"M03_OBJ_HOLD_YOUR_POSITION": "守住你的[format][color:defend]阵地[/format]"
"MM_K_03_obj_goto_mh": "前往[format][color:location]活动起点[/format]"
"MISSION_NAME_M06": "比利时难题"
"M22_OI_SHAUNDI_TITLE_TEXT": "前往雕像"
"MISSION_NAME_MM_P_01": "天使护卫"
"M19_OBJ_GO_TO_VIOLA": "前往[format][color:location]薇奥拉[/format]"
"M18_OBJ_SEARCH_FOR_GUN": "搜索[format][color:use]武器箱[/format]"
"M03_USE_TRIGGER_SATELLITE_WEAPON": "使用卫星武器。"
"M23_OBJ_FLY_TO_SIDE_DECK": "飞往[format][color:location]侧甲板[/format]"
"M21_OBJ_PROTECT_ANGEL": "保护[format][color:defend]安吉尔[/format]"
"m20_failure_rc_too_late": "你遥控载具太磨蹭了！"
"MSN_PRE_CALL_OBJ_SH02": "与[format][color:location]齐莫斯[/format]碰头"
"MSN_PRE_CALL_OBJ_M15": "前往[format][color:location]金吉的藏身处[/format]"
"MISSION_NAME_MM_K_05": "电话飞客"
"M16_TXT_ADV_SC_01_CH1": "打开门"
"MSN_PRE_CALL_OBJ_MMP06": "前往[format][color:location]断木棍酒吧[/format]"
"MISSION_NAME_M08": "特洛伊舞女们"
"SH03_TURN_OFF_ROUTERS": "[format][color:use]路由器[/format]已关闭： "
"M24_HELP_HOMIE": "帮助你的[format][color:use]兄弟[/format]"
"SH03_CALL_CHOPPA": "!!金吉：我喊个朋友来空中支援"
"sh01_failure_pierce_died": "皮尔斯死了！"
"MSN_PRE_CALL_OBJ_MMK03": "前往[format][color:location]活动起点[/format]"
"MISSION_NAME_M02": "我自由了——自由坠落"
"MM03_NAG_FP": "你正离开[format][color:kill]交火点！[/format]"
"SH02_OBJ_CLEAN_HOUSE": "清除所有[format][color:kill]晨星帮[/format]"
"M23_USE_PLANT_BOMB_TRIGGER": "安放炸弹"
"M21_OBJ_GO_TO_ANGEL": "查看[format][color:location]安吉尔[/format]"
"M20_OBJ_RC_THE_CAR": "遥控[format][color:use]摔跤手的车[/format]"
"MISSION_NAME_M22": "三方混战"
"MM03_OBJ_ACQUIRE_COLLECTIBLE": "获取[format][color:location]充气娃娃[/format]"
"SH03_MSG_JUMP": "跳伞"
"SH03_KINZIE_DIED": "金吉死了！"
"M20_OBJ_STAY_CLOSE": "紧贴[format][color:location]载具[/format]"
"M20_OBJ_GET_IN_ANGEL_HELI": "登上[format][color:location]安吉尔的直升机[/format]"
"MISSION_CHECKPOINT_ALERT": "检查点已抵达"
