"MP_CANCEL_JOIN": "取消"
"MULTI_ERROR_JOIN_REJECTED": "房主目前不接收玩家。"
"COOP_REMOTE_CHEAT_QUIT": "退出"
"MULTI_JOIN_LOAD_TITLE": "合作"
"COOP_FREINDLY_FIRE_LIGHT": "轻微队友火力已开启！\n你现在可以对搭档造成少量伤害。"
"COOP_DISCONNECTED": "你已断开连接！"
"MP_INVITE_SENT_TITLE": "游戏邀请已发送"
"COOP_FREINDLY_FIRE_ON": "队友火力已开启！\n你现在可以伤害你的搭档。"
"MP_FIND_SERVER_TITLE": "正在查找服务器"
"COOP_REMOTE_CHEAT_CONTINUE": "继续"
"MP_JOIN_SERVER_BODY": "等待房主接受连接。"
"QUIT_TO_MAIN_MENU": "退出游戏"
"COOP_PARTNER_PAUSED": "%s 暂停了游戏"
"COOP_CANT_JOIN_YET_STRONGHOLD": "%ls 在你身处根据地时无法加入。\n当你回到正常游戏后他们就会加入。"
"HASH_26F67AA8": "服务器当前不可用，请稍后再试。"
"MP_WINNERS_TIE": "平局"
"MULTI_ERROR_CANT_FIND_MATCH": "找不到任何游戏。"
"COOP_JOIN_IN_PROGRESS": "%ls 正在加入游戏"
"COOP_INCORRECT_MODE": "模式不正确"
"MULTI_CONNECTION_LOST_PS3": "发生连接错误。\n你将被送回主菜单。"
"MP_WINNERS_YOU_WIN": "你赢了"
"MULTI_FIND_GAMES": "查找游戏"
"MULTI_MENU_TITLE": "多人游戏"
"COOP_TITLE": "合作"
"COOP_FREINDLY_FIRE_OFF": "队友火力已关闭！\n你再也无法伤害你的搭档。"
"MP_JOIN_SERVER_TITLE": "正在加入服务器"
"COOP_JOIN_REQUEST_MSG": "%ls 想加入你的游戏。\n要让他加入吗？"
"COOP_REMOTE_CHEAT_KICK": "踢出玩家并继续游戏"
"COOP_WAIT_FOR_ANYONE": "等待任意玩家"
"COOP_LOAD_OLD_TEXT": "读取"
"HASH_59B4B8D2": "%ls 已离开游戏会话"
"INVITE_FAILED_TITLE": "游戏邀请失败"
"COOP_DISCONNECTED_FROM_SERVER": "你已与房主断开连接，必须返回主菜单。\n退出关卡前要保存吗？"
"COOP_REMOTE_CHEAT_SAVE_QUIT": "保存并退出游戏"
"COOP_KICKED": "你被踢出了游戏！"
"MP_JOIN_DENY": "拒绝"
"LIVE_PLAYER_LEFT": "%ls 已离开游戏会话"
"COOP_HOST_BUSY": "房主正忙，请你稍候……"
"COOP_CREATE_NEW_TEXT": "新建"
"MP_FIND_SERVER_BODY": "正在搜索游戏。"
"COOP_MAY_HAVE_DROPPED": "正在重新连接 %ls"
"MULTI_ERROR_SESSION_FULL": "该游戏正在进行中或已满员。"
"MULTI_ONLINE_RESTRICTED_TITLE": "无法联机"
"COOP_REMOTE_CHEAT_SAVE_CONTINUE": "保存并继续游戏"
"MP_WINNERS_YOU_LOSE": "你输了"
"MP_DISCONNECT_HOST_LEFT": "房主已离开游戏会话。\n你必须返回主菜单。"
"INVITE_FAILED_BODY": "无法向 {0} 发送邀请。"
"MULTI_NOT_SIGNED_IN_PS3": "你必须登录一个档案才能使用此功能。"

"MULTI_ERROR_HOST_LEFT": "主机已离开游戏。"
"COOP_LOAD_EXPLANATION_TEXT": "将从另一个存档载入角色、服装与载具"
"COOP_CANT_JOIN_YET_MISSION": "%ls 在你执行任务期间无法加入。\n等你回到正常游玩后他们就会加入。"
"MULTI_NO_PRIVILEGE_PS3": "该档案无法进行在线游玩。"
"COOP_JOIN_REQUEST_MESSAGE": "%ls 想加入你的游戏。"
"CONTROL_KICK_PLAYER": "踢出玩家  "
"MULTI_ONLINE_RESTRICTED": "无法联机"
"FOREIGN_CHARACTER_DETECTED_WARNING_MESSAGE": "有玩家的 ID 含不受支持的字符。这些字符现显示为“_”。"
"MULTI_ERROR_NETWORK_TROUBLE": "主机已离开游戏。"
"COOP_CANT_JOIN_YET_ACTIVITY": "%ls 在你执行活动期间无法加入。\n等你回到正常游玩后他们就会加入。"
"COOP_JOIN_IS_WAITING": "%ls 正在等待加入。"
"COOP_LOAD_TITLE_TEXT": "载入角色"
"MULTI_ERROR_INTERNAL_ERROR": "你已与游戏断开连接。"
"MULTI_JOIN_FRIEND": "加入好友"
"MULTI_CHAT_DISABLED_TITLE": "无法联机"
"COOP_JOIN_REQUEST_TITLE": "加入请求"
"COOP_PARTNER_DISCONNECTED": "与 %ls 的连接已断开"
"COOP_CANT_JOIN_YET_CUTSCENE": "%ls 在你观看过场动画期间无法加入。\n等你回到正常游玩后他们就会加入。"
"COOP_CANT_JOIN_YET_PROLOGUE": "必须先重开此任务，%ls 才能立即加入你的游戏。重开会丢失本任务当前检查点之后的所有进度。\n仍要让他加入吗？"
"MULTI_ERROR_SESSION_ERROR": "无法加入该游戏。"
"MULTI_NO_ETHERNET": "发生连接错误。\n正在将你返回主菜单。"
"MULTI_ERROR_NO_JOIN_INFO": "无法加入该游戏。"
"MP_JOIN_ACCEPT": "接受"
"COOP_WAIT": "请稍候……"
"MULTI_JOIN_DELAY_MSG": "你试图加入的游戏正处于活动、任务或根据地中。\n等他们退出该模式后你即可加入。"
"MULTI_CHAT_DISABLED": "无法聊天"
"MULTI_LOST_CONNECTION_SYS": "发生连接错误。\n正在将你返回主菜单。"
"MP_INVITE_SENDING": "正在发送邀请……"
"MP_INVITE_SENT_BODY": "游戏邀请已发送给 {0}。  "
"MULTI_NOT_SIGNED_IN": "你必须登录玩家档案才能使用此功能。"

