"COMMUNITY_SUCCESS_LINK_EXT": "你当前的玩家档案已成功关联到你的 THQ ID。"
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "你正在使用的 Gamertag 关联的是另一个 THQ ID。"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "当前设备已满。\n请选择其他设备保存。"
"BTN_START_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_start][/format]"
"BTN_LTRIGGER_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_lt][/format]"
"MAINMENU_ONLINE_GAME": "XBOX LIVE"
"BTN_RTRIGGER_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_rt][/format]"
"STATS_CORRUPT_TITLE": "玩家档案数据损坏"
"COMMUNITY_SITE_BLURB": "上传你的首个角色即可获得成就。\n\n在线浏览角色并在游戏中使用。\n\n参与挑战赢取游戏内物品。\n\n在实时社区地图上追踪社区动态，并查看你的个人地图。\n\n获取仅限社区的黑道圣徒周边与游戏内容优惠。"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "你已与 Xbox LIVE 断开连接。"
"HUD_HOLD_DPADUP_PARTY_DISMISS": "解散队伍"
"SAVE_WARNING_BOOT": "出现以下提示时\n请勿关闭主机或移除存储设备。"
"XBOX_NOT_SIGNED_IN": "未登录"
"COMMUNITY_ERROR_PLATFORM_ID_IN_USE": "你正在使用的 Gamertag 已关联 THQ ID。"
"GAME_PROFILE_SAVING": "正在保存玩家档案，请勿关闭主机或移除存储设备。"
"MULTI_LOBBY_TITLE_SYSLINK": "系统链接大厅"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "正在载入内容。请不要关闭主机。"
"MAIN_MENU_MATCHMAKING_FAIL": "快速匹配未能找到任何可连接的游戏。"
"CONTROL_L_STICK": "左摇杆"
"BTN_RTRIGGER_TXT": "A 键"
"COMMUNITY_CREATE_LINK_TEXT": "在这里你可以创建新的 THQ ID，或将你的玩家档案关联到已有账号。"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}使用作弊会让你无法获得成就，且自动保存将被禁用。\n\n仍要启用此作弊吗？"
"PLT_MENU_VIEW_GAMERCARD": "查看玩家名片"
"SAVING_CONTENT_TITLE": "正在保存内容。"
"MENU_CONTROLS_STICK": "左摇杆 加速/刹车"
"COMMUNITY_BLURB_HEADER": "加入黑道圣徒社区，网址 SaintsRow.com"
"MAIN_MENU_PRIVILEGE_DENIED": "此玩家档案无法在 Xbox LIVE 上游玩。请检查你的家长设置，或获取 Xbox LIVE Gold 会员。"
"SAVING_CONTENT_BODY": "请勿关闭主机或移除存储设备。"
"MENU_XBOX_PARTY_INVITE": "发送 XBOX LIVE 派对邀请"
"PLT_PRESS_START": "按开始键"
"SIGN_IN_AUTOSAVE_PROMPT": "本游戏具备自动保存功能。要保存，你必须登录一个玩家档案。"
"MENU_XBOX_PARTY_JOIN": "加入 XBOX LIVE 派对游戏"
"MUST_SIGN_IN_PROFILE_CONFIRM": "你当前未登录任何玩家档案。\n要登录吗？"
"DPAD_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_dpad_n][/format]"
"CTRL_DISCONNECT_TITLE": "手柄已断开"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "查看玩家名片"
