"DROP_SPHERE": "给予能量球"
"POC2_STRONHOLD_UPRGADE": "升级根据地"
"ALL_VARIANTS_ALREADY_OWNED": "你已拥有该物品的所有样式了。"
"STAT_COOP_POLICE_NOTORIETY_TIME": "合作：警方恶名最高时的时长"
"DROP_GATMOBILE": "召唤盖特座驾"
"BUSHWICK_BILL_DESC": "全世界的人都缩成了小不点。"
"HUD_CRIB_WALKING_STYLE": "自定义你的走路姿势"
"PURCHASEABLE_PROPERTEY_MONEYLUANDERING": "火力全开超级玩具店"
"MAP_ICON_DRUG_TRAFFICKING": "黑货押运"
"COMERCIAL_6": "队友火力店 25% 折扣"
"POC2_WEAPON_UPGRADE_3": "武器升级 - 3 级"
"WPN_STORE_SMG_TITLE": "冲锋枪"
"EVIL_CARS_2_DESC": "人人都是赛车手，还总想开车撞你。"
"STORE_TERTIARY_COLOR": "第三层颜色"
"STORE_TITLE_DISCARD_OUTFIT_WARNING": "警告"
"STORE_UNDERWEAR_SUB_WARNING": "你无法脱下身上正穿着的那件内衣。"
"GARAGE_REPAIR_BEFORE_CUSTOMIZATION": "改装前你需要先把车修好。"
"GARAGE_VEHICLE_OPTION": "载具选项"
"MAP_IMG_CLOTHING": "[format][scale:1.0][image:map_store_clothing][/format]"
"TAT_REG_R_SHOULDER": "右肩"
"CUST_ITEM_WEAR": "穿戴物品"
"MAP_ICON_TANK_MAYHEM": "坦克大破坏"
"COMERCIAL_8": "印象刺青 25% 折扣"
"PURCHASEABLE_PROPERTEY_BROTHEL2": "红洋葱草药铺"
"CUST_GANG_NAME_PIMP": "妈咪与女孩"
"GOLDEN_GUN": "黄金枪"
"GIVE_RESPECT": "给予声望"
"DROP_KENSHIN": "召唤剑心"
"VCUST_PERFORMANCE_REMOVE": "原厂"
"CONTROL_RESUME": "继续"
"WRATH_OF_GOD_DESC": "闪电！"
"DROP_SHARK": "召唤鲨鱼"
"WPNSTOR_CRIB_TAKE_BLANK_FULL": "你要把“%s”从据点拿走吗？"
"VEHICLE_COLOR": "颜色"
"ZOMBIE_PEDS": "僵尸"
"VCUST_RIM_SIZE_OPTION": "轮毂尺寸"
"SMASH": "载具碾压"
"MILK_BONES_DESC": "近战攻击极其致命。"
"VEHICLE_PAINT_TYPE": "喷漆类型"
"MAP_IMG_UNKOWN_STORE": "[format][scale:1.0][image:map_other_hidden_store][/format]"
"GIVE_RCGUN": "召唤遥控夺取器"
"MASCOT_PEDS": "吉祥物"
"EXIT_STRONGHOLD": "退出根据地"
"WPN_STORE_PURCHASE_PROMPT": "你愿意花 ${1} 购买 {0} 吗？"
"VCUST_SPINNERS_TITLE": "旋转轮毂"
"GANG_CUST_SLOT_2": "槽位 2"
"TAXI_PURCHASE": "叫车"
"TAXI_CAB_3": "TNA 的士"
"STORE_PURCHASE_ITEM": "购买"
"PURCHASEABLE_PROPERTEY_ESTATES": "海梅耶庄园"
"PURCHASEABLE_PROPERTEY_SERVICE": "阿杰汽车润滑坊"
"VEHICLE_REPAIR_HUD_MESSAGE": "你的载具已修复"
"WPNSTOR_TITLE_WEAPON_CACHE": "武器库"
"FULL_HEALTH": "生命全满"
"GANG_CUST_EXIT_PROMPT": "退出帮派自定义\n\n确定吗？"
"OPTION_NO": "否"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_FULL": "读取失败，因为默认的\n存储设备已不可用。"
"ACCEPT_GAME_INVITE_TITLE": "警告"
"PLAYER_CREATION_LEAVE_FULL": "你确定要退出角色创建吗？"
"STORE_NAME_NIGHT_CLUB": "夜店"
"TAXI_INVALID_DESTINATION": "你不能叫车前往该地点。"
"DROP_FIVE0": "召唤和平使者"
"GIVE_ALL_WEAPONS_DESC": "给你一整套武器。"
"BUSHWICK_BILL": "人人都得缩水"
"NEVER_DIE": "不死之身"
"HITMAN_NAME": "目标名称"
"UNLIMITED_CLIP_DESC": "弹匣永远满溢，你再也不需要换弹。"
"MEDIUM_RAIN": "中雨"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK": "你要把“%s”换成“%s”吗？"
"HUD_SHOP_PURCHASE_BLANK_FOR_BLANK": "购买需 %ls"
"DRUNK_PEDS_DESC": "大家都喝高了。"
"DROP_ATTRAZIONE": "召唤阿特拉齐奥内"
"PLAYER_CREATION_NEW_PRESET_TEXT_FULL": "选择新预设会改变你已做的\n其他改动！"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION_FULL": "默认存储设备空间不足，\n无法完成存档。"
"CUST_ICON_PIERCINGS": "穿孔饰品"
"VCUST_PURCHASE_OPTION": "购买"
"VCUST_RIM_FAMILY_TITLE": "轮毂系列"
"STAT_DISTANCE_BY_CAR": "驾车里程"
"GIVE_SWORD": "召唤夜曲剑"
"DROP_STILWATERMUNICIPAL": "召唤市政车"
"DROP_VORTEX": "召唤漩涡"
"VCUST_RETURN_TO_CRIB": "返回据点"
"COMERCIAL_7": "印象刺青 15% 折扣"
"GIVE_SHIELD": "召唤防暴盾"
"TOD_Cycle": "切换时间"
"INFINITE_AMMO_DESC": "所有武器获得无限弹药。"
"ADD_GANG_NOTORIETY": "增加帮派声望"
"Wrath_of_God": "神之怒"
"POC2_WEAPON_UPGRADE_2": "武器升级 - 2 级"
"CONTROL_ZOOM_AND_ROTATE": "缩放/旋转"
"DROP_CHALLENGER": "召唤挑战者"
"GIVE_D4THBLOSSOM": "召唤 D4TH 花瓣"
"MUSIC_DOWNLOADABLE": "已下载"
"CONTROL_YES": "是"
"DROP_JUSTICE": "召唤正义"
"DROP_WIDOWMAKER": "召唤寡妇制造者"
"POC2_PLAYER_CUSTOMIZATION": "角色自定义"
"WPN_STORE_EXIT_PROMPT": "退出武器店\n\n确定吗？"
"VCUST_BOTH_AXLES_OPTION": "双轴"
"CONTROL_REMOVE": "移除"
"DROP_REAPER": "召唤死神"
"GARAGE_EXIT_PROMPT": "退出车库？"
"STAT_MORNINGSTAR_KILLED": "击杀晨星帮"
"STAT_CHOP_SHOP_VEHICLES_DELIVERED": "拆车厂交付车辆数"
"OPTION_YES": "是"
"RAINING_PEDS_DESC": "哈利路亚，下起了行人雨。"
"PED_WAR": "路人战争"
"CAR_MASS_HOLE": "重力车厢"
"SURGEON_FINISHED_FULL": "你确定要离开天生设计吗？"
"CONTROL_BTN_BACK": "返回键"
"CELL_DRUG_DEALER": "货主"
"CRIB_SHOP_PURCHASED_TEXT": "这处据点现在是你的了。\n你可以在此取用存放的现金、武器、衣物和载具。\n改装它能提升你的风格等级。"
"WPN_STORE_PISTOL_TITLE": "手枪"
"VCUST_WHEEL_SIZE_OPTION": "轮胎尺寸"
"GARAGE_CRIB_NAME": "车库"
"MAP_ICON_HELI": "武直突击"
"TAXI_CAB_2": "鹰线黄的士"
"CELL_TAXI_CAB": "的士"
"PLAYER_VEHICLE_NO_DAMAGE_DESC": "你的载具免疫伤害。"
"VCUST_PURCHASE_PROMPT": "你愿意花 ${1} 购买 {0} 吗？"
"CUST_ITEM_CREATE_OUTFIT": "保存套装"
"GARAGE_REPAIR_TEXT": "你要修复这辆载具吗？"
"CONTROL_CHANGE_COLUMN": "切换栏目"
"MAP_ICON_PLASTIC_SURGEON": "整形医生"
"WARDROBE_LEAVE_FULL": "你确定要离开衣橱吗？"
"CRIB_HUD_HANGAR_PURCHASE": "购买机场机库：${0}"
"VCUST_REGION_TITLE": "区域（1/3）"
"TAXI_CANNOT_AFFORD": "你的钱不够支付这趟车程。"
"OVL_SHOP_PURCHASED_TITLE": "已购买"
"PURCHASEABLE_PROPERTEY_AIRPORT": "韦斯利·卡特国际机场"
"TRIGGER_SAVE": "保存"
"WPNSTOR_TEXT_MAX_AMMO_STORE": "你无法再携带此类弹药了。"
"MAP_ICON_TSS_MISSION": "第3街圣徒任务"
"MAP_ICON_TATTOO_PARLOR": "纹身店"
"CELL_IMAGE": "天生设计"
"HUD_SHOP_NEED_HOOD_OWNERSHIP": "你必须先占领该街区才能购买此店"
"GANG_CUST_SLOT_3": "槽位 3"
"STAT_WEAPON_THROWN": "投掷类"
"CONTROL_CHANGE_STORY": "切换剧情"
"MAP_IMG_SURGEON": "[format][scale:1.0][image:map_store_surgeon][/format]"
"CUST_GANG_NAME_BODYGUARD": "保镖"
"SMASH_DESC": "你的载具会撞碎其他车辆。"
"DROP_STATUSQUO": "召唤现状号"
"SUPER_EXPLOSIONS": "超级爆炸"
"PLAYER_PRATFALLS": "玩家滑稽摔倒"
"POC2_DROP_CAR": "空投跑车"
"HIDE_HUD_DESC": "隐藏抬头显示。"
"FULL_HEALTH_DESC": "将生命值补满。"
"INFINITE_SPRINT_DESC": "你可以无限冲刺。"
"PAUSE_MAP_CANT_WAYPOINT_FULL": "任务或活动进行中无法放置路点！"
"HAIR_NO_CHOICES": "该分类下没有可选项。"
"CONTROL_RETURN_TO_LOBBY": "返回大厅"
"PAUSE_MAP_WAYPOINT_REMOVE": "移除路点"
"MAP_ICON_CAR_MECHANIC": "修车工"
"TAXI_CAB_1": "大威利出租"
"STORE_EXIT_UPGRADES": "退出升级？"
"GARAGE_REPAIR_PROMPT": "你要花 ${0} 修复这辆载具吗？"
"VCUST_COLOR_GRID_TITLE": "配色网格"
"TINY_PLAYER_DESC": "老铁，你把自己缩小了。"
"GANG_CUST_GANG_STYLE_OPT": "风格"
"Player_Vehicle_No_Damage": "载具无敌"
"VCUST_PERFORMANCE_ADD": "升级"
"WPN_STORE_SHOTGUN_TITLE": "霰弹枪"
"WPN_STORE_MELEE_TITLE": "近战"
"GANG_CUST_GANG_SIGN_VOICE": "嘲讽"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "载具冲浪最长时间"
"STAT_DECKER_SPECIALISTS_KILLED": "击杀迪克专家"
"MAP_ICON_CRIB": "据点"
"GARAGE_LEAVE_FULL": "你确定要离开边缘工坊吗？"
"CURRENT_AMMO": "当前弹药"
"STAT_VEHICLE_CAR": "汽车"
"DROP_UFO": "摧毁"
"ACTIVITY_LEVEL_LEAVE_FULL": "你确定要离开活动难度选择吗？"
"STORE_FAT": "肥胖 {0}%%%%"
"HASH_ABE420A4": "暂无可选项 "
"WPN_STORE_NO_WEAPONS_AVAILABLE": "无可用武器"
"VCUST_SPINNER_OPTION": "旋转轮毂"
"MAP_IMG_CRIB": "[format][scale:1.0][image:map_other_crib][/format]"
"CELL_LEATHER_AND_LACE": "皮革与蕾丝"
"MUSIC_UNLOCKABLE": "可解锁"
"TATTOO_LEAVE_FULL": "你确定要离开锈针纹身店吗？"
"DROP_COMMANDER": "召唤指挥官"
"BLOODY_MESS": "猩红场面"
"STORE_BRA_WARNING": "警告"
"CUST_ITEM_NOTHING": "无"
"HUD_CRIB_CUSTOMIZE": "自定义你的据点"
"LOW_GRAVITY_DESC": "静水城的重力发生器只剩四分之一功率。"
"CUST_REMOVE_ITEM_BODY": "你确定要移除该物品吗？"
"PURCHASEABLE_PROPERTEY_FACTORY": "工厂 "
"GARAGE_HELIPORT": "直升机坪"
"MUSIC_ARTIST_UNKNOWN": "未知"
"STAT_GARAGES_ACQUIRED": "已收购车库数"
"CUST_GANG_NAME_COLLEGE": "大学生"
"GOD_MODE_DESC": "你不可阻挡。"
"ACT_CHOP_SHOP_LEAVE_FULL": "你确定要离开拆车厂吗？"
"STRONGHOLD_START_TEXT": "按 %s 启动 %s 根据地"
"ADD_GANG_NOTORIETY_DESC": "每次使用为帮派声望增加一星。"
"Overcast": "阴天"
"TAXI_CONFIRM_PURCHASE_FULL": "你愿意花 %ls 叫这辆车吗？"
"CONTROL_ROTATE": "旋转"
"DROP_SANDSTORM": "召唤沙暴"
"GIVE_DILDO": "召唤穿透者"
"GIVE_GRENADE": "召唤手雷"
"CONTROL_EXIT_PLAYER_CREATION": "退出身体"
"CONTROL_OKAY": "确定"
"CELL_NEWS_VAN": "新闻站"
"STORE_PRICE": "价格 ${0}"
"STORE_TEXT_DISCARD_OUTFIT_WARNING": "从衣橱移除该物品，也会一并移除它所属的套装。"
"CRIB_WARDROBE_EXIT": "退出衣橱\n\n确定吗？"
"CELL_RUSTYS_NEEDLE": "锈针纹身店"
"LOW_GRAVITY": "低重力"
"CUST_ICON_SUITS": "西装"
"CUST_ICON_RINGS": "戒指"
"CONTROL_RETURN_TO_MAIN_MENU": "返回主菜单"
"CONTROL_ZOOM": "缩放"
"CONTROL_PURCHASE": "购买"
"MAP_ICON_CRIB_PURCHASE": "出售中的据点"
"CHEAT_CHARACTER_DESC": "将你的角色切换为该角色。"
"MUSIC_ELECTRONICA": "电子乐"
"POC2_WEAPON_UPGRADE_1": "武器升级 - 1 级"
"STORE_BUILD": "建造"
"CONTROL_EXIT_WARDROBE": "退出衣橱"
"MAP_ICON_HITMAN": "杀手"
"GIVE_TEKZ10": "召唤 TEK Z-10"
"TOD_CYCLE_DESC": "切换一天中的时间。"
"GIANT_PLAYER": "我变巨人了"
"SUPER_SAINTS": "超级圣徒"
"BUILDING_PURCHASE_CASH_PER_HOUR": "每小时 ${0}"
"CRIB_HUD_DOCK_NAME": "龙迪尼船坞"
"VEHICLE_ADVANCED": "%s（进阶）"
"CAR_MASS_HOLE_DESC": "你的载具质量无限，会撞开其他车辆。"
"PLAYER_PRATFALLS_DESC": "用 {SHOULDER_CAMERA_IMG}/{ATTACK_PRIMARY_IMG} 来滑稽摔倒，就像在碰瓷索赔里那样。"
"BUILDING_PURCHASE_DISCOUNT": "{0}%%% 折扣"
"GANG_CUST_SLOT_1": "槽位 1"
"GIVE_RPG": "召唤火箭筒"
"DROP_AMBULANCE": "召唤救护车"
"PREVIEW_UNAVAILABLE": "无法预览"
"VCUST_TIRE_TREAD_OPTION": "轮胎花纹"
"STAT_SHORTCUTS_FOUND": "发现的近道数"
