"DLC3_OUTRO_08_TAG": "Stripper pole?"
"DLC3_INTRO_20_JIMMY": "Can you at least give me an autograph?"
"DLC3_INTRO_03_JIMMY": "They failed you Johnny ... but I never will.  I'm your number one fan."
"UNL_DESC_DLC3_STORY03_VEHICLES": "You now have the Torbitron available at your Crib Garage"
"UNL_DLC3_HOMIE_JOHNNY_TAG": "HOMIE - JOHNNY TAG"
"DLC3_OUTRO_06_TAG": "Gat ... friend?"
"UNL_DLC3_STORY03_VEHICLES": "VEHICLE - TORBITRON"
"UNL_DESC_DLC3_HOMIE_JOHNNY_TAG": "Johnny Tag can be found in your Cell Phone \"PHONE\" menu. He will help the Saints in combat."
"UNL_DLC3_STORY03_ALERT": "THE TROUBLE WITH CLONES..."
"DLC3_M03_TUT_SUPER_POWERS_TITLE": "YOU HAVE SUPER POWERS!"
"DLC3_ACHIEVE_SR3_JOHNNYGUARD": "The Johnnyguard"
"DLC3_M01_GET_BACK_TO_CLUB": "GET BACK TO [format][color:location]TECHNICALLY LEGAL[/format]"
"DLC3_INTRO_18_JIMMY": "Yeah, let's do this!"
"DLC3_INTRO_15_JIMMY": "This is so fucking awesome!"
"DLC3_INTRO_10_PIERCE": "Hold up!  You cloned Gat?"
"DLC3_M01_ABANDONED_STRIP_CLUB": "YOU NEED TO WAIT FOR JIMMY INSIDE TECHNICALLY LEGAL"
"DLC3_M01_INTERROGATE_OWNER": "INTERROGATE THE [format][color:use]OWNER[/format]"
"DLC3_OUTRO_12_JIMMY": "The end.  Question mark?"
"HOMIE_DESC_DLC3_JOHNNY_TAG": "Kick ass with Gat's oversized clone!"
"DLC3_ACHIEVE_SR3_HERES_JOHNNY": "Weird Science"
"CUST_ITEM_DLC_UPP_WITCH": "WITCH ROBE"
"CUST_ITEM_DLC_HAT_WITCH": "WITCH HAT"
"DLC3_M03_MISSION_NAME": "SEND IN THE CLONES"
"DLC3_M03_DEFEND_TAG": "DEFEND [format][color:defend]TAG[/format]"
"DLC3_INTRO_06_JIMMY": "I thought I had enough things that he touched."
"HOMIE_DLC3_AISHA_BRUTELLA": "AISHA BRUTELLA"
"CUST_ITEM_DLC_FOOT_WITCH": "WITCH BOOTS  "
"UNL_DLC3_CUST02_VEHICLES": "VEHICLE - THE SALEM"
"DLC3_M02_FAIL_ABANDONED_TRUCK": "YOU ABANDONED THE TORBITRON!"
"DLC3_M01_FAILURE_CAR_DESTROYED": "JIMMY'S CAR WAS DESTROYED"
"HOMIE_DLC3_JOHNNY_TAG": "JOHNNY TAG"
"UNL_DLC3_CUST02_OUTFITS01": "OUTFIT - WITCH"
"DLC3_M01_MISSION_NAME": "WEIRD SCIENCE"
"DLC3_OUTRO_04_PLAYER": "I know, I know Johnny, but - we can make it right!"
"DLC3_OUTRO_02_PIERCE": "Oh now you want to try to reason with him."
"DLC3_INTRO_01_JIMMY": "It was a dark and stormy night ..."
"DLC3_ACHIEVE_SR3_BAMF": "B.A.M.F."
"UNL_DESC_DLC3_CUST02_OUTFITS01": "Show the world that being a witch is a fashion statement as well as a way of life."
"DLC3_WPN_FIREBALL": "QUARTER-CIRCLE PUNCH"
"DLC3_OUTRO_07_PLAYER": "Come on buddy.  Let's get you back home."
"DLC3_INTRO_14_TAG": "Where Shogo?"
"HOMIE_DESC_DLC3_AISHA_BRUTELLA": "Now using her fists instead of her voice to knock fans flat."
"DLC3_ACHIEVE_SR3_BEE_HOLDER": "Eye of the Bee-Holder"
"DLC3_M01_INTERROGATE_GANG": "INTERROGATE THE [format][color:use]LIEUTENANT[/format]"
"DLC3_OUTRO_10_JIMMY": "And so ends the tale of our intrepid heroes.  Bound by the bond that they ... they uh ... had for each other."
"DLC3_ACHIEVE_SR3_MY_PET_MONSTER": "My Pet, Monster"
"UNL_DLC3_CUST02_CLOTHING": "ITEMS - WITCHES AND WIENERS"
"DLC3_WPN_SAINTSFLOWFIST": "SAINTS POW"
"DLC3_M02_FAIL_TRUCK_DEAD": "THE TORBITRON WAS DESTROYED!"
"DLC3_M02_PROTECT_PIERCE": "PROTECT [format][color:defend]PIERCE[/format]"
"DLC3_OUTRO_01_PLAYER": "Johnny - come on man, I'm trying to help you!"
"DLC3_M02_DEFEND_STAGE": "DEFEND THE [format][color:defend]STAGE[/format]"
"DLC3_M01_LOOK_FOR_TAG": "INVESTIGATE A [format][color:location]FRIENDLY FIRE[/format]"
"DLC3_INTRO_04_JIMMY": "For months I had been collecting shit.  His shit."
"DLC3_ACHIEVE_SR3_SUPAA_EXCELLENT": "Supaa-Excellent!"
"DLC3_INTRO_19_PIERCE": "Sit the fuck down Jimmy!  Leave this to the professionals."
"DLC3_M02_FIND_TAG": "FIND [format][color:location]TAG[/format]"
"DLC3_OUTRO_05_PIERCE": "Yeah, we're your friends, Johnny."
"DLC3_M01_GOTO_FRIENDLY_FIRE": "GO TO [format][color:location]FRIENDLY FIRE[/format]"
"DLC3_OUTRO_03_TAG": "Saints ... fail me."
"CUST_ITEM_DLC_HAT_DH": "DEVIL HORNS"
"DLC3_M02_REVIVE": "REVIVE"
"DLC3_M02_GOTO_PLANET_SAINTS": "GO TO [format][color:location]PLANET SAINTS[/format]"
"UNL_DESC_DLC3_CUST02_VEHICLES": "The only way for a witch to travel is by broomstick after all. With this vehicle, everyone gets that chance."
"DLC3_M03_GOTO_HELICOPTER": "GET IN THE [format][color:location]HELICOPTER[/format]"
"DLC3_INTRO_07_JIMMY": "I was wrong."
"CUST_ITEM_DLC_PANTS_WITCH": "WITCH PANTS"
"DLC3_M02_RETURN_TO_TRUCK": "GET BACK IN THE [format][color:location]TORBITRON[/format]"
"DLC3_M02_MISSION_NAME": "TOUR DE FARCE"
"DLC3_INTRO_02_JIMMY": "The heavens wept as I defiled mother nature."
"UNL_DLC3_HOMIE_AISHA_BRUTELLA": "HOMIE - AISHA BRUTELLA"
"DLC3_ACHIEVE_SR3_STING_OPERATION": "Sting Operation"
"CUST_ITEM_DLC_OUTFIT_WITCH": "WITCH"
"DLC3_M03_KILL_GUARD": "KILL [format][color:kill]STEELPORT GUARD[/format]"
"DLC3_M02_FAIL_FEEDBACK": "THE CROWD KILLED THE PERFORMANCE. KEEP THEM AWAY FROM THE STAGE WITH THE SWARMITRON."
"CUST_ITEM_DLC_HAT_HALO": "SAINTLY HALO"
"DLC3_M01_SURVIVE": " [format][color:defend]WAIT[/format] FOR JIMMY"
"DLC3_INTRO_11_JIMMY": "Yeah."
"DLC3_M03_FAIL_TAG_DIED": "JOHNNY TAG DIED!"
"DLC3_M03_KILL_MORNINGSTAR": "KILL [format][color:kill]MORNINGSTAR[/format]"
"DLC3_M03_GOTO_PLANET_SAINTS": "LOOK FOR TAG AT [format][color:location]PLANET SAINTS[/format]"
"DLC3_M03_GOTO_APARTMENT": "LOOK FOR TAG AT [format][color:location]THE APARTMENT CRIB[/format]"
"DLC3_M02_OBJ_MISSION_START": "GO TO [format][color:location]JIMMY'S HOUSE[/format]"
"DLC3_M01_DESTROY_ROADBLOCK": "DESTROY THE [format][color:kill]ROADBLOCK[/format]"
"DLC3_M01_PROTECT_CAR": "PROTECT THE [format][color:defend]CAR[/format]"
"DLC3_OUTRO_11_JIMMY": "Steelport is safe once again.  But who knows when the Saints and their new allies may be called on to protect her."
"DLC3_OUTRO_09_PLAYER": "That's right, man.  Stripper pole."
"DLC3_ACHIEVE_SR3_TOUR_DE_FARCE": "Tour de Farce"
"DLC3_WPN_BEE_GUN": "SWARMITRON"
"DLC3_INTRO_16_JIMMY": "Wait - where are you guys going?"
"UNL_DESC_DLC3_CUST02_CLOTHING": "Clothing for your inner Ninja, Hot Dog, Angel, and Devil."
"DLC3_INTRO_17_PLAYER": "WE are going to find our friend!"
"DLC3_INTRO_08_JIMMY": "Johnny?"
"DLC3_INTRO_05_JIMMY": "Sunglasses, old chewed up gum, a greasy comb."
"DLC3_ACHIEVE_SR3_SEND_CLONES": "Send in the Clones"
"DLC3_M02_OBJ_CALM_TAG": "CALM [format][color:kill]TAG[/format] WITH SWARMITRON"
"DLC3_M02_KILL_HELIS": "KILL THE [format][color:kill]STEELPORT GUARD ATTACKERS[/format]"
"DLC3_M01_GOTO_CAR": "GET IN [format][color:location]JIMMY'S CAR[/format]"
"DLC3_ACHIEVE_SR3_PUBLIC_ENEMY": "Public Enemy #1"
"CUST_ITEM_DLC_HOTDOG": "HOT DOG"
"CUST_ITEM_DLC_SUIT_NINJA": "NINJA"
"DLC3_M03_TUT_SUPER_POWERS": "Hold {SPRINT_IMG} to super sprint.\nThrow FIREBALLS with {ATTACK_SECONDARY_IMG}.\nPress {ATTACK_PRIMARY_IMG} to throw super powered punches."
"DLC3_M02_GOTO_TRUCK": "GET IN [format][color:location]THE TORBITRON[/format]"
"UNL_DESC_DLC3_STORY03_ALERT": "New missions are available via your Cell Phone."
"UNL_DLC3_CUST02_ALERT": "WITCHES AND WIENERS"
"DLC3_M03_GOTO_BRIDGE": "LOOK FOR TAG AT [format][color:location]THE BRIDGE[/format]"
"DLC3_M02_OBJ_CALM_LABEL": "PROGRESS"
"DLC3_INTRO_13_JIMMY": "I'm getting to that part!"
"DLC3_INTRO_12_PLAYER": "Alright, so where is -"
"UNL_DESC_DLC3_CUST02_ALERT": "New downloadable content available in your Crib Wardrobe and Garage."
"DLC3_M02_FAIL_TAG_ESCAPE": "YOU WERE TOO SLOW, JOHNNY TAG GOT AWAY!"
"DLC3_M01_GOTO_STRIP_CLUB": "GO TO [format][color:location]TECHNICALLY LEGAL[/format]"
"DLC3_M01_OBJ_MISSION_START": "GO TO [format][color:location]SMILING JACK'S[/format]"
"DLC3_INTRO_09_TAG": "Aisha!"
"UNL_DESC_DLC3_HOMIE_AISHA_BRUTELLA": "Aisha Brutella can be found in your Cell Phone \"PHONE\" menu. She will help the Saints in combat."
"DLC3_M02_OBJ_GET_BEE_GUN": "GET [format][color:location]SWARMITRON[/format] FROM TRUCK"
"DLC3_M02_REVIVE_TAG": "REVIVE [format][color:use]TAG[/format]"
