"MP_CANCEL_JOIN": "CANCEL"
"MULTI_ERROR_JOIN_REJECTED": "The host is not accepting players at this time."
"MULTI_ERROR_HOST_LEFT": "The host has left the game."
"COOP_REMOTE_CHEAT_QUIT": "QUIT"
"MULTI_JOIN_LOAD_TITLE": "CO-OP"
"COOP_LOAD_EXPLANATION_TEXT": "WILL LOAD CHARACTER, CLOTHES AND VEHICLES FROM ANOTHER GAME"
"COOP_CANT_JOIN_YET_MISSION": "%ls can't join while you are in a Mission.\nThey will join once you return to normal gameplay."
"COOP_FREINDLY_FIRE_LIGHT": "Friendly fire light turned on!\nYou can now deal some damage to your partner."
"COOP_DISCONNECTED": "You were disconnected!"
"MULTI_NO_PRIVILEGE_PS3": "This profile is unable to play online."
"MP_INVITE_SENT_TITLE": "GAME INVITE SENT"
"COOP_FREINDLY_FIRE_ON": "Friendly fire turned on!\nYou can now damage your partner."
"COOP_JOIN_REQUEST_MESSAGE": "%ls wants to join your game."
"CONTROL_KICK_PLAYER": "KICK PLAYER  "
"MP_FIND_SERVER_TITLE": "FINDING SERVER"
"MULTI_ONLINE_RESTRICTED": "NO ONLINE"
"COOP_REMOTE_CHEAT_CONTINUE": "CONTINUE"
"FOREIGN_CHARACTER_DETECTED_WARNING_MESSAGE": "A player has an ID with unsupported characters. These characters now appear as \"_\"."
"MP_JOIN_SERVER_BODY": "Waiting on host to accept connection."
"QUIT_TO_MAIN_MENU": "QUIT GAME"
"MULTI_ERROR_NETWORK_TROUBLE": "The host has left the game."
"COOP_PARTNER_PAUSED": "%s PAUSED THE GAME"
"COOP_CANT_JOIN_YET_STRONGHOLD": "%ls can't join while you are in a Stronghold.\nThey will join once you return to normal gameplay."
"COOP_CANT_JOIN_YET_ACTIVITY": "%ls can't join while you are in an Activity.\nThey will join once you return to normal gameplay."
"HASH_26F67AA8": "The server is not available at this time. Please try again later."
"MP_WINNERS_TIE": "GAME TIE"
"MULTI_ERROR_CANT_FIND_MATCH": "Unable to find any games."
"COOP_JOIN_IS_WAITING": "%ls is waiting to join."
"COOP_LOAD_TITLE_TEXT": "LOAD CHARACTER"
"MULTI_ERROR_INTERNAL_ERROR": "You have been disconnected from the game."
"COOP_JOIN_IN_PROGRESS": "%ls IS JOINING THE GAME"
"COOP_INCORRECT_MODE": "INCORRECT MODE"
"MULTI_JOIN_FRIEND": "JOIN FRIEND"
"MULTI_CONNECTION_LOST_PS3": "A connection error has occurred.\nYou are being returned to the Main Menu."
"MULTI_CHAT_DISABLED_TITLE": "NO ONLINE"
"MP_WINNERS_YOU_WIN": "YOU WIN"
"MULTI_FIND_GAMES": "FIND GAME"
"MULTI_MENU_TITLE": "MULTIPLAYER"
"COOP_TITLE": "CO-OP"
"COOP_JOIN_REQUEST_TITLE": "JOIN REQUEST"
"COOP_FREINDLY_FIRE_OFF": "Friendly fire turned off!\nYou can no longer damage your partner."
"COOP_PARTNER_DISCONNECTED": "THE CONNECTION TO %ls HAS BEEN LOST"
"MP_JOIN_SERVER_TITLE": "JOINING SERVER"
"COOP_JOIN_REQUEST_MSG": "%ls would like to join your game.\nWould you like to let them?"
"COOP_CANT_JOIN_YET_CUTSCENE": "%ls can't join while you are in a Cutscene.\nThey will join once you return to normal gameplay."
"COOP_REMOTE_CHEAT_KICK": "KICK PLAYER AND CONTINUE GAME"
"COOP_WAIT_FOR_ANYONE": "WAIT FOR ANY PLAYER"
"COOP_LOAD_OLD_TEXT": "LOAD"
"COOP_CANT_JOIN_YET_PROLOGUE": "This mission must be restarted to allow %ls to join your game right now.  By restarting you will lose all current checkpoint progress through this mission.\nContinue joining?"
"MULTI_ERROR_SESSION_ERROR": "You could not join the game."
"HASH_59B4B8D2": "%ls has left the game session"
"INVITE_FAILED_TITLE": "GAME INVITE FAILED"
"MULTI_NO_ETHERNET": "A connection error has occurred.\nYou are being returned to the Main Menu."
"COOP_DISCONNECTED_FROM_SERVER": "You've been disconnected from the host so you must be returned to the main menu.\nWould you like to save before exiting the level?"
"MULTI_ERROR_NO_JOIN_INFO": "You could not join the game."
"COOP_REMOTE_CHEAT_SAVE_QUIT": "SAVE AND QUIT GAME"
"COOP_KICKED": "You were kicked from the game!"
"MP_JOIN_DENY": "DENY"
"MP_JOIN_ACCEPT": "ACCEPT"
"LIVE_PLAYER_LEFT": "%ls HAS LEFT THE GAME SESSION"
"COOP_HOST_BUSY": "The Host is busy and has asked you to wait..."
"COOP_WAIT": "Please Wait..."
"COOP_CREATE_NEW_TEXT": "CREATE NEW"
"MULTI_JOIN_DELAY_MSG": "The game you're trying to join is in an activity, mission or stronghold.\nYou will join the game once they exit that mode."
"MP_FIND_SERVER_BODY": "Searching for game."
"COOP_MAY_HAVE_DROPPED": "RECONNECTING TO %ls"
"MULTI_ERROR_SESSION_FULL": "This game is in progress or full."
"MULTI_CHAT_DISABLED": "NO CHAT"
"MULTI_ONLINE_RESTRICTED_TITLE": "NO ONLINE"
"MULTI_LOST_CONNECTION_SYS": "A connection error has occurred.\nYou are being returned to the Main Menu."
"COOP_REMOTE_CHEAT_SAVE_CONTINUE": "SAVE AND CONTINUE GAME"
"MP_WINNERS_YOU_LOSE": "YOU LOSE"
"MP_DISCONNECT_HOST_LEFT": "The host has left the game session.\nYou must return to the Main Menu."
"MP_INVITE_SENDING": "Sending Invite..."
"MP_INVITE_SENT_BODY": "Game invite sent to {0}.  "
"MULTI_NOT_SIGNED_IN": "You must sign in with a gamer profile to access this feature."
"INVITE_FAILED_BODY": "Could not send invite to {0}."
"MULTI_NOT_SIGNED_IN_PS3": "You must sign in with a profile to access this feature."
