"MENU_LEFT_MOUSE": "Left Mouse"
"MENU_CATEGORY_GENERAL": "GENERAL"
"PLT_MENU_ANTI_ALIASING": "    ANTI-ALIASING"
"PLT_MENU_AUTO_DETECT": "AUTO-DETECT"
"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "Saving content. Please wait."
"PC_ZONE_TYPE_HINT": "CUT TO A NEW CAMERA OR BLEND FROM THE PREVIOUS ZONE"
"PC_EXPORT_LOCK_HINT": "LOCK THE CAMERA'S MOTION DURING THIS CAMERA ZONE"
"PC_CHARACTER_MODEL": "CHARACTER MODEL"
"BTN_BLACK_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-rb][/format]"
"PCACTION_MAP": "SHOW MAP"
"PCACTION_SPRINT": "SPRINT"
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "SET IF RADIO TURNS ON UPON VEHICLE ENTRY"
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG} TAUNT \n{TAUNT_THREE_IMG} COMPLIMENT \nInteract with people and gain respect by taunting and killing gang members."
"CBA_VDC_HELI_DOWN": "   MOVE DOWN"
"BTN_START_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-options][/format]"
"PCACTION_CONSUME_UP": "CONSUME AT UP"
"PC_ENABLE": "ENABLE"
"MENU_CATEGORY_PLANE": "AIRPLANE"
"MAINMENU_ONLINE_GAME": "ONLINE"
"CBA_GAC_WEAPON_SELECT_4": "   WEAPON SLOT 4"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   ROLL RIGHT"
"MENU_MEDIUM": "MEDIUM"
"PLT_MENU_WIDESCREEN": "WIDESCREEN"
"PC_CA_CANCEL": "CANCEL"
"PC_TOD_AFTERNOON": "AFTERNOON"
"PC_W_RAINY": "RAINY"
"PC_WEATHER": "WEATHER"
"PC_CM_TRACKING": "TRACKING"
"PC_CM_FOLLOW_WATCH": "FOLLOW WATCH"
"PC_REWIND_HINT": "RELOAD AND REWIND TO THE START"
"BTN_RTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-rt][/format]"
"M14_FAILURE_VAN_DESTROYED_PC": "BROADCAST VAN DESTROYED!\nGET CLOSE AND TARGET THE VAN WITH THE CAMERA."
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   MOVE LEFT"
"PLT_MENU_PAUSE_FOCUS": "PAUSE ON FOCUS LOSS"
"PC_DOF_NORMAL": "NORMAL"
"PC_CAMERA_UNLOCKED": "CAMERA UNLOCKED"
"DPAD_UP_TXT": "THE A BUTTON"
"PCACTION_WEAPON_4": "WEAPON 4"
"HASH_AEB9EE85": "GOG matchmaking was unable to find any connectable games."
"MENU_CAMERA_SMART": "SMART"
"PC_RECORD_VIDEO": "RECORD VIDEO"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "You have lost your online connection."
"MENU_MOUSE_WHEEL_DOWN": "Wheel Down"
"MENU_MOUSE_BUTTON_5": "Mouse 5"
"MENU_CONTROLLER_SCHEMES": "CONTROL MAP"
"PLT_MENU_DISPLAY_MODE": "DISPLAY MODE"
"PCACTION_RADIO_NEXT": "NEXT RADIO"
"HASH_BFE61146": "OPEN HDR MENU"
"PC_RECORD_MODE_PROGRESS": "SAVING VIDEO: %d%%%% COMPLETE"
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "This conflicts with the following actions. They will be automatically unbound:"
"MENU_STEAM_STORE": "STEAM STORE"
"CBA_GAC_TAKE_SCREENSHOT": "   COMMUNITY SCREENSHOT"
"PLT_MENU_HIGH_DX10_ONLY": "HIGH (DX10 OR ABOVE)"
"PC_EXIT_EXPLANATION": "Exit the Cinema Clip Editor? Any unsaved changes will be lost."
"HUD_HOLD_DPADUP_PARTY_DISMISS": " DISMISS PARTY"
"PLT_MENU_APPLY": "APPLY"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG} ACCELERATE \n{BRAKE_REVERSE_IMG} BRAKE + REVERSE \nUse {LEAN_BACK_IMG} to shift your weight to pop wheelies and {LEAN_FORWARD_IMG} to perform stoppies."
"CBA_MENU_PC_PUSH_TO_TALK": "   PUSH TO TALK"
"CBA_OFC_WALK": "   WALK (HOLD)"
"CBA_OFC_TAUNT_THREE": "   COMPLIMENT"
"CBA_VDC_TANK_FIRE_SECONDARY": "   FIRE WEAPON 2"
"COOP_JOIN_CHEAT": "Your co-op partner is using cheats. Any new save games created will have cheats enabled.\nAutosaving has been disabled and you will not be able to earn any more Achievments."
"PC_TOD_DEFAULT": "DEFAULT"
"PC_CAM_MODE": "CAMERA MODE"
"PAUSE_MENU_RECORD_MODE": "RECORD CINEMA CLIPS"
"GAME_PROFILE_SAVING": "Saving. "
"CBA_VDC_HELI_FIRE_SECONDARY": "   FIRE WEAPON 2"
"MULTI_LOBBY_TITLE_SYSLINK": "LAN LOBBY"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "Loading content. Please wait."
"PC_ADVANCED_MODE_HINT": "ALLOW MORE ADVANCED EDITING TECHNIQUES"
"BTN_LTRIGGER_TXT": "THE A BUTTON"
"BTN_WHITE_TXT": "THE A BUTTON"
"PCACTION_JUMP": "JUMP"
"HASH_70DB6EC9": "ONLINE"
