# TODO: Translate to Simplified Chinese
# Source: dlc1_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 287

"HASH_163D10A0": "蛮人机枪不算花哨，但好用……每分钟1200发。在你的传送门武器库中装备。"
"HASH_ABB478E0": "载具 - 三明治女王"
"HASH_EEBB4640": "我们帮你逃出去，骑到背上来！走！"
"HASH_3C929B80": "没错！把我踢出任务？切，老子带了一整支大部队来。"
"HASH_06CD0900": "等等，他们没有在攻击！"
"HASH_0A588620": "挣来的……"
"HASH_6DC22E40": "它会摧毁城市！"
"HASH_8BD54E40": "使用 [format][color:use]装置[/format]"
"HASH_3AA3E8A0": "终极烫手山芋"
"HASH_5FBA9A01": "喷火器"
"HASH_4C9E1D81": "海盗掠夺包"
"HASH_B2ACD701": "我的手。我的心。我的王国。全都属于你。"
"HASH_18E2D7E1": "你认真的？"
"HASH_6EB76CC1": "已经出来了。你不在里面。"
"HASH_4639AA01": "他真勇敢。"
"HASH_F4F42141": "打破他的头"
"HASH_653F7EA1": "进入 [format][color:use]装置[/format]"
"HASH_55D1BC81": "前往 [format][color:location]停机坪[/format]"
"dlc1_m01_failure_pierce_died": "皮尔斯死了！"
"HASH_07F89DC1": "恐龙漫步"
"HASH_C49676E2": "齐莫可以从HUB \"手机\"菜单中召唤到模拟世界中。他会帮助圣徒战斗。而且穿得很帅。"
"HASH_3C23D0E2": "如你所愿。"
"HASH_5E6235C2": "你好！我叫达达尼昂。我是西拉诺的使者，他是一个善良的太空民族的国王。我们是齐人的敌人。"
"HASH_60658662": "齐尼亚克被杀后，没有人控制模拟世界了。为了建立秩序，AI觉醒了自我意识……以女王的形态出现。"
"HASH_37BECF82": "退后！我……来处理。"
"HASH_6A90B4E2": "在赛道上"
"HASH_EA4A7822": "到达 [format][color:location]香蒂[/format]"
"HASH_A286C8E2": "赢得 [format][color:kill]竞速[/format]"
"HASH_17602A62": "摧毁 [format][color:kill]UFO[/format]"
"HASH_0F70A642": "获取 [format][color:use]武器[/format]"
"HASH_8EDD8E22": "终结 [format][color:use]他[/format]"
"HASH_7D6E9EA2": "和唐尼一起称霸模拟世界。"
"HASH_DBE5AB43": "抓到了！"
