# TODO: Translate to Simplified Chinese
# Source: dlc6_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 48

"cm_hat_brahat": "西瓜头"
"cm_suit_coedmale": "学院休闲装"
"HASH_F7152763": "儿童乐基金包"
"cm_hat_beercap": "派对标配"
"HASH_55B95C44": "草根美国梦"
"HASH_C7E75124": "增益元素 - 闪金"
"cm_suit_gsp": "源氏太空皮条客"
"HASH_1A8D90C5": "念力元素 - 闪金"
"HASH_827BE945": "珠光宝气"
"HASH_D538AE65": "极化者"
"HASH_4096ED86": "反串扮演包"
"HASH_6B784B46": "学院主题服装已放入你的衣柜，还有一辆吧椅车在车库里等你！"
"HASH_03400DA6": "发射威力更大、伤害更高、充能更快的冲击波，但有个条件——使用要花钱。\n\n双击 {SUPER_QUICK_FREEZE_IMG} 快速切换冲击元素。或在超能力菜单中切换。"
"HASH_75749447": "运动主题服装、武器皮肤和一辆冰面清理车已为你解锁。"
"HASH_D7DD5007": "闪金超能力元素"
"HASH_EAEE44C8": "一辆新车和两套服装已放入你的车库和衣柜。"
"HASH_B5D97F89": "今天适合打一架，嗯？"
"HASH_EB82B42A": "珠光宝气"
"HASH_4AF3E54B": "高尔夫球杆"
"HASH_E96AB3AC": "扭曲空间，让你的敌人无助地挣扎。"
"HASH_BF80820D": "武器 - 极化者"
"HASH_65CEB0AE": "天降钞票雨！钱从天上掉下来，让市民和敌人都看呆了。使用需花钱。\n\n双击 {SUPER_QUICK_STOMP_IMG} 快速切换元素。或在超能力菜单中切换。"
"HASH_A283F531": "数码恐龙和机器黑猩猩服装已解锁，复古赛车已放入你的车库。"
"HASH_8BE017B1": "珠光宝气"
"cm_suit_goalie01": "饼板守门员"
"cm_mask_goalie01": "守门员面具"
"dlc_suit_freckleb": "弗莱克尔碧池斯外卖妹"
"HASH_15003FD4": "你要的都给你了！太空皮条客和弗莱克尔碧池斯外卖服装已放入你的衣柜。"
"HASH_3EEE9914": "学院时光包"
"HASH_56D6DFF4": "冲击元素 - 闪金"
"HASH_20E24615": "开赛包"
"HASH_824B8255": "钱就是你的法力！用超能力发现金钱的新用途（以及新的赚钱方式）！"
"cm_suit_digidino": "数码恐龙"
"HASH_002F8E16": "看看美国佬的匠心独运（还有月光酒催生的幻觉）造出了什么好东西！"
"HASH_92718376": "获得点石成金之力！增益期间击杀敌人会掉更多钱，附近敌人甚至会被直接变成金子！\n\n双击 {SUPER_QUICK_SHIELD_IMG} 快速切换增益元素。或在超能力菜单中切换。"
"cm_hat_drivers": "卵石滩特别版"
"HASH_4F1B4297": "向目标勒索，用这招把他们的钱吸进你的口袋！\n\n双击 {SUPER_QUICK_TELEKINESIS_IMG} 快速切换元素。或在超能力菜单中切换。"
"HASH_80AE7C37": "让吸引和排斥的原理为你所用！"
"cf_suit_collegecoed": "姐妹会范儿"
"HASH_1F653719": "当你真的被气炸的时候"
"HASH_BF78969A": "儿童乐包"
"HASH_E04FADDB": "曲棍球杆"
"cm_suit_robomonkey": "机器黑猩猩"
"HASH_305862FC": "践踏元素 - 闪金"
"cm_suit_golf": "开球！"
"HASH_0CE3D59D": "珠光宝气"
"HASH_BCFC61FE": "扭曲武器"
"HASH_EA16505F": "用磁力收集敌人和物体，然后向四面八方甩出去。"
