// SR4R voice dict file 1/17
// Lines 1-1000 of 16797
// Format: "English": "Chinese translation";

"Maybe later, alright?": "Maybe later, alright?";
"The world's greatest vigilante needs our help in drawing out his archnemesis! To do so, we must confront the foul captain's army of minions, draw out his lieutenants, until the terrible menace reveals himself! Then we must take him on in an earth-shattering final conflict! ": "The world's greatest vigilante needs our help in drawing out his archnemesis! To do so, we must confront the foul captain's army of minions, draw out his lieutenants, until the terrible menace reveals himself! Then we must take him on in an earth-shattering final conflict! ";
"Does this place not have light switches?": "Does this place not have light switches?";
"A gun? Oh. A gun. Good.": "A gun? Oh. A gun. Good.";
"If someone had told me twenty years ago that when I grew up, I'd rise through the ranks of a street gang, found a media empire, become the President of the United States, then get captured by aliens, well...I'd probably have believed them. I was pretty gullible as a kid.": "If someone had told me twenty years ago that when I grew up, I'd rise through the ranks of a street gang, found a media empire, become the President of the United States, then get captured by aliens, well...I'd probably have believed them. I was pretty gullible as a kid.";
"So?": "So?";
"You sure know how to show a girl a good time. But we need to get Tammy somewhere safe.": "You sure know how to show a girl a good time. But we need to get Tammy somewhere safe.";
"This isn't really my business but, since you dragged me into this, I think you both could learn something from the other. Take that as you will.": "This isn't really my business but, since you dragged me into this, I think you both could learn something from the other. Take that as you will.";
"This thing takes some getting used to, huh...": "This thing takes some getting used to, huh...";
"Hold on, will you two get back here!": "Hold on, will you two get back here!";
"Yeah, sorry for your loss.": "Yeah, sorry for your loss.";
"Everybody, follow me!": "Everybody, follow me!";
"If Kinzie's plan works, Zinyak's gonna be in for a world of hurt.  Not sure if we'll make it out of this alive, but at least we'll go down fighting.  We owe it to the people of Earth to do that much.": "If Kinzie's plan works, Zinyak's gonna be in for a world of hurt.  Not sure if we'll make it out of this alive, but at least we'll go down fighting.  We owe it to the people of Earth to do that much.";
"I gotta word for ya! OW MY FACE.": "I gotta word for ya! OW MY FACE.";
"Kinzie, she's falling too fast.": "Kinzie, she's falling too fast.";
"Oh, geez!  Got too close to the fire!": "Oh, geez!  Got too close to the fire!";
"*sigh* I guess. I'll...I'll talk to her. Me.": "*sigh* I guess. I'll...I'll talk to her. Me.";
"Just shut up, I have to tell you something:  for years I thought you were dead, and I blamed myself for it.  When you were gone there was a hole in my life that I tried to fill with anything I could find...partying, sex, revenge...sometimes a weird combination of the three.": "Just shut up, I have to tell you something:  for years I thought you were dead, and I blamed myself for it.  When you were gone there was a hole in my life that I tried to fill with anything I could find...partying, sex, revenge...sometimes a weird combination of the three.";
"You have a point.": "You have a point.";
"Special Prisoner #2 has been isolated! All soldiers to Processing Chamber 9 now! Good job, everyone!": "Special Prisoner #2 has been isolated! All soldiers to Processing Chamber 9 now! Good job, everyone!";
"Here we are.": "Here we are.";
"Johnny, I'm telling you--": "Johnny, I'm telling you--";
"Ugh...Yeah... You keep doing that, I'll keep these assholes off you.": "Ugh...Yeah... You keep doing that, I'll keep these assholes off you.";
"I'd just rather not get killed over this, Matt.": "I'd just rather not get killed over this, Matt.";
"Done, Kinzie.": "Done, Kinzie.";
"Matt, I am going for Cyrus now. Time for Phase Two of this plan.": "Matt, I am going for Cyrus now. Time for Phase Two of this plan.";
"I'm a creature of habit, of structure, which doesn't fit well with the Saints' MO. They have their way of doing things, and at times I have no idea what they're thinking or of their infatuation with those god-awful Freckle Bitches hamburgers, but when it comes down to it, they get things done. That's impressive. And I'm not easily impressed.": "I'm a creature of habit, of structure, which doesn't fit well with the Saints' MO. They have their way of doing things, and at times I have no idea what they're thinking or of their infatuation with those god-awful Freckle Bitches hamburgers, but when it comes down to it, they get things done. That's impressive. And I'm not easily impressed.";
"I seem to remember getting shot here...": "I seem to remember getting shot here...";
"Flaming bullets? Holy shit.": "Flaming bullets? Holy shit.";
"Zinyak blew up Earth and HE'S the one getting pissed?": "Zinyak blew up Earth and HE'S the one getting pissed?";
"Come on, we'll find him.": "Come on, we'll find him.";
"Let's get it out of here!": "Let's get it out of here!";
"I don't think so.": "I don't think so.";
"Our way out of here. Oh! It's beautiful! I'll drive!": "Our way out of here. Oh! It's beautiful! I'll drive!";
"What's broken?": "What's broken?";
"That should be enough.  Get those loaded and we're all set.": "That should be enough.  Get those loaded and we're all set.";
"Kinzie, that's an order from your President.": "Kinzie, that's an order from your President.";
"Aw, what the hell...": "Aw, what the hell...";
"Johnny, I'm telling you--": "Johnny, I'm telling you--";
"There he is.": "There he is.";
"Ah, the Three-Count. Whether I am playing roulette here, or just cracking the safe, it is always a good time.": "Ah, the Three-Count. Whether I am playing roulette here, or just cracking the safe, it is always a good time.";
"Keith!": "Keith!";
"Girl, you gotta help me out here: you're not hacking.  This thing doesn't have fingers...the fuck am I getting this door open?": "Girl, you gotta help me out here: you're not hacking.  This thing doesn't have fingers...the fuck am I getting this door open?";
"Shit!": "Shit!";
"Kinzie, I can run faster than a human and shoot ice out of my hands; I'm already breaking the rules.": "Kinzie, I can run faster than a human and shoot ice out of my hands; I'm already breaking the rules.";
"Babysit the key. Got it.": "Babysit the key. Got it.";
"I'll take out the C.I.D.s!": "I'll take out the C.I.D.s!";
"Flip on the switch and...": "Flip on the switch and...";
"Just get everyone else to safety, playa!": "Just get everyone else to safety, playa!";
"What?! What are you going to do? Bad influence everyone to death?": "What?! What are you going to do? Bad influence everyone to death?";
"Is Zinyak seriously going to let me buy weapons here?": "Is Zinyak seriously going to let me buy weapons here?";
"Why's it look like Judgment Day?": "Why's it look like Judgment Day?";
"Don't worry Matt, I'll get you out.": "Don't worry Matt, I'll get you out.";
"I think this town lost the stick up its butt!": "I think this town lost the stick up its butt!";
"So there are probably aliens in here?": "So there are probably aliens in here?";
"Our contestants made it through another round.": "Our contestants made it through another round.";
"Johnny Gat is the oldest friend I have and the baddest motherfucker I know. I mourned him once when I thought Philippe Loren had taken him out. Now that I know he's alive, I'd walk through hell to bring him back.": "Johnny Gat is the oldest friend I have and the baddest motherfucker I know. I mourned him once when I thought Philippe Loren had taken him out. Now that I know he's alive, I'd walk through hell to bring him back.";
"She's just a programme, y'know.  Why even worry about her?": "She's just a programme, y'know.  Why even worry about her?";
"I had a great time, Johnny.": "I had a great time, Johnny.";
"Well I won't be once I find him.": "Well I won't be once I find him.";
"Cardboard boxes? You're serious?": "Cardboard boxes? You're serious?";
"When that power's active your weapons will be able to bring down a Warden's shield.": "When that power's active your weapons will be able to bring down a Warden's shield.";
"All right, I'll give this plan of yours one more try then we're helping Shaundi.  The... the other Shaundi.": "All right, I'll give this plan of yours one more try then we're helping Shaundi.  The... the other Shaundi.";
"Hold on, is that Maero?": "Hold on, is that Maero?";
"He can think whatever he wants...he's not stopping me.": "He can think whatever he wants...he's not stopping me.";
"Fuck, you know what I mean.": "Fuck, you know what I mean.";
"Shit. Did I just kill her?": "Shit. Did I just kill her?";
"Shit, watch that stomp next time.": "Shit, watch that stomp next time.";
"So you have what you need now?": "So you have what you need now?";
"What kind of matter?": "What kind of matter?";
"Let me know how that goes.": "Let me know how that goes.";
"Die, you sons-a-bitches!": "Die, you sons-a-bitches!";
"Mmm. Breakfast sure smells good!": "Mmm. Breakfast sure smells good!";
"Fine...": "Fine...";
"You're just a program, Maero.  In the real world, you're dead.": "You're just a program, Maero.  In the real world, you're dead.";
"My.  Way.  Works.": "My.  Way.  Works.";
"I am in the zone! The zone!": "I am in the zone! The zone!";
