// SR4R voice dict file 8/17
// Lines 7001-8000 of 16797
// Format: "English": "Chinese translation";

"Come on. Come on.": "Come on. Come on.";
"At the last one... this will be quick": "At the last one... this will be quick";
"Let's get out of here.": "Let's get out of here.";
"Gosh, what a glorious day!": "Gosh, what a glorious day!";
"Sorry, but my mechanical body needs time to cool down first.": "Sorry, but my mechanical body needs time to cool down first.";
"Kinzie...I want to get the hang of my new power...": "Kinzie...I want to get the hang of my new power...";
"Matt, is this NyteBlayde fanfiction?": "Matt, is this NyteBlayde fanfiction?";
"What's past is past. We are all working together now. Let's focus on the job.": "What's past is past. We are all working together now. Let's focus on the job.";
"It would've been better if Shaundi stayed behind and Gat lived.  It's not like she does anything useful except bitch all the time.": "It would've been better if Shaundi stayed behind and Gat lived.  It's not like she does anything useful except bitch all the time.";
"*sigh*  Your funeral...": "*sigh*  Your funeral...";
"We're almost done. Just one more stop.": "We're almost done. Just one more stop.";
"This isn't for your empire, this is for the people of Earth.": "This isn't for your empire, this is for the people of Earth.";
"Good, now keep going.": "Good, now keep going.";
"Bring it! I'll waste every last one of you!": "Bring it! I'll waste every last one of you!";
"Where's Kinzie, Keith?": "Where's Kinzie, Keith?";
"Without me, you and Kinzie would still be alone without any of your friends.": "Without me, you and Kinzie would still be alone without any of your friends.";
"This seems an odd place for an electrical field.": "This seems an odd place for an electrical field.";
"Man, I remember all these people...feel like I shot half of 'em myself...": "Man, I remember all these people...feel like I shot half of 'em myself...";
"Ha! You don't know who you're dealin' with, do you?": "Ha! You don't know who you're dealin' with, do you?";
"Woo. What's happening?": "Woo. What's happening?";
"There's the door.": "There's the door.";
"I'm sure pissing you off is the point.": "I'm sure pissing you off is the point.";
"I thought this place was safe, Kinzie...what happened?": "I thought this place was safe, Kinzie...what happened?";
"Oh that Matt. Such a character. I wouldn't mind killing him again. Hey, as soon as you fail, I'll get to!": "Oh that Matt. Such a character. I wouldn't mind killing him again. Hey, as soon as you fail, I'll get to!";
"Fuck.  I'm on it.": "Fuck.  I'm on it.";
"Wait--what?": "Wait--what?";
"Are you kidding me?  Shaundi, this means first I get to blow up a lot of shit, then we get to take the WHOLE TANK!": "Are you kidding me?  Shaundi, this means first I get to blow up a lot of shit, then we get to take the WHOLE TANK!";
"You can kill me, but my people WILL avenge my death!  Then your race will be wiped from it's pitiful existence in this universe.": "You can kill me, but my people WILL avenge my death!  Then your race will be wiped from it's pitiful existence in this universe.";
"Of course, why would I need a hacker in a virtual prison...": "Of course, why would I need a hacker in a virtual prison...";
"Attacking its shields with powers will help.": "Attacking its shields with powers will help.";
"A little busy with these assholes right now.  Shaundi, think you can figure it out?": "A little busy with these assholes right now.  Shaundi, think you can figure it out?";
"Little bit.": "Little bit.";
"Your crowd didn't do much.  Guess you should've hired some actual bodyguards.": "Your crowd didn't do much.  Guess you should've hired some actual bodyguards.";
"Good point.": "Good point.";
"Yes Kinzie, I still have them.": "Yes Kinzie, I still have them.";
"Way to be an ass...": "Way to be an ass...";
"ummm...maybe?": "ummm...maybe?";
"This robot isn't getting through the door, what can you do about it, Kinzie?": "This robot isn't getting through the door, what can you do about it, Kinzie?";
"Standard escort, I got it.": "Standard escort, I got it.";
"Sounds better than being stuck in the simulation forever.": "Sounds better than being stuck in the simulation forever.";
"You think the whole damn White House got flattened?": "You think the whole damn White House got flattened?";
"Asha, about Matt...": "Asha, about Matt...";
"Can you reset part of a simulation?": "Can you reset part of a simulation?";
"Does this place not have light switches?": "Does this place not have light switches?";
"They've got the highway blocked.": "They've got the highway blocked.";
"If only my wife were alive to see this!": "If only my wife were alive to see this!";
"Kinda busy right now.": "Kinda busy right now.";
"Kinzie, goddammit! I didn't get this far to sit on my ass--": "Kinzie, goddammit! I didn't get this far to sit on my ass--";
"From what I can see a lot's been taken over by the Zin.  There's alien technology everywhere.": "From what I can see a lot's been taken over by the Zin.  There's alien technology everywhere.";
"Walk through the blue door and continue to face yet more failures at saving those closest to you.  Your race will live on borrowed time and will, through your violent arrogance, wind up extinct.": "Walk through the blue door and continue to face yet more failures at saving those closest to you.  Your race will live on borrowed time and will, through your violent arrogance, wind up extinct.";
"Great.": "Great.";
"With pleasure.": "With pleasure.";
"Zinyak, this isn't pride... This is payback.": "Zinyak, this isn't pride... This is payback.";
"You can still crack it though, right?": "You can still crack it though, right?";
"You are closer to completing all objectives in the simulation.  Return to me.": "You are closer to completing all objectives in the simulation.  Return to me.";
"Block button? What?": "Block button? What?";
"Shaundi asks that I not make a Chappaquiddick reference. So I won't.": "Shaundi asks that I not make a Chappaquiddick reference. So I won't.";
"Need to reach that platform...": "Need to reach that platform...";
"Qu'est que c'est?!": "Qu'est que c'est?!";
"So we're not in immediate danger of exploding?": "So we're not in immediate danger of exploding?";
"Fuck! I...": "Fuck! I...";
"Kinzie did not share my sentiment that stating I wished her to be rescued would count towards settling my debt to her for my real-world body.  I always thought the human saying was \\\"it is the thought that counts\\\".  Perhaps I misunderstood what that means.": "Kinzie did not share my sentiment that stating I wished her to be rescued would count towards settling my debt to her for my real-world body.  I always thought the human saying was \\\"it is the thought that counts\\\".  Perhaps I misunderstood what that means.";
"Get ready. I'm gonna clear it.": "Get ready. I'm gonna clear it.";
"Shit. They found us.": "Shit. They found us.";
"All systems go.": "All systems go.";
"Since when was Cyrus this sexist?": "Since when was Cyrus this sexist?";
"Does it matter which one?": "Does it matter which one?";
"Oh shit!": "Oh shit!";
"Powers? Powers?! How would I--you mean from NyteBlayde?": "Powers? Powers?! How would I--you mean from NyteBlayde?";
"I made this especially for you.": "I made this especially for you.";
"So you have what you need now?": "So you have what you need now?";
"Lots of Friendly Fires in the city means one's tied to this area too.  Go shut the security there down.": "Lots of Friendly Fires in the city means one's tied to this area too.  Go shut the security there down.";
"I don't understand, it's a dead pirate with a black parrot?": "I don't understand, it's a dead pirate with a black parrot?";
"There's a giant glass orb here, Kinzie.": "There's a giant glass orb here, Kinzie.";
"Problem with your party dress?": "Problem with your party dress?";
"Flip the switch and...": "Flip the switch and...";
"All right. Give the dude what he wants.": "All right. Give the dude what he wants.";
"Confound it, my toe!": "Confound it, my toe!";
"Not now!  I must center myself.": "Not now!  I must center myself.";
"Whatever will get us to Zinyak.": "Whatever will get us to Zinyak.";
"Empty.": "Empty.";
"You know, since this ship is basically our new Saints HQ, why not just call it that?  The Saints HQ.  I don't know, kinda has a nice ring to it.  Though guess that screws us if we ever find a bigger ship...": "You know, since this ship is basically our new Saints HQ, why not just call it that?  The Saints HQ.  I don't know, kinda has a nice ring to it.  Though guess that screws us if we ever find a bigger ship...";
"Anything you say, Shaundi.": "Anything you say, Shaundi.";
"I had a great time, Johnny.": "I had a great time, Johnny.";
"On it, CID.  Keep looking for a way to unshield him.": "On it, CID.  Keep looking for a way to unshield him.";
"Shit. We're not vampires in this world, are we?": "Shit. We're not vampires in this world, are we?";
"I'm liking this.": "I'm liking this.";
"Come on Matthew!": "Come on Matthew!";
"No you didn't, I was right with you the whole time.": "No you didn't, I was right with you the whole time.";
"Um, okay...": "Um, okay...";
"If there's a chance that this guy can help save our friends it's worth the risk...what's the worse that can happen?": "If there's a chance that this guy can help save our friends it's worth the risk...what's the worse that can happen?";
"Matt, flip my powers back to \\\"On.\\\"": "Matt, flip my powers back to \\\"On.\\\"";
"No gun?  You're putting a lot of faith in my winning personality.": "No gun?  You're putting a lot of faith in my winning personality.";
"We almost done?": "We almost done?";
"Matthew, allow me to do this for you...": "Matthew, allow me to do this for you...";
"We come together... now your turn, come on, \\\"and you know... it ain't fiction...\\\" COME ON!": "We come together... now your turn, come on, \\\"and you know... it ain't fiction...\\\" COME ON!";
"Good to see you haven't changed THAT much...": "Good to see you haven't changed THAT much...";
"Don't worry Paul, I'll pour one out for you.": "Don't worry Paul, I'll pour one out for you.";
"I gotta end this quick.": "I gotta end this quick.";
"I'm glad to see you taking this so seriously.": "I'm glad to see you taking this so seriously.";
"But that makes no sense.": "But that makes no sense.";
"Woah! Hot stuff!": "Woah! Hot stuff!";
"Johnny Gat is the oldest friend I have and the baddest motherfucker I know. I mourned him once when I thought Philippe Loren had taken him out. Now that I know he's alive, I'd walk through hell to bring him back.": "Johnny Gat is the oldest friend I have and the baddest motherfucker I know. I mourned him once when I thought Philippe Loren had taken him out. Now that I know he's alive, I'd walk through hell to bring him back.";
"Huh. I kicked the ass of a Vice President. Huh.": "Huh. I kicked the ass of a Vice President. Huh.";
"Now say goodnight.": "Now say goodnight.";
"That's right, I'm the bloody President!": "That's right, I'm the bloody President!";
"Okay, I found somewhere for us to... Oh no!": "Okay, I found somewhere for us to... Oh no!";
"Good point.": "Good point.";
"Right.": "Right.";
"I could if I had my superpowers.": "I could if I had my superpowers.";
"Trying to stop me, huh? Oooh, I don't think so.": "Trying to stop me, huh? Oooh, I don't think so.";
"Come on.": "Come on.";
"Do you realize how crazy everything since we were abducted from the White House sounds?": "Do you realize how crazy everything since we were abducted from the White House sounds?";
"Wait for what, Kinzie? What is happening?": "Wait for what, Kinzie? What is happening?";
"Yes.": "Yes.";
"Johnny, this is a dream...you have to wake--": "Johnny, this is a dream...you have to wake--";
