// SR4R voice dict file 12/17
// Lines 11001-12000 of 16797
// Format: "English": "Chinese translation";

"This is amazing!": "This is amazing!";
"Where did Zinyak put Kinzie?": "Where did Zinyak put Kinzie?";
"Sorry things ended this way.": "Sorry things ended this way.";
"Luchadores? What, you mean wrestlers?": "Luchadores? What, you mean wrestlers?";
"Oh, I got something special planned for him.": "Oh, I got something special planned for him.";
"Of course I knocked it down, I'm in a robot...": "Of course I knocked it down, I'm in a robot...";
"Right, we'll see how that works out.  Get in there, CID.": "Right, we'll see how that works out.  Get in there, CID.";
"This one's for Uncle Sam!": "This one's for Uncle Sam!";
"I was great, right?  I mean, I know I was but I wanna hear it from you too.": "I was great, right?  I mean, I know I was but I wanna hear it from you too.";
"I'm at the... What the fuck?": "I'm at the... What the fuck?";
"I AM NOT.": "I AM NOT.";
"You can do that? Without Matt?": "You can do that? Without Matt?";
"I could if I had my superpowers.": "I could if I had my superpowers.";
"Wha--whoa this is... Why is my brain on fire?!": "Wha--whoa this is... Why is my brain on fire?!";
"Is Cyrus really that bad of a guy?": "Is Cyrus really that bad of a guy?";
"All right, but whether it works or not, we go after Veteran Child after.": "All right, but whether it works or not, we go after Veteran Child after.";
"We should be fine now!": "We should be fine now!";
"Matt. That is brilliant.": "Matt. That is brilliant.";
"What did they do now?": "What did they do now?";
"How do think I'm gonna jump up that?": "How do think I'm gonna jump up that?";
"I'm...": "I'm...";
"Kinzie...?  Great...": "Kinzie...?  Great...";
"You. Are so. Bloody. Dead.": "You. Are so. Bloody. Dead.";
"When're you going to understand?  I can't be stopped.  Might as well just lay down and let all of me finish you off.": "When're you going to understand?  I can't be stopped.  Might as well just lay down and let all of me finish you off.";
"Ah, hah!  This Saint is going to have to rethink that.": "Ah, hah!  This Saint is going to have to rethink that.";
"Power sources located, though unlocking them is proving difficult.  I need more time.": "Power sources located, though unlocking them is proving difficult.  I need more time.";
"So by replications, you mean copies? Hold on. You mean clones?": "So by replications, you mean copies? Hold on. You mean clones?";
"Fuck you, Zinyak.": "Fuck you, Zinyak.";
"I suppose you're right.": "I suppose you're right.";
"Great, then let's get ba--": "Great, then let's get ba--";
"Jesus Shaundi, you had me worried there for a minute.": "Jesus Shaundi, you had me worried there for a minute.";
"(And, lo, he brought water to the desert.)": "(And, lo, he brought water to the desert.)";
"Right. Absolutely. Potential threats all over the place.": "Right. Absolutely. Potential threats all over the place.";
"Well, at least the janitor has job security.": "Well, at least the janitor has job security.";
"Gosh, what a glorious day!": "Gosh, what a glorious day!";
"Fucking ass--": "Fucking ass--";
"Wait, is that a shield generator?": "Wait, is that a shield generator?";
"This is Shaundi's nightmare, Kinzie.  Trust me, this is where I'm supposed to be.": "This is Shaundi's nightmare, Kinzie.  Trust me, this is where I'm supposed to be.";
"Johnny, I'm telling you--": "Johnny, I'm telling you--";
"Good. Now get us the fuck out of here.": "Good. Now get us the fuck out of here.";
"The devil usually is...": "The devil usually is...";
"Hey, the Saints are my crew. I'd take a bullet for any one of them.": "Hey, the Saints are my crew. I'd take a bullet for any one of them.";
"To Hell with him, Kinzie.  Set me up with one of those training rooms.": "To Hell with him, Kinzie.  Set me up with one of those training rooms.";
"Goodbye, Tanya.": "Goodbye, Tanya.";
"But I'll try anything once...": "But I'll try anything once...";
"Capital idea, Madame Press Secretary.": "Capital idea, Madame Press Secretary.";
"*sigh*  Your funeral...": "*sigh*  Your funeral...";
"And, it is activated.": "And, it is activated.";
"Oh, lovely, lovely guns.": "Oh, lovely, lovely guns.";
"Oh shit. Kinzie, prime the turrets.": "Oh shit. Kinzie, prime the turrets.";
"Do I remem--PFFT.": "Do I remem--PFFT.";
"Then lets get my Chief of Staff back.": "Then lets get my Chief of Staff back.";
"So, figured out what else you need?": "So, figured out what else you need?";
"God, you and Kinzie both with your technobabble...": "God, you and Kinzie both with your technobabble...";
"That sounds... compelling.": "That sounds... compelling.";
"They haven't nabbed everyone. Good.": "They haven't nabbed everyone. Good.";
"Oh Lord, that's really not good...": "Oh Lord, that's really not good...";
"All the same, what is it you hope to accomplish?  Mr. Miller is beyond your help.": "All the same, what is it you hope to accomplish?  Mr. Miller is beyond your help.";
"How'd you figure that out?": "How'd you figure that out?";
"What's this then?": "What's this then?";
"Yeah, it's her.": "Yeah, it's her.";
"Kinzie...": "Kinzie...";
"You know, I generally don't like getting involved in these things but this is really exciting!": "You know, I generally don't like getting involved in these things but this is really exciting!";
"What's on your mind?": "What's on your mind?";
"We don't know. You might be surprised to learn how little information agents are actually given. Usually just a name and an objective.": "We don't know. You might be surprised to learn how little information agents are actually given. Usually just a name and an objective.";
"Both of you, cut it out.  Veteran Child isn't going anywhere and helping out young Shaundi first isn't going to hurt.  If she says this could help us, then I say we try it.": "Both of you, cut it out.  Veteran Child isn't going anywhere and helping out young Shaundi first isn't going to hurt.  If she says this could help us, then I say we try it.";
"I swear if we get killed before we even get to Veteran Child I'm gonna be pissed.": "I swear if we get killed before we even get to Veteran Child I'm gonna be pissed.";
"I knew you could do it.": "I knew you could do it.";
"Hold the phone, Kinzie.  Might not be able to go just yet.": "Hold the phone, Kinzie.  Might not be able to go just yet.";
"Oh nice. Nice, Asha. Real nice.": "Oh nice. Nice, Asha. Real nice.";
"The missile is climbing fast. Hurry, Boss.": "The missile is climbing fast. Hurry, Boss.";
"Oh I highly doubt that.": "Oh I highly doubt that.";
"Take care.  And try not to piss these guys off.": "Take care.  And try not to piss these guys off.";
"All I need now is a British accent.": "All I need now is a British accent.";
"Asha! Matt! GODDAMMIT.": "Asha! Matt! GODDAMMIT.";
"Oh you two...": "Oh you two...";
"Just sounds like more murder...should I be worried?": "Just sounds like more murder...should I be worried?";
"Fuck. Johnny, this isn't real--": "Fuck. Johnny, this isn't real--";
"This whole thing has been my pleasure.": "This whole thing has been my pleasure.";
"And don't worry, playa.  Gat and I've had our differences in the past, but it's just that, the past.": "And don't worry, playa.  Gat and I've had our differences in the past, but it's just that, the past.";
"Think I'm afraid of you?!": "Think I'm afraid of you?!";
"Um, I'm showing some strange readings close to you...": "Um, I'm showing some strange readings close to you...";
"Shit, look out!": "Shit, look out!";
"It's something that kinda sticks with you in your nightmares.  Uughh...": "It's something that kinda sticks with you in your nightmares.  Uughh...";
"Matt's been able to trace the infected citizens.  I'll take you to the first one.": "Matt's been able to trace the infected citizens.  I'll take you to the first one.";
"All right, let's move.  You guys going to be all right?": "All right, let's move.  You guys going to be all right?";
"This the right one?": "This the right one?";
"See ya on the other side...": "See ya on the other side...";
"I know what I'm walking into.": "I know what I'm walking into.";
"How long is this gonna take?": "How long is this gonna take?";
"All right, I understand.  Don't worry, this is going to work, Kinzie.": "All right, I understand.  Don't worry, this is going to work, Kinzie.";
"I could hit you all day!": "I could hit you all day!";
"Sounds like what it must be like dating Pierce.": "Sounds like what it must be like dating Pierce.";
"I like to have nice things.": "I like to have nice things.";
"How you doing?": "How you doing?";
"One more portal, right?": "One more portal, right?";
"All right, drop me off.": "All right, drop me off.";
"I'm gonna pretend that makes total sense.": "I'm gonna pretend that makes total sense.";
"What do you want from me then besides a chance to stick it to that egomaniacal asshole?": "What do you want from me then besides a chance to stick it to that egomaniacal asshole?";
"I can handle whatever that asshole throws at me.": "I can handle whatever that asshole throws at me.";
"Ah fuck. He's got a shield or something.": "Ah fuck. He's got a shield or something.";
"Everyone okay?": "Everyone okay?";
"Why are you just now telling me this?": "Why are you just now telling me this?";
"CID has requested some... questionable programs be installed. I'm not against it on principle but I don't think they're appropriate for the missions at hand.": "CID has requested some... questionable programs be installed. I'm not against it on principle but I don't think they're appropriate for the missions at hand.";
"I KNEW IT!  The dance flows within me!  You hear that, King?": "I KNEW IT!  The dance flows within me!  You hear that, King?";
"Two heads are better than one, Kinzie. Make it so.": "Two heads are better than one, Kinzie. Make it so.";
"Hey. See that guy over there? ": "Hey. See that guy over there? ";
"Well I could sit here and talk with you, or keep anything on this ship from exploding and killing us all.  Your choice.": "Well I could sit here and talk with you, or keep anything on this ship from exploding and killing us all.  Your choice.";
"There, got it.": "There, got it.";
"Oh! I have an idea!": "Oh! I have an idea!";
"That was an executive order!": "That was an executive order!";
"I'm the goddamned President.": "I'm the goddamned President.";
"Use your suit's powers to throw the C.I.D.s back at Zinyak.": "Use your suit's powers to throw the C.I.D.s back at Zinyak.";
"Oh, wow doesn't quite cover it, luv.": "Oh, wow doesn't quite cover it, luv.";
"You done yet?": "You done yet?";
"*coughs*": "*coughs*";
"Dammit, didn't we leave this group behind?": "Dammit, didn't we leave this group behind?";
"Is it just me, or did things seem so much simpler back in Stilwater?": "Is it just me, or did things seem so much simpler back in Stilwater?";
"Let me guess: You train for this kind of thing in MI6.": "Let me guess: You train for this kind of thing in MI6.";
"Serves you both right.  Now I thought you wanted to go after Veteran Child.": "Serves you both right.  Now I thought you wanted to go after Veteran Child.";
"It may be your mission, but I'm driving, Pierce.": "It may be your mission, but I'm driving, Pierce.";
"Try harder!": "Try harder!";
"Right on.  I'll grab one of these assault choppers and meet you there, boss.  Just don't kill everyone before I get a few shots in.": "Right on.  I'll grab one of these assault choppers and meet you there, boss.  Just don't kill everyone before I get a few shots in.";
"But seriously I'm more concerned with what'll emerge from your portal once Kinzie hooks it up.": "But seriously I'm more concerned with what'll emerge from your portal once Kinzie hooks it up.";
"I don't know if I can.": "I don't know if I can.";
"But nothing worked...nothing ever made me feel alive like you did.  And I always thought it was just because I was depressed but seeing you now has made me realize how much I need you.  I know I'm not Aisha, and I'm not trying to be, but if--": "But nothing worked...nothing ever made me feel alive like you did.  And I always thought it was just because I was depressed but seeing you now has made me realize how much I need you.  I know I'm not Aisha, and I'm not trying to be, but if--";
"It's a shame being fun isn't one of them.": "It's a shame being fun isn't one of them.";
