// SR4R voice dict file 14/17
// Lines 13001-14000 of 16797
// Format: "English": "Chinese translation";

"Yeah...": "Yeah...";
"Going a little fast, aintcha?": "Going a little fast, aintcha?";
"No, I genuinely want to know.": "No, I genuinely want to know.";
"CID's gonna be helping me and you're worried about ME being nice?": "CID's gonna be helping me and you're worried about ME being nice?";
"Get the parts of the key and Kinzie and I will take over from there.": "Get the parts of the key and Kinzie and I will take over from there.";
"Don't sweat. I got this.": "Don't sweat. I got this.";
"The guy with the spike on his head? Oh yeah. Jeff? Zavian? Damien?": "The guy with the spike on his head? Oh yeah. Jeff? Zavian? Damien?";
"Told you we were the same.": "Told you we were the same.";
"Haha! You do not like that, do you?": "Haha! You do not like that, do you?";
"Can't we go around for once?": "Can't we go around for once?";
"Well that didn't go terrible.": "Well that didn't go terrible.";
"I hope I'm not interrupting something.": "I hope I'm not interrupting something.";
"First time I met Oleg, he was naked and strapped into a big machine.": "First time I met Oleg, he was naked and strapped into a big machine.";
"Oh no way. You've gotta be joking.": "Oh no way. You've gotta be joking.";
"Doris, you still owe me that cheesecake recipe!": "Doris, you still owe me that cheesecake recipe!";
"Hey, Matt, flip my superhero switch back to \\\"On.\\\"": "Hey, Matt, flip my superhero switch back to \\\"On.\\\"";
"Eh. Fair mix of both.": "Eh. Fair mix of both.";
"I only wish my parents had been able to settle their differences in such an amicable and loving fashion.": "I only wish my parents had been able to settle their differences in such an amicable and loving fashion.";
"Lucky bastard.": "Lucky bastard.";
"Guess the Zin need work on their vehicles as well.  Here's the Rim Jobs tied into this sector.": "Guess the Zin need work on their vehicles as well.  Here's the Rim Jobs tied into this sector.";
"Whoa, this is... my skull feels like it's on fire!": "Whoa, this is... my skull feels like it's on fire!";
"Cut the girl a break, boss.": "Cut the girl a break, boss.";
"That... actually sounds amazing.": "That... actually sounds amazing.";
"You fuckin' jacked my cabinet!": "You fuckin' jacked my cabinet!";
"No no no, SHIT!  That one's gone too, just keep moving!": "No no no, SHIT!  That one's gone too, just keep moving!";
"I thought I was a goner there.  What happened?": "I thought I was a goner there.  What happened?";
"Eh, so I have to kill a few more people, big deal...": "Eh, so I have to kill a few more people, big deal...";
"Remember that meeting with your superiors? When they almost stripped you of your rank? ": "Remember that meeting with your superiors? When they almost stripped you of your rank? ";
"Oh my!": "Oh my!";
"I'm asking now.": "I'm asking now.";
"Get her outta here!": "Get her outta here!";
"Didn't count on me, did ya?": "Didn't count on me, did ya?";
"You...": "You...";
"If something's bothering you that much you know I'll help you out.  Don't worry, ok?": "If something's bothering you that much you know I'll help you out.  Don't worry, ok?";
"Mighty kind of ya, Kinzie.": "Mighty kind of ya, Kinzie.";
"If by \\\"Tanya\\\" you mean \\\"the call of the stage\\\" then yes.": "If by \\\"Tanya\\\" you mean \\\"the call of the stage\\\" then yes.";
"So an evil version of me is your worst nightmare?": "So an evil version of me is your worst nightmare?";
"Brace for--mon Dieu!": "Brace for--mon Dieu!";
"I've seen you shoot.  Trust me, it's better the boss is back there.": "I've seen you shoot.  Trust me, it's better the boss is back there.";
"Let her go, Veteran Child.": "Let her go, Veteran Child.";
"Try harder!": "Try harder!";
"Hope this thing works...": "Hope this thing works...";
"But what about keeping us from... You know what, nevermind.  I'm just going to accept this and move on.": "But what about keeping us from... You know what, nevermind.  I'm just going to accept this and move on.";
"What, like I'm stomping a bug?": "What, like I'm stomping a bug?";
"Seriously, more shieldbots?": "Seriously, more shieldbots?";
"Why does my ass hurt?": "Why does my ass hurt?";
"Hell yeah I did...": "Hell yeah I did...";
"Once again, Kinzie, I know fuck-all about what you've got me doing or why I'm doing it.  ": "Once again, Kinzie, I know fuck-all about what you've got me doing or why I'm doing it.  ";
"Am I on a spaceship? What the fuck?": "Am I on a spaceship? What the fuck?";
"Download the data to CID. We've got it from there.": "Download the data to CID. We've got it from there.";
"Heh. This is a piece of cake. But don't you fucking leave me behind.": "Heh. This is a piece of cake. But don't you fucking leave me behind.";
"Thank you! This IS a robot. Kinzie was all \\\"this is power armor\\\" not...": "Thank you! This IS a robot. Kinzie was all \\\"this is power armor\\\" not...";
"Gonna...": "Gonna...";
"There's something you're not telling me, am I right?": "There's something you're not telling me, am I right?";
"She didn't exactly say.  All I know is we have to get Paul to follow.": "She didn't exactly say.  All I know is we have to get Paul to follow.";
"Was it Brad? Stewart? Dominic?": "Was it Brad? Stewart? Dominic?";
"The enemy light has been eradicated.": "The enemy light has been eradicated.";
"What the fuck is this portal?": "What the fuck is this portal?";
"All right. How do I get into Zinyak's throne room?": "All right. How do I get into Zinyak's throne room?";
"Kinzie, remind me to give you a raise.": "Kinzie, remind me to give you a raise.";
"Let me know when we're close to the next cell.": "Let me know when we're close to the next cell.";
"Son of a bitch...": "Son of a bitch...";
"Thank you.": "Thank you.";
"Great!  At least you have a way to get the Zin off your back now, so keep that in mind.  Remember, this is only the beginning.  With everything we're going to throw at Zinyak he won't know what hit him.": "Great!  At least you have a way to get the Zin off your back now, so keep that in mind.  Remember, this is only the beginning.  With everything we're going to throw at Zinyak he won't know what hit him.";
"She's annoying.": "She's annoying.";
"Okay then.  Hey, if he brought in the Brotherhood, you think Donnie's with them?": "Okay then.  Hey, if he brought in the Brotherhood, you think Donnie's with them?";
"Ain't nothin' unethical about that!": "Ain't nothin' unethical about that!";
"Why is Zinyak bringing back these guys?  I already beat 'em...": "Why is Zinyak bringing back these guys?  I already beat 'em...";
