"HASH_F5497400": "HIGHLY ILLOGICAL"
"HASH_5B0EF200": "ZERO SAINTS THIRTY"
"HASH_B5D00E00": "OFF THE SHOULDER"
"HASH_C1408E01": "GOLF CAP"
"cm_hair_shortstraight-01": "SHORT AND STRAIGHT"
"cf_foot_amazonboots": "AMAZON BOOTS"
"HASH_1FB01C01": "DARK GREEN"
"HASH_081DF801": "ARROGANCE"
"HASH_EA74F201": "MOUTH"
"HASH_F41BD202": "Pump-action class."
"HASH_32B6B202": "CUCUMBER COOL"
"HASH_4655D602": "MIGHTY VEST"
"HASH_DEBF9602": "HAIR"
"HASH_BF6F1203": "HOT PINK"
"HASH_E1854C03": "Boom ... headshot."
"HASH_C3BB5203": "FORGOT SOMETHING?"
"cm_hair_highsculpted-01": "SOFT PSYCHOBILLY"
"HASH_74CEEA03": "BLEACHED BLONDE"
"HASH_4A342203": "PUNK"
"HASH_6E2C4203": "HIPSTER"
"HASH_54402803": "'MERICA"
"HASH_82E66404": "BLACK WIDOW EARRINGS"
"cm_hair_hifauxhawk": "HI FAUXHAWK"
"HASH_410DA204": "IRIDESCENT 1"
"HASH_32A1F404": "WART 4"
"HASH_0EE96605": "Put some bling bling in your bang bang."
"HASH_F2784C05": "BIG GAME"
"HASH_53DCD205": "LOBE HEIGHT"
"Planet Saints Outfit J": "PREPPY SLOUCH"
"HASH_B1703805": "SHAUNDI PANTIES"
"HASH_6A10B605": "MYSTERIOUS BEAUTY"
"HASH_B9E6A005": "RED 1"
"HASH_A2EDA406": "9MM TACTICAL"
"HASH_605E4806": "MOCHA TAN"
"HASH_35A5A407": "Industrial-strength ass-kicking"
"HASH_6BEE2C07": "PURPLE LIGHT TINT"
"HASH_0285EE07": ""
"HASH_057D9A07": "RAINBOW TOP"
"HASH_5BB8FE07": "VIOLET 9"
"HASH_A9609C08": "FULL AUTO"
"HASH_1A88AE08": "Leaves no evidence behind."
"HASH_E5895608": "TINT 60%%"
"HASH_35D2EC08": "FUTURE SOLDIER BOOTS"
"HASH_A8F72808": "BLUE GREEN 4"
"HASH_3D408608": "CHEST"
"HASH_8AB5DA09": "Greater fine-aim scope magnification"
"HASH_6FBD8609": "URBAN SAFARI COLLARED SHIRT"
"HASH_3538DC0A": "WHOA"
"HASH_A2D3DC0A": "MANHATTAN STYLE"
"HASH_9389400A": "STAG ELITE"
"HASH_BFA4A60B": "Stay out of trouble."
"HASH_A0F5820B": "CLEAR SKY BLUE"
"HASH_902C3C0B": "RAISE THE ROOF"
"HASH_A22C480B": "BULL HORNS"
"HASH_10603E0B": "GREEN 3"
"HASH_4313460C": "5.0 GLASSES"
"HASH_2516DC0C": "MUSIC JUNKIE"
"HASH_466DD40C": "SPACE PRINCESS BOOTS"
"HASH_0BBF8C0D": "FOREHEAD DEPTH"
"HASH_F236220D": "EYEBALL SIZE"
"Lets Pretend Male 35B": "GENERIC HERO"
"cm_hand_misfortune": "TECH GAUNTLETS"
"HASH_51D3AA0D": "TATTOO"
"HASH_2A98660E": "Solid."
"HASH_4841F60E": "SIDE MIRRORS"
"HASH_F2E3740E": "GRILL COLOR"
"HASH_C64E320E": "DECAL 2"
"HASH_5874640E": "MATTE"
"cm_suit_m_rainbow": "RAINBOW RIDER"
"HASH_C7899C0E": "TOUCH OF EVERYTHING"
"HASH_CABA9A0E": "MAKEUP"
"HASH_42F2040F": "BLOODY BAND"
"HASH_3C697A0F": "JUNGLE CAMO"
"HASH_C722D80F": "LEVEL {0}"
"HASH_C99A640F": "MORPH BROWN"
"HASH_F3212E0F": "GENX 89"
"HASH_7F6E4C0F": "LADIES' MAN"
"HASH_7814A00F": "RED ORANGE 4"
"HASH_AF8CCC0F": "BLUE 2"
"HASH_BA900A0F": "BACKPACK"
"HASH_863F7410": "GOLD RUSH"
"HASH_4C636E10": "The choice of all the financially successful smugglers"
"HASH_59CE2610": "ITEMS"
"HASH_C5D88010": "NIGHTCLUB SHIRT"
"HASH_68D04210": "URBAN SAFARI TANK TOP"
"cm_ubdy_rustytee": "RUSTY'S NEEDLE TEE"
"HASH_4DC28011": "BIG BOOMS"
"HASH_F2975211": "GIMME TONGUE"
"HASH_74E35211": "Kind of a bitch to polish, though."
"HASH_450BF011": "DEK-RD RAILPISTOL"
"HASH_44D7AA11": "NECK SLICE"
"HASH_239EE211": "EYE COLOR"
"cm_hair_shortwidowspeak": "BOY CUT"
"HASH_994EA612": "DARK GREEN METAL"
"HASH_D5408E12": "PANDA OUTFIT"
"HASH_CC58CE12": "RAWK WRISTBAND"
"HASH_3EE80212": "URBAN SAFARI WITH TEE"
"HASH_0BB5F412": "LARGE SCAR 3"
"HASH_D6634412": "BRUNETTE"
"HASH_170DFA12": "GREEN 7"
"HASH_90149813": "Another marvel of ZinTek"
"HASH_32551813": "DROP THE MIC"
"HASH_399B5613": "WATER BUCKET GRAY"
"HASH_76232213": "DEATHCORE BOOTS"
"cf_foot_strapshoes": "STRAP SHOES"
"HASH_D73B7A14": "BODY"
"cm_toilet": "TOILET"
"HASH_4C209815": "BLUE DARK TINT"
"HASH_F7FE8C15": "BRO HAT"
"HASH_E42B8E15": "BASIC PARACHUTE"
"cm_suit_spacesmuggler": "PUCKISH ROGUE OUTFIT"
"HASH_ED1DE616": "HOLOSKULL"
"HASH_E937FE16": "The bitch is back!"
"HASH_3549B016": "DEEP SAGE GREEN"
"HASH_78038816": "ZERO TO SIXTY"
"Blonde": "BLONDE"
"HASH_A8E10816": "BLUE 6"
"HASH_92F11017": "HEAVY METAL"
"HASH_F7B3B417": "Works best when hiding in blue jungles."
"HASH_9CA98E17": "It's easier to pull the trigger than play guitar."
"HASH_C123F617": "DECAL 6"
"HASH_EF472617": "ADJUSTABLE SUSPENSION"
"HASH_D5B78017": "STAG HELMET"
"HASH_33364217": "TEST MUSTACHE"
"HASH_45AB6818": "REAR SPINNERS"
"HASH_ACAB3E18": "PAINT 3"
"HASH_5F2A0418": "INTERIOR 3"
"HASH_57C5AE18": "LEATHER AND LACE WRISTBAND"
"HASH_1D0A4018": "LEATHER BIKER PANTS"
"HASH_2D057818": "50'S HOUSEWIFE"
"HASH_F224B019": "KEEP IT FRESH"
"HASH_4A6CAE19": "PURPLE FLAMES"
"HASH_823F9C19": "WHOLE RIGHT ARM"
"HASH_601ADA1A": "CHROME-PLATED"
"HASH_D0F1D61A": "BRIDGE DEPTH"
"HASH_1DD80E1A": "EXHAUSTS"
"HASH_CFA05E1A": "DARK TEAL METAL"
"HASH_7408121A": "COPPER OXIDE"
"HASH_99FFF01A": "DOMINATRIX GLOVES"
"cm_lbdy_cargoshorts": "CARGO SHORTS"
"HASH_532DEC1A": "GECKO"
"HASH_43B3CA1B": "The weapon will now knockback vehicles."
"HASH_D9066C1B": "IRIS SIZE"
"HASH_2C6CBC1B": "BROW DEPTH"
"HASH_21E7801B": "PRINCESS PINK"
"HASH_3AE6381B": "EMERALD"
"HASH_6B738A1B": "GRILLS"
"HASH_948F9A1B": "GLAM GIRL"
"HASH_4A35061B": "BEEP BOOP BRACELET"
"female_obese": "FEMALE OBESE"
"HASH_BE8B641C": "RED 5"
"HASH_4FBBC41D": "We could make a bee pun here. But we won't."
"HASH_93D2E81D": "AVAILABLE"
"HASH_15CF461D": "MORNINGSTAR EARRINGS"
"HASH_2A6B741D": "BIG BAD WOLF"
"HASH_0388E81D": "SAINTS HOODIE DOWN"
"HASH_4660661D": "IRIDESCENT 5"
"HASH_2AEA401E": "MONEY SHOT"
"HASH_B80CEC1E": "SURPRISED"
"HASH_4CE85A1E": "DEEP OCEAN BLUE"
"HASH_1718DC1E": "CARBON STEEL"
"HASH_F452D41E": "BROWN DARK TINT"
"HASH_376EDC1E": "KRHYME 95.4"
"cm_hair_50scleancut": "REGULAR CUT"
"HASH_6190761F": "Brand-new and ready to do some damage"
"HASH_DD6F1C1F": "Because, you know, we already did red and blue."
"cf_hair_kungfubraid": "KUNG FU BRAID"
"HASH_38918420": "CHEEK SPACING"
"HASH_90361E20": "LEGS"
"HASH_999A7020": "APACHE"
"HASH_27C2FE20": "BIKER SHADES"
"HASH_39FF5E20": "MADE MAN"
"HASH_062A7A20": "CASUAL SKIRT"
"HASH_0E645620": "LOPSIDED"
"cm_lp35o_suit_m_scigirl": "SCI FANTASY"
"cf_ubdy_camisole2": "CANDY GIRL TANK TOP"
"HASH_4E035020": "WAY OF HONOR"
"HASH_AFDF6E20": "REBIRTH"
"HASH_372E1020": "MOLESTACHE"
"HASH_80313821": "BOWLER HAT"
"HASH_E9A5D021": "SAINTS STYLE RINGS"
"HASH_97E94C21": "VIOLET BLUE 3"
"HASH_27E6DA22": "MOLDY OLDY"
"HASH_D53DF822": "MOUTH ELEVATION"
"HASH_62DC3C22": "REAR BUMPER MODS"
"HASH_BC6A8C22": "LEFT SIDE"
"HASH_73915822": "RIM SET 14"
"HASH_B6CE8022": "ACID HOUSE HAT"
"HASH_B8A04022": "POCKET ROCKET JACKET"
"HASH_1B37A022": "NAIL POLISH RIGHT"
"HASH_D9E37A23": "FOREHEAD WIDTH"
"HASH_412FEC23": "RED METAL"
"HASH_77CF4023": "OG HOODIE"
"cm_ubdy_sweatvoli": "VOLISKULL SWEATSHIRT"
"HASH_7145A023": "CLUBBER"
"HASH_A1416423": "BLUE GREEN 8"
"HASH_00CD8E24": "MINIGUN ARM"
"HASH_B5D1AC24": "UPPER LEFT ARM"
"HASH_9B96F024": "FRONT BUMPER MODS"
"HASH_E08F8C24": "ACID HOUSE RINGS"
"HASH_71A2EC24": "RED ORANGE 8"
"HASH_6004DE25": "ASIAN 2"
"HASH_1489CA25": "STRAIGHT LEG CLASSICS"
"HASH_CE3FD025": "3RD STREET KNIGHT"
"HASH_AA80BE26": "ASIAN"
"HASH_7847B626": "PAIN"
"HASH_46399226": "SUPER PANDA"
"HASH_1DA8C626": "WASHED UP ROCKER T"
"HASH_52DA0226": "JUNK IN THE TRUNK PANTS"
"HASH_975F0026": "NINJA2 GLOVES"
"BOUNTY HUNTER": "RANSOM COLLECTOR"
"HASH_74A6AE27": "Murder time, fun time!"
"HASH_69605A27": "CAUCASIAN 3"
"cf_hair_frenchbraid-01": "FRENCH BRAID"
"HASH_32069427": "WINGS"
"HASH_F006A828": "FRONT SPINNERS"
"HASH_4512F628": "BRASS"
"Lets Pretend Female C": "STEELPORT HEROINE"
"HASH_C5128628": "GYM RAT"
"cm_suit_f_goth": "GOTH FASHION"
"cm_lp35p_eyes_m_monoclel": "LEFT MONOCLE"
"HASH_BFEFB628": "BIKER"
"HASH_679A0E28": "BALBO"
"HASH_55408C29": "IMPULSE RIFLE"
"HASH_E8AD7029": "CHIN HEIGHT"
"HASH_273FD229": "DRAGON BLUE"
"HASH_DA7FFC29": "PIMP HAT"
"HASH_693B9229": "MAMBA LEATHER JACKET"
"HASH_6EFB0A29": "BRIGHT BLUE"
"HASH_D487BC2A": "Manufactured by Currey Fluidistics, Ltd."
"HASH_F891922A": "Light 'em up."
"HASH_DD6D362A": "ROOFS"
"HASH_DCAE242A": "LOGOS"
"HASH_5D774C2A": "DRUG DEALER"
"HASH_90D6882A": "STEELPORT HEROINE GLOVES"
"cm_suit_m_roddy": "ROWDY RODDY PIPER SUIT"
"HASH_816E3C2A": "ARMORED SKIN"
"HASH_7B6FDA2B": "CROWN"
"HASH_2635DE2B": "VOLITION"
"HASH_6A48BC2B": "WHOLE BACK"
"HASH_3295FE2C": "THIRD STREET SAINTS"
"HASH_3DBC5C2C": "HEAD TOP"
"HASH_033BB62C": "REAR WHEELS"
"HASH_94F7082C": "FUGLY SHADES"
"HASH_8385102C": "DISCO BISCUIT BEADS"
"HASH_5198CC2C": "GREY"
"HASH_26DD042C": "AUBURN"
"HASH_520EB22C": "VIOLET 5"
"HASH_6499EE2C": "FINGERNAILS"
"HASH_0A15C22D": "ROGUE RED"
"HASH_F54C682D": "ASTRO A40 DECKERS HEADSET"
"HASH_BBDB1C2D": "STEELPORT STREET CAP"
"HASH_CB06DE2D": "LOVE FOR MOM"
"HASH_B28EBC2D": "YELLOW 6"
"HASH_A6E0AA2E": "MUD FLAPS"
