"HASH_B4A2E1C0": "CO-OP DEATH TAG"
"HASH_6656A5E0": "CO-OP CAT & MOUSE"
"HASH_87743980": "LEAVING [format][color:kill]HOTSPOT[/format] AREA"
"HASH_4B0972E0": "FLUSH SUBROUTINE"
"HASH_EB0A72C0": "ASHWOOD"
"HASH_A2558760": "KILL THE [format][color:kill]TARGET[/format]"
"HASH_3400EA80": "RECORD SURFING"
"HASH_03E81A00": "Time's up!"
"HASH_957D29E0": "CO-OP SURVIVAL"
"HASH_CA1F59A0": "You won {GAME_CASH}%.0f!  Press {PICKUP_RELOAD_IMG} to continue."
"HASH_5FE74040": "HEAD SHOT"
"HASH_579680E0": "DESTROY MORNINGSTAR VEHICLES"
"HASH_1C306B20": "Go to indicated location, steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_3F53A501": "FRAGMENTS COLLECTED"
"HASH_6F39F481": "Go to the location then wait for the TARGET to appear. \nDestroy the Test Visual to create rendering glitches."
"HASH_7A4CF4A1": "All levels of Streaking Diversion Completed!"
"HASH_5E3B7BC1": "COMPLETED"
"HASH_013B8361": "%s'S SCORE:"
"HASH_0E8F3C41": "TANK KILL"
"HASH_DEDC6AA1": "BEN KING AUDIO LOGS"
"HASH_88F04B22": "Go to the location then wait for the TARGET to appear. \nDestroy this Security Program to damage the system."
"Hitman_Targets": "TARGETS"
"HASH_76DF20E2": "A rival hitman is on the job, quickly get to the target before him!"
"HASH_E896FC62": "TAUNTING"
"HASH_4612CB62": "BO-DUKE-EN!"
"HASH_A5767562": "You won {GAME_CASH}%.0f!  Press {PICKUP_RELOAD_IMG} to play another round, or {ACTION_IMG} to quit."
"HASH_2826B762": "CAT & MOUSE"
"HASH_D56DE743": "MAERO"
"HASH_5E00F4C3": "%ls"
"HASH_8720B9A3": "COMBAT TRICKS"
"HASH_1EEE7A23": "STUNT JUMPING "
"HASH_A5C43C43": "CONTINUE HOLDING THE CLERK TO GET THE CASH"
"HASH_7BBA2CC3": "CHOP SHOP"
"HASH_877F84C3": "Go to indicated hood, find and steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_B4AEB924": "OFFICER DEALY"
"HASH_B2AF2D04": "Go to the location then wait for the TARGET to appear. \nDestroy the Invalid Mesh."
"HASH_8479E2C4": "SALANDER"
"HASH_35732044": "BIG AIR"
"HASH_ED77CA64": "STORE HOLD-UP"
"HASH_2517B884": "BO-DUKE-EN!"
"HASH_D7FFAAA4": "MOUSE, GET TO THE CHECKPOINTS!"
"HASH_2CE98C05": "{SHOULDER_CAMERA_IMG} MUGGING\nKeep your weapon aimed at the person to force them to drop their cache."
"HASH_87BC5E05": "CLUSTERS"
"HASH_55A38AC5": "TARGET ELIMINATED"
"HASH_B8F97765": "CHAPTER"
"HASH_27E6F2A5": "KILLS:"
"HASH_80735845": "Streaking level %d complete!  Earned {GAME_CASH}%.0f"
"HASH_29D130C5": "RECORD CAR TORPEDO DAMAGE"
"HASH_173E8BE5": "BEAT DOWN"
"HASH_8560A245": "VIRUS COLLECTION"
"HASH_E5D357C5": "QUIT CO-OP DIVERSION"
"HASH_DA807365": "ASHA AUDIO LOGS"
"HASH_B040EB26": "TWO WHEELS"
"HASH_08711C46": "COMPLETED!"
"HASH_FE8DE0A6": "STUNT JUMPS"
"HASH_09BEFC86": "SPEED UP BEFORE THE HOSTAGE ESCAPES"
"HASH_E23823E6": "You lost. Press {PICKUP_RELOAD_IMG} to play another round, or {ACTION_IMG} to quit."
"HASH_DB70C446": "LONGEST THROW"
"HASH_5F8EAAE6": "NUT SHOT"
"HASH_E9F0FCA6": "GET BACK IN THE [format][color:location]VEHICLE[/format]"
"HASH_3BBFC407": "Chop Shop contract accepted. Once you finish your current mission or activity, GPS will enable."
"HASH_556692A7": "Go to the location then wait for the TARGET to appear. \nDestroy this Security Program to damage the system."
"HASH_D795C787": "DO THE %ls %ls"
"HASH_550E96E7": "Streaking level %d complete!  Earned %d [format][color:purple]XP[/format]."
"HASH_E6616167": "DIVERSION FAILED"
"HASH_0BC874E7": "THEIR SCORE:"
"HASH_42363FC7": " {ATTACK_PRIMARY_IMG} TO REVIVE IN CAT & MOUSE DIVERSION"
"HASH_FE294E67": "THROWING"
"HASH_86395E07": "RECORD TWO WHEELS"
"HASH_0DBC27E7": "LOCATIONS FOUND"
"HASH_9EB7ACE7": "YOU KILLED %ls!"
"HASH_68EA1707": "VIRUS COLLECTION"
"HASH_DA3E50A7": "MAERO AUDIO LOGS"
"HASH_DCDBAB68": "ZINNIMDA"
"HASH_B0423168": "{ANALOG_LS_IMG} TO BALANCE YOURSELF ON THE VEHICLE"
"HASH_A5B3DBA8": "HOSTAGE ESCAPED"
"HASH_B0847228": "SHIELD KILL"
"HASH_1DAB99C8": "VIRUS COLLECTION"
"HASH_D566F3C8": "KINZIE AUDIO LOGS"
"HASH_F71C8D89": "GO TO [format][color:location]LOCATION[/format]"
"HASH_90730409": "TWO WHEELS"
"HASH_5C755769": "WAVES COMPLETED!"
"HASH_E8870CC9": "TIME:"
"HASH_FEC9D649": "RECORD ONCOMING LANE"
"HASH_89133BA9": "NEAR MISS"
"HASH_AB296C89": "HOSTAGE"
"HASH_EDCFD029": "FOUND"
"HASH_0C549FC9": "Your partner took the contract for this chop shop target!"
"HASH_07AA0D49": "{0}/{1} {2:text_tag_crc}"
"HASH_CB7D2D49": "RECORD BURNOUT TIME"
"HASH_6B6EC369": "VIRUS COLLECTION"
"HASH_7BA67589": "CYRUS AUDIO LOGS"
"HASH_8507110A": "TEXT ADVENTURE"
"HASH_03E0D40A": "WHEELIES/STOPPIES"
"HASH_E055B64A": "RECORD NEAR MISS CHAIN"
"HASH_861B33CA": "SPEED UP BEFORE THE HOSTAGES ESCAPE"
"HASH_65E0A08A": "YOUR SCORE:"
"HASH_9696E60A": "PIERCE AUDIO LOGS"
"HASH_208BFB2A": "KEEP YOUR RETICLE OVER THE SHOPKEEPER"
"HASH_F1386C0B": "BRICKSTON"
"HASH_5E1CC2EB": "EXITING FLASHPOINT AREA"
"HASH_180D202B": "CAR TORPEDO"
"HASH_86E4762B": "VIRUS COLLECTION"
"HASH_E538D64C": "SECURITY DELETION"
"HASH_D89252EC": "WAIT FOR [format][color:kill]TARGET[/format]"
"HASH_A50713CC": "RENDER CPU"
"HASH_D4F3B9CC": "HOSTAGE COMPLETE"
"HASH_8BF36BCC": "RECORD CAR TORPEDO DISTANCE"
"HASH_CF609EEC": "KILL"
"HASH_A8DD3CEC": "EXPLOSIVE KILL"
"HASH_2CB8926C": "RECORD BIG AIR HEIGHT"
"HASH_6CB0F36C": "BARNSTORMING"
"HASH_F23E0A0C": "Go to indicated hood, find and steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_0ED8B6AC": "VICE PRESIDENT AUDIO LOGS"
"HASH_2C03E82C": "TANYA AUDIO LOGS"
"HASH_CFE8E12D": "WINDSHIELD CANNON"
"HASH_B8A249ED": "STREAKING"
"HASH_B7B721ED": "RECORD NEAR CRASH DISTANCE"
"HASH_74F49B6D": "All the hostages got away."
"HASH_B1AEBB6D": "BURNOUT"
"HASH_0BC5D0CD": "RECORD BIG AIR FLIP"
"HASH_84FB50AD": "Go to indicated location, steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_DC43696D": "SHAUNDI AUDIO LOGS"
"HASH_1DCDB6AD": "FUN SHAUNDI AUDIO LOGS"
"HASH_5339DC4D": "JOHNNY GAT AUDIO LOGS"
"HASH_7E88DD2E": "Return the Vehicle [image: ui_saintsbook_vehicle] to the indicated location in one piece to collect the Virus code from it."
"HASH_263DD2EE": "S.T.A.G."
"HASH_A63EE0AE": "VEHICLE SURFING"
"HASH_1306134E": "Streak closely to as many people as possible!"
"HASH_B0FB28CE": "The target vehicle was destroyed!"
"HASH_63FD68CE": "VIRUS COLLECTED!"
"HASH_27EA0C4E": "VEHICLE MOD SPENDING"
"HASH_0E30046E": "ROADKILL RECORD DISTANCE"
"HASH_6450DA4F": "Kill your partner before they kill you. \n\nWeapons change each round."
"HASH_3B63866F": "JULIUS LITTLE"
"HASH_D2F3984F": "Go to the location then wait for the TARGET to appear. \nDestroy the Render CPU to stop character visual security."
"HASH_3A4C308F": "NEAR CRASH"
"HASH_B036D8AF": "Follow the contact's instructions to draw out the target"
"HASH_68CABB2F": "%ls KILLED YOU!"
"HASH_E79A49AF": "PLAY AGAIN"
"HASH_69A50150": "EXPLORED"
"HASH_5C39C5B0": "DRIVER BAILOUT"
"HASH_E0DA3030": "CHOP SHOP"
"HASH_DCE94FF0": "SPEED UP TO STAY ALIVE!"
"HASH_DDFA8D70": "RECORD BIG AIR DISTANCE"
"HASH_576410D0": "START DEATH TAG CO-OP ACTIVITY"
"HASH_F2173A30": "WAIT FOR [format][color:use]VEHICLE[/format]"
"HASH_B982AA90": "YOU'VE STARTED A HOLD-UP"
"HASH_C204D951": "DISABLE HOTSPOT"
"HASH_5F8B3E71": "You tied. Press {PICKUP_RELOAD_IMG} to continue."
"HASH_C1E79C31": "DEATH TAG"
"HASH_2F786D11": "CAR TORPEDO TOTAL DAMAGE"
"HASH_1FED2791": "VIRUS COLLECTION"
"HASH_8AE40251": "250 POINTS!"
"HASH_B3321771": "DJ VETERAN CHILD AUDIO LOGS"
"HASH_72164792": "Go to the location then wait for the TARGET to appear. \nDestroy this Security Program to damage the system."
"HASH_2741A712": "ROADKILL"
"HASH_84A2C872": "VIRUS COLLECTION"
"HASH_36E72452": "MATT MILLER AUDIO LOGS"
"HASH_1004F673": "ONCOMING LANE"
"HASH_3F2CC8B3": "RANSOM FOR HOSTAGES COLLECTED"
"HASH_0ECB4EF3": "RECORD POWERSLIDE"
"HASH_30E212B3": "You tied. Press {PICKUP_RELOAD_IMG} to have it roll over to the next round, or {ACTION_IMG} to quit."
"HASH_A3D3E854": "The Target [image: ui_saintsbook_hitman] has appeared, Destroy them!"
"HASH_925E2B34": "Hitman contract accepted. Once you finish your current mission or activity, GPS will enable."
"HASH_6A43F2D4": "VEHICLE SURFING"
"HASH_BAFDCEF4": "BEATDOWN"
"HASH_22EB42B4": "NEAR MISS"
"HASH_96777334": "EXPLORATION"
"HASH_2935E714": "SLICE-N-DICE"
"HASH_604E9BD4": "POWERSLIDE TIME"
"HASH_6A6BEB94": "RECORD BIG AIR DROP"
"HASH_88532935": "TOTAL"
"HASH_DF8C0BF5": "The target died before you could kill them!"
"HASH_A26AD7D5": "OLD PLAYER"
"HASH_FAF171D5": "ONCOMING LANE"
"HASH_C2867655": "DISABLE GENERATOR"
"HASH_2B3A27B5": "HOSTAGE"
"HASH_0CBD1C55": "CHOP SHOP"
"HASH_80912B95": "RECORD STOPPIE"
"HASH_F078B455": "Go to indicated location, steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_DD99E555": "GO TO [format][color:location]LOCATION[/format]"
"HASH_3C0E4276": "TEST VISUAL"
"HASH_9509DC36": "You died."
"HASH_0AC921B6": "WHEELIE"
