"HASH_5F2DD4E1": "PRETTY PINK"
"HASH_5A551C21": "PLUNGER GUN"
"cm_suit_hillb": "THE HILLBILLY"
"cm_mask_dubya": "DUBYA MASK"
"cf_suit_prairiedress": "PRAIRIE DRESS"
"HASH_48865403": "SWINGTIME"
"HASH_D5B2F924": "DUBSTEP GUN (REMIX) PACK"
"HASH_AF3E7904": "OKTOBERFEST"
"HASH_09C154A5": "The gas from exploding plungers now kills most targets outright."
"HASH_DC2AA845": "It goes with your spear and magic helmet."
"HASH_80522966": "As lethal as it is cute"
"HASH_C7B961C6": "It has all the answers you'll ever need."
"cm_mask_washington": "THE ORIGINAL PREZ MASK"
"HASH_6372B927": "PRESIDENTIAL PACK"
"HASH_B02C3DA8": "Das zingy beat ist wunderbar!"
"HASH_C338ECE9": "CLASSICAL"
"HASH_D8AB256A": "BG-40"
"HASH_7F1FE20B": "Lends your rampages a touch of class ... or is that dysentery?"
"cm_hair_benfranklin": "THE FRANKLIN"
"HASH_B7E7030C": "Get your rural on, with outfits, weapons, and a radically rustic truck that reflect a more ... unsophisticated lifestyle."
"cf_hat_daisy": "COUNTRY STRAW HAT"
"HASH_786A09ED": "DUBSTEP GUN (DLC REMIX)"
"HASH_579410AF": "Where Big Band meets big booms"
"HASH_7EFE69B0": "Put those strategy guide tips to good use with this handy (and deadly) submachine gun."
"HASH_F75519F0": "Pick a color, any color.  What the hell, pick 'em all!"
"cm_mask_lincoln": "HONEST ABE MASK"
"HASH_B511F332": "You've been the president, now look like one with outfits, wigs and rubber masks that aren't just money, but look like  they should be ON money."
"HASH_D8394992": "DETHMETTAL"
"HASH_4AC64F13": "Fires an explosive plunger that sticks to foes, then explodes in a noxious mess."
"HASH_C32FB734": "For shootin' all manner of critters.  Also varmints."
"cf_hat_prairiebonnet": "PRAIRIE BONNET"
"HASH_5C5786F7": "SILENT BUT DEADLY"
"HASH_282AE477": "PAINT GUN"
"HASH_47E63D98": "New tunes, same old awesome."
"cf_suit_daisy": "SEXY REDNECK"
"HASH_61844919": "GRASS ROOTS PACK"
"HASH_EC806899": "Murder 'em with metal, slam 'em with swing, obliterate 'em with opera, or just opt for the sublime power of polka. "
"HASH_6F8CB139": "OUTHOUSE AVENGER"
"HASH_9D32667A": "HILLBILLY"
"cm_suit_washington": "THE PATRIOT"
"cm_mask_obama": "BARRY-O MASK"
"HASH_4A9C0CDB": "HILLBILLY"
"HASH_C624855B": "GOLD-PLATED"
"HASH_195B78DC": "Gold never goes out of style."
"HASH_18E098FD": "\\"It don't need your fancy, citified 'aiming' or nuthin.\\""
"HASH_320F651E": "BRADYGAMES PACK"
"HASH_C72B0D3E": "When it comes to destruction, it's the hardest of the hardcore."
"cm_hat_hillbilly": "DIRTY TRUCKER"
