"HASH_947D0AA0": "BUFF ELEMENT - EXPLOSION"
"HASH_0DAFAC01": "ANTHONY BURCH"
"HASH_D88A3D23": "ZINYAK ATTACK PACK"
"HASH_79137EE4": "Flings mines that zap nearby enemies."
"HASH_987FD304": "OPPRESSOR MINELAYER"
"HASH_E9C6D0C4": "Blast causes human targets to explode, which then causes others to explode.  How big of a chain reaction can you start?\n\nDouble tap {SUPER_QUICK_FREEZE_IMG} to quick-switch between Blast Elements. Or switch Elements in the Powers menu."
"HASH_07A4A8C5": "THANK YOU PACK"
"HASH_6AE664C5": "HOMIE - ANTHONY BURCH"
"HASH_D5FE2F05": "ASHLY BURCH"
"HASH_774B0407": "OPPRESSOR MINIGUN"
"HASH_E96DF307": "HOMIE - PAPA BURCH"
"HASH_5E3717E7": "HOMIE - ASHLY BURCH"
"HASH_25065AC8": "\\"HEY ASH, WHATCHA PLAYIN'?\\" PACK"
"HASH_45347C89": "ELEMENT OF DESTRUCTION PACK"
"HASH_7CA9FA49": "Give Papa a cameo in your adventures."
"HASH_E31674CA": "\\"Hey Ash! Wanna be my homie?\\""
"cm_suit_zynyak": "ZINYAK SUIT"
"HASH_1F33EE8C": "FLAK CANNON"
"HASH_8F486DCC": "Stomp now sends some of your human targets flying off like rockets ... highly explosive, multiple-warhead rockets.\n\nDouble tap {SUPER_QUICK_STOMP_IMG} to quick-switch between Elements. Or switch Elements in the Powers menu."
"cm_suit_papoc": "ROAD BARBARIAN"
"HASH_D43A008E": "ARC MINETHROWER"
"HASH_5E6628EE": "People and vehicles become bombs when picked up and thrown.  Don't hold on to them too long!\n\nDouble tap {SUPER_QUICK_TELEKINESIS_IMG} to quick-switch between Elements. Or switch Elements in the Powers menu."
"HASH_252B616F": "EXPLOSION"
"HASH_CDE5C04F": "Let Anthony help you save the world. Or not.  Whatever."
"cf_suit_alienfsol": "ALIEN LADY"
"HASH_8D1CEF71": "Get your Zin on with these alien outfits, which are now available in your wardrobe!"
"HASH_C1EBD8F2": "Enemies that get too close become human time bombs, and your shots get added explosive power!\n\nDouble tap {SUPER_QUICK_SHIELD_IMG} to quick-switch between Buff Elements. Or switch Elements in the Powers menu."
"HASH_FAFFDE53": "EXPLOSION"
"HASH_3F1684D3": "PAPA BURCH"
"HASH_22DDD655": "Truly heavy metal."
"HASH_BCFB2155": "Papa Burch can be called into the simulation from your HUB \\"PHONE\\" menu. He will help the Saints in combat."
"HASH_0BA1C5B5": "Ashly can be called into the simulation from your HUB \\"PHONE\\" menu. She will help the Saints in combat."
"cf_hat_fpopstar": "POP HAT"
"HASH_CDE90156": "For people who like to think big."
"HASH_BC500296": "BLAST ELEMENT - EXPLOSION"
"cm_suit_aliensoldier": "ALIEN GRUNT"
"cm_suit_agenttux": "DOUBLE-O TUX"
"HASH_52327A97": "Thank You For Playing.  New clothing items are now available in your wardrobe!"
"HASH_3F70B697": "Anthony can be called into the simulation from your HUB \\"PHONE\\" menu. He will help the Saints in combat."
"HASH_ABB35DB7": "EXPLOSION"
"cm_suit_warden": "WARDEN"
"cm_ubdy_apologyt": "ALL I GOT WAS THIS LOUSY TEE"
"HASH_7090889A": "The Burch clan have joined the Saints, and you can now call them as homies from your phone."
"HASH_10A2AEDB": "An arsenal of highly-explosive elements for your super-powers ... it's the bomb!"
"cm_hat_postapocman": "POST APOC GOGGLES"
"HASH_0BF0FABC": "TK ELEMENT - EXPLOSION"
"cm_mask_zynyak": "ZINYAK MASK"
"HASH_4AA53CDE": "Fills the air with a barrage of flak."
"HASH_DADEBF9E": "STOMP ELEMENT - EXPLOSION"
"cf_suit_popstar": "POP STAR"
"HASH_362A7B7F": "EXPLOSION"
