"cm_hat_brahat": "MELON MELONS"
"cm_suit_coedmale": "COLLEGIATE CASUAL"
"HASH_F7152763": "CHILD'S PLAY CHARITY PACK"
"cm_hat_beercap": "TAILGATE STANDARD"
"HASH_55B95C44": "GRASS ROOTS 'MERICA"
"HASH_C7E75124": "BUFF ELEMENT - BLING"
"cm_suit_gsp": "GENKI SPACE PIMP"
"HASH_1A8D90C5": "TK ELEMENT - BLING"
"HASH_827BE945": "BLING"
"HASH_D538AE65": "THE POLARIZER"
"HASH_4096ED86": "REVERSE COSPLAY PACK"
"HASH_6B784B46": "Your college-themed clothing awaits in your wardrobe, and check your garage for a bar stool vehicle!"
"HASH_03400DA6": "Fires a powerful blast with superior damage and recharge, with one catch - it costs cache to use it.\n\nDouble tap {SUPER_QUICK_FREEZE_IMG} to quick-switch between Blast Elements. Or switch Elements in the Powers menu."
"HASH_75749447": "Sports-themed clothing, weapon costumes and an ice resurfacer have been unlocked for you."
"HASH_D7DD5007": "BLING POWER ELEMENT"
"HASH_EAEE44C8": "A new vehicle and two outfits are now available at your Gateway Garage and Wardrobe."
"HASH_B5D97F89": "Good day for a brawl, eh?"
"HASH_EB82B42A": "BLING"
"HASH_4AF3E54B": "GOLF CLUB"
"HASH_E96AB3AC": "Warps space to leave your enemies helplessly flailing."
"HASH_BF80820D": "WEAPON - THE POLARIZER"
"HASH_65CEB0AE": "Make it rain! Money drops from the sky, distracting citizens and foes alike.  Costs cache to use.\n\nDouble tap {SUPER_QUICK_STOMP_IMG} to quick-switch between Elements. Or switch Elements in the Powers menu."
"HASH_A283F531": "Digital Dino and Robochimp outfits have been unlocked in your wardrobe, and the Retro Racer has been placed in your garage."
"HASH_8BE017B1": "BLING"
"cm_suit_goalie01": "WAFFLE-BOARDER"
"cm_mask_goalie01": "GOALIE MASK"
"dlc_suit_freckleb": "FRECKLE BITCH'S DELIVERY CHICK"
"HASH_15003FD4": "You asked for them, you got 'em!  The Space Pimp and Freckle Bitches Delivery costumes can now be found in your wardrobe."
"HASH_3EEE9914": "COLLEGE DAZE PACK"
"HASH_56D6DFF4": "BLAST ELEMENT - BLING"
"HASH_20E24615": "GAME ON PACK"
"HASH_824B8255": "Money is your mana!  Find new uses for cash (and new ways to earn it) with your superpowers!"
"cm_suit_digidino": "DIGITAL DINO"
"HASH_002F8E16": "Look what a little old 'merican ingenuity (and some moonshine-induced hallucinations) dreamed up!"
"HASH_92718376": "Gain the Midas touch!  Enemies killed while buff is active drop more cache, and nearby enemies actually get turned to gold!\n\nDouble tap {SUPER_QUICK_SHIELD_IMG} to quick-switch between Buff Elements. Or switch Elements in the Powers menu."
"cm_hat_drivers": "PEBBLE BEACH SPECIAL"
"HASH_4F1B4297": "Shake down your targets, using this power to suck cache from their pocket to yours!\n\nDouble tap {SUPER_QUICK_TELEKINESIS_IMG} to quick-switch between Elements. Or switch Elements in the Powers menu."
"HASH_80AE7C37": "Put the principles of mutual attraction and repulsion to work for you!"
"cf_suit_collegecoed": "SORORITY CHIC"
"HASH_1F653719": "For when you're really tee'd off"
"HASH_BF78969A": "CHILD'S PLAY PACK"
"HASH_E04FADDB": "HOCKEY STICK"
"cm_suit_robomonkey": "ROBOCHIMP"
"HASH_305862FC": "STOMP ELEMENT - BLING"
"cm_suit_golf": "FORE!"
"HASH_0CE3D59D": "BLING"
"HASH_BCFC61FE": "WARPED WEAPON"
"HASH_EA16505F": "Collect enemies and objects with magnetic force, then fling them every which-a-way."
