"HASH_0FFDDB00": "RECRUITING"
"HASH_C3259200": "You now receive a 15%% bonus to all Respect earned for upgrading the Three Count crib."
"HASH_FFA02200": "BRAAAAAAAINS"
"dildo_bat": "DILDO BAT"
"HASH_20C4C601": "Equip the Satchel Charges at your Crib Weapon Cache."
"HASH_72B26801": "BONUS - CACHE BOOST 2"
"HASH_E3DBF401": "TRANSFER LIMIT"
"HASH_FEEFB801": "Keymaster"
"HASH_0F099502": "Pounding the Pavement"
"HASH_FDC5D403": "VTOL"
"HASH_BD97EB04": "RIM JOBS"
"HASH_9E0B7A04": "{NITRO_IMG} ENGAGE NITROUS"
"HASH_EB4BA904": "You were killed!\nWhen you lose all your health, the simulation revives you... for a price."
"HASH_8ED94604": "You have downloadable content available."
"HASH_06341304": "This is your weapon cache.  \nArm yourself here."
"HASH_B8CC6604": "This Stronghold is yours!\nCustomize and Upgrade it at the '3 Count' Crib to extend the Saints control and receive huge upgrade bonuses."
"HASH_8BF31804": "DAMAGE - FIRE 4"
"HASH_8C5B8B05": "Safeword is now a Saints  Crib. Access your Weapons Cache, Clothes, and Customize your Gang here."
"HASH_4AF8BB05": "The working-man's assault rifle."
"HASH_7ECCEB05": "ENERGY SWORD"
"HASH_74D15306": "This weapon is a special sniper rifle."
"HASH_1FD25106": "ZIMOS"
"HASH_EA6B8C07": "MELEE - SUPER STRENGTH 3"
"HASH_18230F07": "Convert Cache to 12,000 XP"
"HASH_89F63607": "TRANSFER LIMIT"
"HASH_9476FB07": "Launch a plethora of grenades for maximum explosions."
"HASH_ABD4BD07": "VOICE CHAT"
"HASH_8BCBDA07": "FEET"
"HASH_D4630007": "The Full Kinzie"
"HASH_98385308": "STREAKING"
"HASH_55579908": "Use your Stomp power to destroy everything!"
"HASH_6137B708": "All followers get a 30%% health increase"
"HASH_10B27008": "URINAL"
"HASH_63648008": "RPG AMMO"
"HASH_F80B8308": "YOU NEED {GAME_CASH}%d TO REPAIR YOUR VEHICLE"
"HASH_09C61C09": "{ACTION_IMG} HIJACK VEHICLE \n{SPRINT_IMG} + {ACTION_IMG} HIJACK VEHICLE QUICKLY"
"HASH_99892009": "{ACTION_IMG} THROW HUMAN SHIELD"
"HASH_4EC12D09": "HEALTH - REGEN 3"
"HASH_4ED83109": "You now have a STAG N-FORCER available at your Gateway Garage"
