"HASH_9EA21200": "ZERO COOL"
"HASH_4D881600": "SIMULATED INSTRUCTION"
"HASH_BA7AF500": "FOLLOW [format][color:location]BEN KING[/format]"
"HASH_3D0B1B00": "FOLLOW PIERCE'S PLAN"
"HASH_8785AE00": "RESCUE PIERCE"
"HASH_E6F55500": "VIOLA DIED!"
"HASH_D0501D00": "Complying with the tenets of the charade, I took my seat as defendant. As clear as the strained cries of a fallen foe, the charges were leveled against me. Against each one, I:"
"HASH_1F01A701": "MEET [format][color:Location]ASHA[/format] ON SHIP"
"HASH_03140D01": "THE WARDEN\nSTOMP"
"HASH_E6191401": "USE TURRET"
"HASH_F9219A01": "GO THROUGH [format][color:location]AIR DUCT[/format]"
"HASH_949A6501": "EXPLAINED MYSELF IN A CLEAR, CONCISE MANNER"
"HASH_A0941C01": "MY IRON WILL AND DRIVE TO DO WHATEVER I MUST TO EXCEL"
"HASH_659DD701": "As is usual for admission to a school of such acclaim, the first of these tests was:"
"HASH_FFE3E402": "HACK [format][color:Location]FRIENDLY FIRE[/format]"
"HASH_DEF29502": "MEET [format][color:Location]MATT[/format] ON SHIP"
"HASH_03453D02": "GO TO [format][color:location]SIGNAL AREA [/format]"
"m21_failure_tank_destroyed": "THE TANK WAS DESTROYED! "
"HASH_CF4F4202": "\\"PRETTY PLEASE?\\""
"HASH_D290FA03": "HACK THE IMAGE AS DESIGNED"
"HASH_07E12403": "HACK THE [format][color:Location]RIM JOBS[/format]"
"HASH_93274903": "SPEED RIFT"
"HASH_2D3B3203": "YOU MISSED THE PARTY!"
"HASH_B6484303": "KILL [format][color:kill]ALIENS[/format]"
"HASH_D624CF03": "It's a raven!\n\nWhat do you do?"
"HASH_26EE9B03": "\\"FUCK OFF\\""
"HASH_BA85B003": "TAKE RPG"
"HASH_AD72D103": "Nobody deserves that."
"HASH_18E97E04": "We bent the laws before. Now we're gonna break 'em."
"HASH_B36C4304": "CLOSER TO 250"
"HASH_B21D8204": "DESTROY STAG [format][color:kill]EQUIPMENT[/format]"
"HASH_EFC10C04": "GO TO [format][color:location]KINZIE'S HIDEOUT[/format]"
"HASH_707FD804": "GO TO [format][color:location]PING LOCATION[/format]"
"HASH_D36CD204": "WE ARE GOING TO PARTY"
"HASH_24B19005": "MEET [format][color:Location]KEITH[/format] ON SHIP"
"HASH_DA9EE805": "FROM ASHA WITH LOVE"
"m14_failure_cid_died": "CID DIED!\nYOU NEED TO PROTECT HIM!"
"HASH_0F5F0505": "PUNCH KILLBANE"
"HASH_A9C16D05": "Not to be immodest but my fleet was already quite impressive, thank you."
"HASH_07B60E06": "DESTROY [format][color:kill]SUPPRESSORS[/format]"
"HASH_C121A406": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_8A70B806": "ASSASSINATE ROGUE PROGRAM"
"HASH_D711A106": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_E23C8806": "COMPLETE [format][color:Location]TK MAYHEM[/format]"
