"SAVELOAD_SAVING_MESSAGE_EXPOSITION": "Saving content. Please wait."
"PLT_MENU_AUTO_DETECT": "AUTO-DETECT"
"PLT_MENU_ANTI_ALIASING": "    ANTI-ALIASING"
"PC_ZONE_TYPE_HINT": "CUT TO A NEW CAMERA OR BLEND FROM THE PREVIOUS ZONE"
"PC_EXPORT_LOCK_HINT": "LOCK THE CAMERA'S MOTION DURING THIS CAMERA ZONE"
"PC_CHARACTER_MODEL": "CHARACTER MODEL"
"MENU_LEFT_MOUSE": "Left Mouse"
"MENU_CATEGORY_GENERAL": "GENERAL"
"HASH_E7477FC0": "[format][scale:1][color:full_bright][image:ui_ctrl_360_dpad_u][/format]"
"HASH_041D09C0": "$USER_NAME_OR_ID has collected %ls of all %ls"
"TUT_TAUNTING_PC": "{TAUNT_TWO_IMG} TAUNT \n{TAUNT_THREE_IMG} COMPLIMENT \nInteract with people and gain [format][color:purple]XP[/format] by taunting and killing aliens."
"MENU_OPTIONS_GAMEPLAY_RADIO_TIP": "SET IF RADIO TURNS ON UPON VEHICLE ENTRY"
"HASH_77DD6141": "RED TEAM"
"CBA_VDC_HELI_DOWN": "   MOVE DOWN"
"HASH_06951702": "{JUMP_CLIMB_IMG} JUMP \nWhile Airborne:\n{SHOULDER_CAMERA_IMG} TO AIM ATTACK\nWhile aiming:\n{SUPERJUMP_DEATH_FROM_ABOVE_IMG} TO ATTACK \n\nAttack from higher up to increase damage."
"PC_ENABLE": "ENABLE"
"MENU_CATEGORY_PLANE": "AIRPLANE"
"HASH_A4FF73C2": "TF2 RPG"
"HASH_8A216882": "CHANGE PROFILE"
"MAINMENU_ONLINE_GAME": "ONLINE GAME"
"PLT_MENU_WIDESCREEN": "WIDESCREEN"
"PC_W_RAINY": "RAINY"
"PC_WEATHER": "WEATHER"
"PC_TOD_AFTERNOON": "AFTERNOON"
"PC_REWIND_HINT": "RELOAD AND REWIND TO THE START"
"PC_CM_TRACKING": "TRACKING"
"PC_CM_FOLLOW_WATCH": "FOLLOW WATCH"
"PC_CA_CANCEL": "CANCEL"
"MENU_MEDIUM": "MEDIUM"
"CBA_GAC_WEAPON_SELECT_4": "   WEAPON SLOT 4"
"CAA_PLANE_ROLL_LEFT_RIGHT_POS2": "   ROLL RIGHT"
"HASH_E5A225C3": "UNKNOWN"
"HASH_00281B04": "ENABLE CROSS-PLAY"
"PLT_MENU_PAUSE_FOCUS": "PAUSE ON FOCUS LOSS"
"PC_DOF_NORMAL": "NORMAL"
"PC_CAMERA_UNLOCKED": "CAMERA UNLOCKED"
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   MOVE LEFT"
"HASH_C8C8C144": "ADULT"
"HASH_F8517C45": "CROSS-STORE MATCHMAKING"
"HASH_75748885": "Your Steam account can only be unlinked from the Epic website. Do you want to go there now?"
"HASH_53891105": "UNLINK ACCOUNT"
