"HASH_95863700": "UPGRADE STRONGHOLD"
"HASH_5B40A480": "SCOOTER"
"HASH_25827D80": "SLOW MOTION"
"HASH_474BE000": "Co-op"
"HASH_97757E01": "VIRUS INJECTION"
"HASH_21F1FD81": "I need Nyteblade"
"HASH_C72C3981": "Quests"
"HASH_3F7BC882": "SMGS"
"HASH_63354982": "UPGRADE WEAPON - LEVEL 3"
"HASH_6976C602": "ST. JAMES"
"HASH_F1F76702": "SUPER CID"
"HASH_864E2982": "Audio"
"HASH_EB715802": "cocksucker"
"HASH_57512B03": "THROWN"
"HASH_ACAFC683": "You can't remove a piece of underwear that you are currently wearing."
"HASH_2B910703": "WARNING"
"HASH_03AE2803": "TERTIARY COLOR"
"HASH_ACD3D883": "VEHICLE OPTIONS"
"HASH_CDCE7D83": "You need to repair your vehicle before it can be customized."
"HASH_FE9C7F03": "I need Asha Odekar"
"HASH_8F9C3603": "Summon C I D"
"HASH_77339E84": "WEAR ITEM"
"HASH_3F2C6184": "MUDSLIDE"
"HASH_C98EFB04": "[format][scale:1.0][image:map_store_clothing][/format]"
"HASH_A0AA6904": "VOICE COMMANDS"
"HASH_96BBA485": "VIRUS INJECTION"
"HASH_064F0105": "PERFORMANCE"
"HASH_C683E305": "No one can be told what this cheat is. You have to see it for yourself."
"HASH_602DB705": "TANK MAYHEM"
"HASH_FF056705": "Switch to Stomp"
"HASH_F1DDDD05": "Hard"
"HASH_BDC11985": "Online"
"HASH_6663FC06": "STOCK"
"HASH_1C2F4306": "UNLOCKED"
"HASH_DB06A306": "RIM JOBS"
"HASH_0D1A0306": "SPELUNKER"
"HASH_E5524686": "PIMPS 'N HOS"
"HASH_B5924B86": "REAL WORLD"
"HASH_10D3D806": "GOLDEN GUN"
"HASH_B7D11C86": "GIVE XP"
"pause_voice_tut": "VOICE COMMANDS"
"HASH_0B8D8E87": "COLOR"
"HASH_5EA21107": "This will remove all your current clothes.\nAre you sure?"
"HASH_76966487": "SUPER TELEKINESIS"
"HASH_048D0B87": "I need Ben King"
"HASH_E0471F87": "Night Blade"
"HASH_9327FC07": "Options Menu"
"STAT_ENEMY_GANG_KILLED": "ALIEN KILLS"
"STAT_DIVERSION_RESPECT_EARNED": "XP EARNED IN DIVERSIONS"
"HASH_68F44108": "RIM SIZE"
"HASH_B243FC88": "Time slows down."
"HASH_A5E5E088": "BIG HEAD MODE"
"HASH_F218A488": "Switch to Electric Telekinesis"
"HASH_22E35D88": "Settings"
"HASH_A7E75A09": "BLAZING"
"HASH_7950D789": "VEHICLE SMASH"
"STAT_HUMAN_SHIELD_KILLS": "HUMAN SHIELD KILLS"
"HASH_DAC97D0A": "ACCESS YOUR GARAGE"
"HASH_889FE08A": "MASCOTS"
"HASH_E77B6B8A": "Instantly spawns a Warden."
"HASH_7CA3818A": "son of a bitch"
"HASH_F6A2E20B": "Do you wish to purchase the {0} for {GAME_CASH}{1}?"
"HASH_2981FA8B": "SPINNERS"
"HASH_BC96BD0B": "SLOT 2"
"HASH_E93B040B": "EXIT STRONGHOLD"
"HASH_95D1388B": "BLOODY"
"HASH_6866E00B": "Cancel"
"HASH_B4397D0B": "Switch to Explosive Stomp"
"HASH_A1C9E40B": "COMMAND CIDS KILLED"
"HASH_CDC9FB8C": "WEAPON CACHE"
"HASH_AE33300C": "YOU HAVE REPAIRED YOUR VEHICLE"
"HASH_109FFF8C": "Do you want to discard this item from your Wardrobe?"
"HASH_9403B98C": "PURCHASE"
"HASH_714B408C": "VIRUS INJECTION"
