"HASH_B9F9F000": "Maybe later, alright?"
"HASH_76B71C00": "The world's greatest vigilante needs our help in drawing out his archnemesis! To do so, we must confront the foul captain's army of minions, draw out his lieutenants, until the terrible menace reveals himself! Then we must take him on in an earth-shattering final conflict! "
"HASH_1377AC00": "Does this place not have light switches?"
"HASH_ED4BBC00": "A gun? Oh. A gun. Good."
"HASH_550D5C00": "If someone had told me twenty years ago that when I grew up, I'd rise through the ranks of a street gang, found a media empire, become the President of the United States, then get captured by aliens, well...I'd probably have believed them. I was pretty gullible as a kid."
"HASH_CC433000": "So?"
"HASH_E6EE8400": "You sure know how to show a girl a good time. But we need to get Tammy somewhere safe."
"HASH_BF50F000": "This isn't really my business but, since you dragged me into this, I think you both could learn something from the other. Take that as you will."
"HASH_7F727C00": "This thing takes some getting used to, huh..."
"HASH_AC60C000": "Hold on, will you two get back here!"
"HASH_12E2A400": "Yeah, sorry for your loss."
"HASH_09717C00": "Everybody, follow me!"
"HASH_D5363800": "If Kinzie's plan works, Zinyak's gonna be in for a world of hurt.  Not sure if we'll make it out of this alive, but at least we'll go down fighting.  We owe it to the people of Earth to do that much."
"HASH_8C735400": "I gotta word for ya! OW MY FACE."
"HASH_8D762001": "Kinzie, she's falling too fast."
"HASH_8A4ABC01": "Oh, geez!  Got too close to the fire!"
"HASH_B6CD2001": "*sigh* I guess. I'll...I'll talk to her. Me."
"HASH_39696001": "Just shut up, I have to tell you something:  for years I thought you were dead, and I blamed myself for it.  When you were gone there was a hole in my life that I tried to fill with anything I could find...partying, sex, revenge...sometimes a weird combination of the three."
"HASH_C49B3401": "You have a point."
"HASH_1F96B801": "Special Prisoner #2 has been isolated! All soldiers to Processing Chamber 9 now! Good job, everyone!"
"HASH_95CD4001": "Here we are."
"HASH_D1744401": "Johnny, I'm telling you--"
"HASH_6FB4B801": "Ugh...Yeah... You keep doing that, I'll keep these assholes off you."
"HASH_D8402001": "I'd just rather not get killed over this, Matt."
"HASH_2DECCC01": "Done, Kinzie."
"HASH_81F5FC01": "Matt, I am going for Cyrus now. Time for Phase Two of this plan."
"HASH_94099001": "I'm a creature of habit, of structure, which doesn't fit well with the Saints' MO. They have their way of doing things, and at times I have no idea what they're thinking or of their infatuation with those god-awful Freckle Bitches hamburgers, but when it comes down to it, they get things done. That's impressive. And I'm not easily impressed."
"HASH_D20C9801": "I seem to remember getting shot here..."
"HASH_74CA1802": "Flaming bullets? Holy shit."
"HASH_66FB9C02": "Zinyak blew up Earth and HE'S the one getting pissed?"
"HASH_66794002": "Come on, we'll find him."
"HASH_95A17402": "Let's get it out of here!"
"HASH_3D4B1002": "I don't think so."
"HASH_A4091802": "Our way out of here. Oh! It's beautiful! I'll drive!"
"HASH_CC552802": "What's broken?"
"HASH_96EC0002": "That should be enough.  Get those loaded and we're all set."
"HASH_551BE002": "Kinzie, that's an order from your President."
"HASH_A2FC0C02": "Aw, what the hell..."
"HASH_6D398C02": "Johnny, I'm telling you--"
"HASH_B322EC03": "There he is."
"HASH_BCC9B403": "Ah, the Three-Count. Whether I am playing roulette here, or just cracking the safe, it is always a good time."
"HASH_8FE07803": "Keith!"
"HASH_2A286403": "Girl, you gotta help me out here: you're not hacking.  This thing doesn't have fingers...the fuck am I getting this door open?"
"HASH_0EAA5003": "Shit!"
"HASH_D31C3C03": "Kinzie, I can run faster than a human and shoot ice out of my hands; I'm already breaking the rules."
